date,installation,status,plot_id,logger_id,hours_above_85,hours_below_75,daily_min_rh
2019-07-25,hancock,invaded,i4,15,24,NA,100
2019-07-25,hancock,native,n1,10,24,NA,95.879
2019-07-25,hancock,native,n2,01,24,NA,96.079
2019-07-26,hancock,invaded,i3,08,21.5,NA,83.877
2019-07-26,hancock,invaded,i4,15,24,NA,100
2019-07-26,hancock,native,n1,10,24,NA,93.949
2019-07-26,hancock,native,n2,01,24,NA,96.086
2019-07-27,hancock,invaded,i4,15,24,NA,100
2019-07-27,hancock,native,n1,10,19.416666666666668,NA,75.589
2019-07-27,hancock,native,n2,01,23.916666666666668,NA,84.942
2019-07-28,hancock,invaded,i3,08,1.9166666666666667,NA,75.019
2019-07-28,hancock,invaded,i4,15,24,NA,100
2019-07-28,hancock,native,n1,10,16.416666666666668,4.083333333333333,63.146
2019-07-28,hancock,native,n2,01,21.333333333333332,NA,77.216
2019-07-29,hancock,invaded,i3,08,6.666666666666667,NA,81.594
2019-07-29,hancock,invaded,i4,15,24,NA,100
2019-07-29,hancock,native,n1,10,21.583333333333332,1.0833333333333333,60.964
2019-07-29,hancock,native,n2,01,22.166666666666668,NA,78.337
2019-07-30,hancock,invaded,i3,08,20.166666666666668,NA,79.582
2019-07-30,hancock,invaded,i4,15,24,NA,100
2019-07-30,hancock,native,n1,10,15.916666666666666,4.166666666666667,52.168
2019-07-30,hancock,native,n2,01,19.666666666666668,0.25,73.423
2019-07-31,hancock,invaded,i3,08,24,NA,86.689
2019-07-31,hancock,invaded,i4,15,24,NA,100
2019-07-31,hancock,native,n1,10,19.666666666666668,2.25,67.965
2019-07-31,hancock,native,n2,01,23.916666666666668,NA,84.383
2019-08-01,hancock,invaded,i3,08,13.666666666666666,NA,79.645
2019-08-01,hancock,invaded,i4,15,24,NA,100
2019-08-01,hancock,native,n1,10,23.5,NA,78.036
2019-08-01,hancock,native,n2,01,24,NA,90.144
