date,installation,status,plot_id,logger_id,hours_above_80,hours_below_80,days,daily_min_rh
2019-07-28,wes,native,n1,24,4.5,19.5,46,26.695
2019-07-29,wes,invaded,i3,23,24,0,47,96.568
2019-07-29,wes,native,n1,17,24,0,47,85.973
2019-07-29,wes,native,n1,24,6.666666666666667,17.333333333333332,47,48.202
2019-07-30,wes,invaded,i3,23,24,0,48,98.508
2019-07-30,wes,native,n1,17,22.25,1.75,48,69.013
2019-07-30,wes,native,n1,24,8.916666666666666,15.083333333333334,48,51.464
2019-07-31,wes,invaded,i3,23,24,0,49,99.524
2019-07-31,wes,native,n1,17,23.5,0.5,49,78.182
2019-07-31,wes,native,n1,24,8,16,49,53.785
2019-08-01,wes,invaded,i3,23,24,0,50,100
2019-08-01,wes,native,n1,17,22.25,1.75,50,69.424
2019-08-01,wes,native,n1,24,9.25,14.75,50,52.424
