"Date","Time, GMT-04:00","K-Type, °C (LGR S/N: 2249232)"
2017/07/05,12:34:47,35.68
2017/07/05,12:34:48,35.68
2017/07/05,12:34:49,35.68
2017/07/05,12:34:50,36.01
2017/07/05,12:34:51,36.01
2017/07/05,12:34:52,36.34
2017/07/05,12:34:53,36.67
2017/07/05,12:34:54,36.34
2017/07/05,12:34:55,36.34
2017/07/05,12:34:56,36.67
2017/07/05,12:34:57,36.67
2017/07/05,12:34:58,36.67
2017/07/05,12:34:59,36.67
2017/07/05,12:35:00,36.67
2017/07/05,12:35:01,36.34
2017/07/05,12:35:02,35.68
2017/07/05,12:35:03,36.01
2017/07/05,12:35:04,36.01
2017/07/05,12:35:05,36.34
2017/07/05,12:35:06,36.34
2017/07/05,12:35:07,36.34
2017/07/05,12:35:08,36.34
2017/07/05,12:35:09,36.34
2017/07/05,12:35:10,36.34
2017/07/05,12:35:11,36.34
2017/07/05,12:35:12,36.34
2017/07/05,12:35:13,36.34
2017/07/05,12:35:14,36.34
2017/07/05,12:35:15,36.34
2017/07/05,12:35:16,36.67
2017/07/05,12:35:17,36.67
2017/07/05,12:35:18,36.34
2017/07/05,12:35:19,36.34
2017/07/05,12:35:20,37.67
2017/07/05,12:35:21,38.33
2017/07/05,12:35:22,40.32
2017/07/05,12:35:23,48.57
2017/07/05,12:35:24,60.37
2017/07/05,12:35:25,58.08
2017/07/05,12:35:26,54.48
2017/07/05,12:35:27,51.53
2017/07/05,12:35:28,47.25
2017/07/05,12:35:29,46.59
2017/07/05,12:35:30,47.25
2017/07/05,12:35:31,54.81
2017/07/05,12:35:32,54.81
2017/07/05,12:35:33,52.18
2017/07/05,12:35:34,50.21
2017/07/05,12:35:35,48.24
2017/07/05,12:35:36,46.26
2017/07/05,12:35:37,45.28
2017/07/05,12:35:38,44.62
2017/07/05,12:35:39,43.96
2017/07/05,12:35:40,43.30
2017/07/05,12:35:41,42.64
2017/07/05,12:35:42,41.97
2017/07/05,12:35:43,42.64
2017/07/05,12:35:44,42.97
2017/07/05,12:35:45,43.30
2017/07/05,12:35:46,43.30
2017/07/05,12:35:47,43.30
2017/07/05,12:35:48,42.64
2017/07/05,12:35:49,42.30
2017/07/05,12:35:50,41.97
2017/07/05,12:35:51,41.31
2017/07/05,12:35:52,46.59
2017/07/05,12:35:53,54.15
2017/07/05,12:35:54,60.04
2017/07/05,12:35:55,62.65
2017/07/05,12:35:56,62.33
2017/07/05,12:35:57,57.42
2017/07/05,12:35:58,55.13
2017/07/05,12:35:59,57.42
2017/07/05,12:36:00,61.67
2017/07/05,12:36:01,73.41
2017/07/05,12:36:02,111.36
2017/07/05,12:36:03,137.62
2017/07/05,12:36:04,140.30
2017/07/05,12:36:05,143.65
2017/07/05,12:36:06,126.27
2017/07/05,12:36:07,159.83
2017/07/05,12:36:08,325.22
2017/07/05,12:36:09,366.66
2017/07/05,12:36:10,361.50
2017/07/05,12:36:11,383.75
2017/07/05,12:36:12,340.15
2017/07/05,12:36:13,262.28
2017/07/05,12:36:14,227.19
2017/07/05,12:36:15,212.35
2017/07/05,12:36:16,172.01
2017/07/05,12:36:17,143.32
2017/07/05,12:36:18,119.30
2017/07/05,12:36:19,105.43
2017/07/05,12:36:20,98.87
2017/07/05,12:36:21,87.10
2017/07/05,12:36:22,76.02
2017/07/05,12:36:23,70.48
2017/07/05,12:36:24,68.85
2017/07/05,12:36:25,68.20
2017/07/05,12:36:26,66.24
2017/07/05,12:36:27,64.94
2017/07/05,12:36:28,61.35
2017/07/05,12:36:29,58.73
2017/07/05,12:36:30,56.44
2017/07/05,12:36:31,57.42
2017/07/05,12:36:32,58.41
2017/07/05,12:36:33,59.06
2017/07/05,12:36:34,58.73
2017/07/05,12:36:35,59.39
2017/07/05,12:36:36,61.35
2017/07/05,12:36:37,60.69
2017/07/05,12:36:38,59.39
2017/07/05,12:36:39,58.41
2017/07/05,12:36:40,59.06
2017/07/05,12:36:41,58.73
2017/07/05,12:36:42,58.41
2017/07/05,12:36:43,58.73
2017/07/05,12:36:44,58.08
2017/07/05,12:36:45,58.08
2017/07/05,12:36:46,58.08
2017/07/05,12:36:47,58.08
2017/07/05,12:36:48,58.41
2017/07/05,12:36:49,58.41
2017/07/05,12:36:50,58.08
2017/07/05,12:36:51,57.75
2017/07/05,12:36:52,57.75
2017/07/05,12:36:53,57.75
2017/07/05,12:36:54,57.42
2017/07/05,12:36:55,56.77
2017/07/05,12:36:56,57.42
2017/07/05,12:36:57,57.10
2017/07/05,12:36:58,56.77
2017/07/05,12:36:59,56.77
2017/07/05,12:37:00,56.44
2017/07/05,12:37:01,56.44
2017/07/05,12:37:02,56.77
2017/07/05,12:37:03,56.44
2017/07/05,12:37:04,56.12
2017/07/05,12:37:05,55.79
2017/07/05,12:37:06,55.79
2017/07/05,12:37:07,54.81
2017/07/05,12:37:08,54.81
2017/07/05,12:37:09,54.81
2017/07/05,12:37:10,54.48
2017/07/05,12:37:11,54.48
2017/07/05,12:37:12,54.81
2017/07/05,12:37:13,55.13
2017/07/05,12:37:14,54.81
2017/07/05,12:37:15,55.13
2017/07/05,12:37:16,55.13
2017/07/05,12:37:17,55.46
2017/07/05,12:37:18,54.81
2017/07/05,12:37:19,52.18
2017/07/05,12:37:20,51.20
2017/07/05,12:37:21,49.88
2017/07/05,12:37:22,49.88
2017/07/05,12:37:23,50.87
2017/07/05,12:37:24,51.53
2017/07/05,12:37:25,49.56
2017/07/05,12:37:26,46.92
2017/07/05,12:37:27,45.94
2017/07/05,12:37:28,45.28
2017/07/05,12:37:29,46.26
2017/07/05,12:37:30,43.63
2017/07/05,12:37:31,43.96
2017/07/05,12:37:32,41.97
2017/07/05,12:37:33,41.64
2017/07/05,12:37:34,40.65
2017/07/05,12:37:35,40.65
2017/07/05,12:37:36,40.65
2017/07/05,12:37:37,39.99
2017/07/05,12:37:38,39.66
2017/07/05,12:37:39,40.65
2017/07/05,12:37:40,40.65
2017/07/05,12:37:41,41.31
2017/07/05,12:37:42,42.30
2017/07/05,12:37:43,41.31
2017/07/05,12:37:44,40.98
2017/07/05,12:37:45,40.98
2017/07/05,12:37:46,41.64
2017/07/05,12:37:47,41.31
