"Date","Time, GMT-04:00","K-Type, °C (LGR S/N: 2256868)"
2017/07/12,09:49:00,29.01
2017/07/12,09:49:01,28.67
2017/07/12,09:49:02,28.67
2017/07/12,09:49:03,28.67
2017/07/12,09:49:04,28.67
2017/07/12,09:49:05,28.67
2017/07/12,09:49:06,29.01
2017/07/12,09:49:07,29.01
2017/07/12,09:49:08,29.01
2017/07/12,09:49:09,29.01
2017/07/12,09:49:10,29.01
2017/07/12,09:49:11,29.34
2017/07/12,09:49:12,29.34
2017/07/12,09:49:13,29.01
2017/07/12,09:49:14,29.34
2017/07/12,09:49:15,29.34
2017/07/12,09:49:16,29.34
2017/07/12,09:49:17,29.34
2017/07/12,09:49:18,29.34
2017/07/12,09:49:19,29.34
2017/07/12,09:49:20,29.34
2017/07/12,09:49:21,29.67
2017/07/12,09:49:22,29.67
2017/07/12,09:49:23,29.67
2017/07/12,09:49:24,29.67
2017/07/12,09:49:25,29.67
2017/07/12,09:49:26,29.67
2017/07/12,09:49:27,29.67
2017/07/12,09:49:28,29.67
2017/07/12,09:49:29,29.67
2017/07/12,09:49:30,30.01
2017/07/12,09:49:31,29.67
2017/07/12,09:49:32,30.01
2017/07/12,09:49:33,30.01
2017/07/12,09:49:34,30.01
2017/07/12,09:49:35,30.01
2017/07/12,09:49:36,30.01
2017/07/12,09:49:37,30.01
2017/07/12,09:49:38,30.01
2017/07/12,09:49:39,30.01
2017/07/12,09:49:40,30.01
2017/07/12,09:49:41,30.01
2017/07/12,09:49:42,30.01
2017/07/12,09:49:43,30.01
2017/07/12,09:49:44,30.01
2017/07/12,09:49:45,30.01
2017/07/12,09:49:46,30.01
2017/07/12,09:49:47,30.01
2017/07/12,09:49:48,30.01
2017/07/12,09:49:49,30.01
2017/07/12,09:49:50,30.01
2017/07/12,09:49:51,30.01
2017/07/12,09:49:52,30.01
2017/07/12,09:49:53,30.01
2017/07/12,09:49:54,30.01
2017/07/12,09:49:55,30.01
2017/07/12,09:49:56,30.01
2017/07/12,09:49:57,30.01
