"Date","Time, GMT-04:00","K-Type, °C (LGR S/N: 2249227)"
2017/07/12,11:32:03,27.67
2017/07/12,11:32:04,27.67
2017/07/12,11:32:05,27.67
2017/07/12,11:32:06,27.67
2017/07/12,11:32:07,27.67
2017/07/12,11:32:08,27.67
2017/07/12,11:32:09,27.67
2017/07/12,11:32:10,27.67
2017/07/12,11:32:11,27.67
2017/07/12,11:32:12,27.67
2017/07/12,11:32:13,27.67
2017/07/12,11:32:14,27.67
2017/07/12,11:32:15,27.67
2017/07/12,11:32:16,27.67
2017/07/12,11:32:17,27.67
2017/07/12,11:32:18,27.67
2017/07/12,11:32:19,27.67
2017/07/12,11:32:20,27.67
2017/07/12,11:32:21,27.67
2017/07/12,11:32:22,27.67
2017/07/12,11:32:23,27.67
2017/07/12,11:32:24,27.67
2017/07/12,11:32:25,27.67
2017/07/12,11:32:26,27.67
2017/07/12,11:32:27,27.67
2017/07/12,11:32:28,27.67
2017/07/12,11:32:29,28.00
2017/07/12,11:32:30,27.67
2017/07/12,11:32:31,27.67
2017/07/12,11:32:32,28.00
2017/07/12,11:32:33,28.00
2017/07/12,11:32:34,27.67
2017/07/12,11:32:35,28.00
2017/07/12,11:32:36,27.67
2017/07/12,11:32:37,28.00
2017/07/12,11:32:38,28.00
2017/07/12,11:32:39,28.00
2017/07/12,11:32:40,28.00
2017/07/12,11:32:41,28.00
2017/07/12,11:32:42,28.00
2017/07/12,11:32:43,28.00
2017/07/12,11:32:44,28.00
2017/07/12,11:32:45,28.00
2017/07/12,11:32:46,28.00
2017/07/12,11:32:47,28.00
2017/07/12,11:32:48,28.00
2017/07/12,11:32:49,28.00
2017/07/12,11:32:50,28.00
2017/07/12,11:32:51,28.00
2017/07/12,11:32:52,28.00
2017/07/12,11:32:53,28.00
2017/07/12,11:32:54,28.00
2017/07/12,11:32:55,28.00
2017/07/12,11:32:56,28.34
2017/07/12,11:32:57,28.34
2017/07/12,11:32:58,28.34
2017/07/12,11:32:59,28.34
2017/07/12,11:33:00,28.34
2017/07/12,11:33:01,28.34
2017/07/12,11:33:02,28.34
2017/07/12,11:33:03,28.34
2017/07/12,11:33:04,28.34
2017/07/12,11:33:05,28.34
2017/07/12,11:33:06,28.34
2017/07/12,11:33:07,28.34
2017/07/12,11:33:08,28.34
2017/07/12,11:33:09,28.34
2017/07/12,11:33:10,28.34
2017/07/12,11:33:11,28.34
2017/07/12,11:33:12,28.34
2017/07/12,11:33:13,28.34
2017/07/12,11:33:14,28.34
2017/07/12,11:33:15,28.34
2017/07/12,11:33:16,28.34
2017/07/12,11:33:17,28.34
2017/07/12,11:33:18,28.34
2017/07/12,11:33:19,28.34
2017/07/12,11:33:20,28.34
2017/07/12,11:33:21,28.34
2017/07/12,11:33:22,28.67
2017/07/12,11:33:23,28.67
2017/07/12,11:33:24,28.34
2017/07/12,11:33:25,28.34
2017/07/12,11:33:26,28.34
2017/07/12,11:33:27,28.34
2017/07/12,11:33:28,28.67
2017/07/12,11:33:29,28.67
2017/07/12,11:33:30,28.34
2017/07/12,11:33:31,28.67
2017/07/12,11:33:32,28.67
2017/07/12,11:33:33,28.34
2017/07/12,11:33:34,28.34
2017/07/12,11:33:35,28.34
2017/07/12,11:33:36,28.67
2017/07/12,11:33:37,28.34
2017/07/12,11:33:38,28.67
2017/07/12,11:33:39,28.34
2017/07/12,11:33:40,28.67
2017/07/12,11:33:41,28.67
2017/07/12,11:33:42,28.67
2017/07/12,11:33:43,28.67
2017/07/12,11:33:44,28.67
2017/07/12,11:33:45,28.67
2017/07/12,11:33:46,28.67
2017/07/12,11:33:47,28.67
2017/07/12,11:33:48,28.67
2017/07/12,11:33:49,28.67
2017/07/12,11:33:50,28.67
