"Date","Time, GMT-04:00","K-Type, °C (LGR S/N: 2249225)"
2017/04/07,10:24:21,35.34
2017/04/07,10:24:22,36.34
2017/04/07,10:24:23,37.67
2017/04/07,10:24:24,38.33
2017/04/07,10:24:25,39.66
2017/04/07,10:24:26,39.99
2017/04/07,10:24:27,38.99
2017/04/07,10:24:28,41.97
2017/04/07,10:24:29,44.95
2017/04/07,10:24:30,45.61
2017/04/07,10:24:31,52.18
2017/04/07,10:24:32,49.56
2017/04/07,10:24:33,46.59
2017/04/07,10:24:34,46.26
2017/04/07,10:24:35,45.28
2017/04/07,10:24:36,41.97
2017/04/07,10:24:37,38.33
2017/04/07,10:24:38,38.66
2017/04/07,10:24:39,35.68
2017/04/07,10:24:40,33.01
2017/04/07,10:24:41,34.01
2017/04/07,10:24:42,36.34
2017/04/07,10:24:43,37.34
2017/04/07,10:24:44,37.67
2017/04/07,10:24:45,38.66
2017/04/07,10:24:46,39.99
2017/04/07,10:24:47,39.99
2017/04/07,10:24:48,35.68
2017/04/07,10:24:49,34.01
2017/04/07,10:24:50,31.68
2017/04/07,10:24:51,30.34
2017/04/07,10:24:52,30.01
2017/04/07,10:24:53,31.34
2017/04/07,10:24:54,31.34
2017/04/07,10:24:55,33.35
2017/04/07,10:24:56,35.68
2017/04/07,10:24:57,36.34
2017/04/07,10:24:58,37.00
2017/04/07,10:24:59,38.33
2017/04/07,10:25:00,38.66
2017/04/07,10:25:01,38.00
2017/04/07,10:25:02,38.33
2017/04/07,10:25:03,37.34
2017/04/07,10:25:04,35.68
2017/04/07,10:25:05,32.68
2017/04/07,10:25:06,31.01
2017/04/07,10:25:07,29.67
2017/04/07,10:25:08,27.67
2017/04/07,10:25:09,28.00
2017/04/07,10:25:10,28.00
2017/04/07,10:25:11,25.65
2017/04/07,10:25:12,26.33
2017/04/07,10:25:13,27.67
2017/04/07,10:25:14,29.01
2017/04/07,10:25:15,28.00
2017/04/07,10:25:16,28.00
2017/04/07,10:25:17,25.65
2017/04/07,10:25:18,24.31
2017/04/07,10:25:19,22.63
2017/04/07,10:25:20,24.31
2017/04/07,10:25:21,25.32
2017/04/07,10:25:22,25.99
2017/04/07,10:25:23,26.33
2017/04/07,10:25:24,27.00
2017/04/07,10:25:25,26.33
2017/04/07,10:25:26,24.98
2017/04/07,10:25:27,23.30
2017/04/07,10:25:28,23.98
2017/04/07,10:25:29,25.32
2017/04/07,10:25:30,25.65
2017/04/07,10:25:31,25.99
2017/04/07,10:25:32,23.64
2017/04/07,10:25:33,23.64
2017/04/07,10:25:34,23.64
2017/04/07,10:25:35,23.64
2017/04/07,10:25:36,23.30
2017/04/07,10:25:37,23.64
2017/04/07,10:25:38,24.31
2017/04/07,10:25:39,25.32
2017/04/07,10:25:40,25.65
2017/04/07,10:25:41,24.98
2017/04/07,10:25:42,26.33
2017/04/07,10:25:43,28.34
2017/04/07,10:25:44,28.00
2017/04/07,10:25:45,27.33
2017/04/07,10:25:46,26.33
2017/04/07,10:25:47,25.99
