year,cs_id,ring_width_mm
2018,39-B_AC_crossSection1,4.614333333333331
2017,39-B_AC_crossSection1,7.747
2016,39-B_AC_crossSection1,4.952999999999999
2015,39-B_AC_crossSection1,4.106333333333335
2014,39-B_AC_crossSection1,8.974666666666668
2013,39-B_AC_crossSection1,NA
2018,39-P_AC_crossSection1,2.8786666666666676
2017,39-P_AC_crossSection1,7.662333333333333
2016,39-P_AC_crossSection1,8.593666666666667
2015,39-P_AC_crossSection1,6.561666666666664
2014,39-P_AC_crossSection1,4.021666666666672
2013,39-P_AC_crossSection1,5.8843333333333305
2018,39-S_AC_crossSection1,1.5663333333333327
2017,39-S_AC_crossSection1,3.894666666666666
2016,39-S_AC_crossSection1,5.0376666666666665
2015,39-S_AC_crossSection1,5.376333333333335
2014,39-S_AC_crossSection1,3.3866666666666667
2013,39-S_AC_crossSection1,5.503333333333334
