year,cs_id,ring_width_mm,treatment
2016,29-N_AC_crossSection1,7.06966666666667,AC
2015,29-N_AC_crossSection1,5.207000000000001,AC
2014,29-N_AC_crossSection1,4.487333333333332,AC
2013,29-N_AC_crossSection1,6.0959999999999965,AC
2018,30-B_DC_crossSection1,7.408333333333331,DC
2017,30-B_DC_crossSection1,17.145000000000003,DC
2016,30-B_DC_crossSection1,10.075333333333333,DC
2015,30-B_DC_crossSection1,6.434666666666665,DC
2014,30-B_DC_crossSection1,6.138333333333335,DC
2013,30-B_DC_crossSection1,NA,DC
2018,30-D_DC_crossSection1,1.7779999999999987,DC
2017,30-D_DC_crossSection1,6.4346666666666685,DC
2016,30-D_DC_crossSection1,6.688666666666666,DC
2015,30-D_DC_crossSection1,5.4609999999999985,DC
2014,30-D_DC_crossSection1,10.202333333333335,DC
2013,30-D_DC_crossSection1,NA,DC
2018,30-J_DC_crossSection1,5.757333333333328,DC
2017,30-J_DC_crossSection1,9.60966666666667,DC
2016,30-J_DC_crossSection1,5.291666666666671,DC
2015,30-J_DC_crossSection1,13.969999999999999,DC
2014,30-J_DC_crossSection1,9.313333333333333,DC
2013,30-J_DC_crossSection1,13.969999999999999,DC
2018,30-K_DC_crossSection1,1.1853333333333325,DC
2017,30-K_DC_crossSection1,4.699000000000002,DC
2016,30-K_DC_crossSection1,6.730999999999998,DC
2015,30-K_DC_crossSection1,7.662333333333333,DC
2014,30-K_DC_crossSection1,10.117666666666665,DC
2013,30-K_DC_crossSection1,NA,DC
2018,30-L_DC_crossSection1,1.4393333333333338,DC
2017,30-L_DC_crossSection1,5.164666666666665,DC
2016,30-L_DC_crossSection1,2.2436666666666696,DC
2015,30-L_DC_crossSection1,6.138333333333332,DC
2014,30-L_DC_crossSection1,4.995333333333335,DC
2013,30-L_DC_crossSection1,7.873999999999999,DC
2018,30-S_DC_crossSection1,3.1326666666666725,DC
2017,30-S_DC_crossSection1,14.096999999999998,DC
2016,30-S_DC_crossSection1,7.7046666666666646,DC
2015,30-S_DC_crossSection1,6.096000000000004,DC
2014,30-S_DC_crossSection1,6.646333333333331,DC
2013,30-S_DC_crossSection1,NA,DC
2018,31-C_AN_crossSection1,2.2860000000000014,AN
2017,31-C_AN_crossSection1,8.043333333333333,AN
2016,31-C_AN_crossSection1,7.662333333333333,AN
2015,31-C_AN_crossSection1,8.297333333333334,AN
2014,31-C_AN_crossSection1,6.096000000000004,AN
2013,31-C_AN_crossSection1,NA,AN
2018,33-P_DC_crossSection1,1.9896666666666647,DC
2017,33-P_DC_crossSection1,4.699000000000002,DC
2016,33-P_DC_crossSection1,5.376333333333331,DC
2015,33-P_DC_crossSection1,7.493000000000002,DC
2014,33-P_DC_crossSection1,4.656666666666666,DC
2013,33-P_DC_crossSection1,NA,DC
2018,34-C_AN_crossSection1,3.4289999999999985,AN
2017,34-C_AN_crossSection1,10.498666666666669,AN
2016,34-C_AN_crossSection1,4.656666666666666,AN
2015,34-C_AN_crossSection1,5.588000000000001,AN
2014,34-C_AN_crossSection1,7.323666666666664,AN
2013,34-C_AN_crossSection1,NA,AN
2018,34-Q_AN_crossSection1,3.3443333333333314,AN
2017,34-Q_AN_crossSection1,10.160000000000004,AN
2016,34-Q_AN_crossSection1,6.519333333333336,AN
2015,34-Q_AN_crossSection1,8.128,AN
2014,34-Q_AN_crossSection1,12.276666666666664,AN
2013,34-Q_AN_crossSection1,NA,AN
2018,35-S_DN_crossSection1,1.2699999999999996,DN
2017,35-S_DN_crossSection1,3.1750000000000007,DN
2016,35-S_DN_crossSection1,6.8580000000000005,DN
2015,35-S_DN_crossSection1,5.0376666666666665,DN
2014,35-S_DN_crossSection1,7.577666666666666,DN
2013,35-S_DN_crossSection1,NA,DN
2018,37-J_AN_crossSection1,1.2276666666666678,AN
2017,37-J_AN_crossSection1,3.2173333333333325,AN
2016,37-J_AN_crossSection1,6.434666666666665,AN
2015,37-J_AN_crossSection1,6.096000000000004,AN
2014,37-J_AN_crossSection1,3.5983333333333327,AN
2013,37-J_AN_crossSection1,6.053666666666668,AN
2018,39-B_AC_crossSection1,4.614333333333331,AC
2017,39-B_AC_crossSection1,7.747,AC
2016,39-B_AC_crossSection1,4.952999999999999,AC
2015,39-B_AC_crossSection1,4.106333333333335,AC
2014,39-B_AC_crossSection1,8.974666666666668,AC
2013,39-B_AC_crossSection1,NA,AC
2018,39-F_AC_crossSection1,2.6246666666666663,AC
2017,39-F_AC_crossSection1,4.910666666666668,AC
2016,39-F_AC_crossSection1,5.0376666666666665,AC
2015,39-F_AC_crossSection1,4.995333333333335,AC
2014,39-F_AC_crossSection1,2.666999999999998,AC
2013,39-F_AC_crossSection1,5.0376666666666665,AC
2018,39-I_AC_crossSection1,1.947333333333333,AC
2017,39-I_AC_crossSection1,8.720666666666666,AC
2016,39-I_AC_crossSection1,10.498666666666669,AC
2015,39-I_AC_crossSection1,6.519333333333332,AC
2014,39-I_AC_crossSection1,4.868333333333332,AC
2013,39-I_AC_crossSection1,6.942666666666668,AC
2018,39-P_AC_crossSection1,2.8786666666666676,AC
2017,39-P_AC_crossSection1,7.662333333333333,AC
2016,39-P_AC_crossSection1,8.593666666666667,AC
2015,39-P_AC_crossSection1,6.561666666666664,AC
2014,39-P_AC_crossSection1,4.021666666666672,AC
2013,39-P_AC_crossSection1,5.8843333333333305,AC
2018,39-S_AC_crossSection1,1.5663333333333327,AC
2017,39-S_AC_crossSection1,3.894666666666666,AC
2016,39-S_AC_crossSection1,5.0376666666666665,AC
2015,39-S_AC_crossSection1,5.376333333333335,AC
2014,39-S_AC_crossSection1,3.3866666666666667,AC
2013,39-S_AC_crossSection1,5.503333333333334,AC
2018,40-E_DN_crossSection1,3.5136666666666656,DN
2017,40-E_DN_crossSection1,13.758333333333336,DN
2016,40-E_DN_crossSection1,7.53533333333333,DN
2015,40-E_DN_crossSection1,8.128,DN
2014,40-E_DN_crossSection1,11.726333333333336,DN
2013,40-E_DN_crossSection1,NA,DN
