date,time,tempC,location,probe_type,fire_id
2017-07-05,12:36:14,423.22,25cm,old,1
2017-07-05,12:36:15,367.31,25cm,old,1
2017-07-05,12:36:16,300.78,25cm,old,1
2017-07-05,12:36:17,223.83,25cm,old,1
2017-07-05,12:36:18,177.78,25cm,old,1
2017-07-05,12:36:19,153.08,25cm,old,1
2017-07-05,12:36:20,134.27,25cm,old,1
2017-07-05,12:36:21,114.66,25cm,old,1
2017-07-05,12:36:22,97.23,25cm,old,1
2017-07-05,12:36:23,84.82,25cm,old,1
2017-07-05,12:36:24,72.76,25cm,old,1
2017-07-05,12:36:25,64.61,25cm,old,1
2017-07-05,12:36:26,58.73,25cm,old,1
2017-07-05,12:36:27,55.46,25cm,old,1
2017-07-05,12:36:28,53.17,25cm,old,1
2017-07-05,12:36:29,49.56,25cm,old,1
2017-07-05,12:36:30,46.59,25cm,old,1
2017-07-05,12:36:31,44.95,25cm,old,1
2017-07-05,12:36:32,43.96,25cm,old,1
2017-07-05,12:36:33,43.63,25cm,old,1
2017-07-05,12:36:34,45.28,25cm,old,1
2017-07-05,12:36:35,47.91,25cm,old,1
2017-07-05,12:36:36,49.56,25cm,old,1
2017-07-05,12:36:37,48.9,25cm,old,1
2017-07-05,12:36:38,49.56,25cm,old,1
2017-07-05,12:36:39,49.88,25cm,old,1
2017-07-05,12:36:40,50.87,25cm,old,1
2017-07-05,12:35:30,47.25,50cm,old,1
2017-07-05,12:35:31,54.81,50cm,old,1
2017-07-05,12:35:32,54.81,50cm,old,1
2017-07-05,12:35:33,52.18,50cm,old,1
2017-07-05,12:35:34,50.21,50cm,old,1
2017-07-05,12:35:35,48.24,50cm,old,1
2017-07-05,12:35:36,46.26,50cm,old,1
2017-07-05,12:35:37,45.28,50cm,old,1
2017-07-05,12:35:38,44.62,50cm,old,1
2017-07-05,12:35:39,43.96,50cm,old,1
2017-07-05,12:35:40,43.3,50cm,old,1
2017-07-05,12:35:41,42.64,50cm,old,1
2017-07-05,12:35:42,41.97,50cm,old,1
2017-07-05,12:35:43,42.64,50cm,old,1
2017-07-05,12:35:44,42.97,50cm,old,1
2017-07-05,12:35:45,43.3,50cm,old,1
2017-07-05,12:35:46,43.3,50cm,old,1
2017-07-05,12:35:47,43.3,50cm,old,1
2017-07-05,12:35:48,42.64,50cm,old,1
2017-07-05,12:35:49,42.3,50cm,old,1
2017-07-05,12:35:50,41.97,50cm,old,1
2017-07-05,12:35:51,41.31,50cm,old,1
2017-07-05,12:35:52,46.59,50cm,old,1
2017-07-05,12:35:53,54.15,50cm,old,1
2017-07-05,12:35:54,60.04,50cm,old,1
2017-07-05,12:35:55,62.65,50cm,old,1
2017-07-05,12:35:56,62.33,50cm,old,1
2017-07-05,12:35:57,57.42,50cm,old,1
2017-07-05,12:35:58,55.13,50cm,old,1
2017-07-05,12:35:59,57.42,50cm,old,1
2017-07-05,12:36:00,61.67,50cm,old,1
2017-07-05,12:36:01,73.41,50cm,old,1
2017-07-05,12:36:02,111.36,50cm,old,1
2017-07-05,12:36:03,137.62,50cm,old,1
2017-07-05,12:36:04,140.3,50cm,old,1
2017-07-05,12:36:05,143.65,50cm,old,1
2017-07-05,12:36:06,126.27,50cm,old,1
2017-07-05,12:36:07,159.83,50cm,old,1
2017-07-05,12:36:08,325.22,50cm,old,1
2017-07-05,12:36:09,366.66,50cm,old,1
2017-07-05,12:36:10,361.5,50cm,old,1
2017-07-05,12:36:11,383.75,50cm,old,1
2017-07-05,12:36:12,340.15,50cm,old,1
2017-07-05,12:36:13,262.28,50cm,old,1
2017-07-05,12:36:14,227.19,50cm,old,1
2017-07-05,12:36:15,212.35,50cm,old,1
2017-07-05,12:36:16,172.01,50cm,old,1
2017-07-05,12:36:17,143.32,50cm,old,1
2017-07-05,12:36:18,119.3,50cm,old,1
2017-07-05,12:36:19,105.43,50cm,old,1
2017-07-05,12:36:20,98.87,50cm,old,1
2017-07-05,12:36:21,87.1,50cm,old,1
2017-07-05,12:36:22,76.02,50cm,old,1
2017-07-05,12:36:23,70.48,50cm,old,1
2017-07-05,12:36:24,68.85,50cm,old,1
2017-07-05,12:36:25,68.2,50cm,old,1
2017-07-05,12:36:26,66.24,50cm,old,1
2017-07-05,12:36:27,64.94,50cm,old,1
2017-07-05,12:36:28,61.35,50cm,old,1
2017-07-05,12:36:29,58.73,50cm,old,1
2017-07-05,12:36:30,56.44,50cm,old,1
2017-07-05,12:36:31,57.42,50cm,old,1
2017-07-05,12:36:32,58.41,50cm,old,1
2017-07-05,12:36:33,59.06,50cm,old,1
2017-07-05,12:36:34,58.73,50cm,old,1
2017-07-05,12:36:35,59.39,50cm,old,1
2017-07-05,12:36:36,61.35,50cm,old,1
2017-07-05,12:36:37,60.69,50cm,old,1
2017-07-05,12:36:38,59.39,50cm,old,1
2017-07-05,12:36:39,58.41,50cm,old,1
2017-07-05,12:36:40,59.06,50cm,old,1
2017-07-05,13:11:40,33.68,0cm,old,2
2017-07-05,13:11:41,33.68,0cm,old,2
2017-07-05,13:11:42,33.68,0cm,old,2
2017-07-05,13:11:43,33.68,0cm,old,2
2017-07-05,13:11:44,33.68,0cm,old,2
2017-07-05,13:11:45,33.68,0cm,old,2
2017-07-05,13:11:46,33.68,0cm,old,2
2017-07-05,13:11:47,33.68,0cm,old,2
2017-07-05,13:11:48,33.68,0cm,old,2
2017-07-05,13:11:49,33.68,0cm,old,2
2017-07-05,13:11:50,33.68,0cm,old,2
2017-07-05,13:11:51,33.68,0cm,old,2
2017-07-05,13:11:52,33.68,0cm,old,2
2017-07-05,13:11:53,33.68,0cm,old,2
2017-07-05,13:11:54,33.68,0cm,old,2
2017-07-05,13:11:55,33.68,0cm,old,2
2017-07-05,13:11:56,33.68,0cm,old,2
2017-07-05,13:11:57,33.68,0cm,old,2
2017-07-05,13:11:58,34.01,0cm,old,2
2017-07-05,13:11:59,34.01,0cm,old,2
2017-07-05,13:12:00,34.01,0cm,old,2
2017-07-05,13:12:01,34.01,0cm,old,2
2017-07-05,13:12:02,34.01,0cm,old,2
2017-07-05,13:12:03,34.01,0cm,old,2
2017-07-05,13:12:04,34.01,0cm,old,2
2017-07-05,13:12:05,33.68,0cm,old,2
2017-07-05,13:12:06,34.01,0cm,old,2
2017-07-05,13:12:07,34.01,0cm,old,2
2017-07-05,13:12:08,34.01,0cm,old,2
2017-07-05,13:12:09,34.01,0cm,old,2
2017-07-05,13:12:10,34.34,0cm,old,2
2017-07-05,13:12:11,34.01,0cm,old,2
2017-07-05,13:12:12,34.34,0cm,old,2
2017-07-05,13:12:13,34.34,0cm,old,2
2017-07-05,13:12:14,34.34,0cm,old,2
2017-07-05,13:12:15,34.34,0cm,old,2
2017-07-05,13:12:16,34.68,0cm,old,2
2017-07-05,13:12:17,35.01,0cm,old,2
2017-07-05,13:12:18,35.01,0cm,old,2
2017-07-05,13:12:19,35.01,0cm,old,2
2017-07-05,13:12:20,35.01,0cm,old,2
2017-07-05,13:12:21,35.34,0cm,old,2
2017-07-05,13:12:22,35.68,0cm,old,2
2017-07-05,13:12:23,36.01,0cm,old,2
2017-07-05,13:12:24,36.01,0cm,old,2
2017-07-05,13:12:25,36.34,0cm,old,2
2017-07-05,13:12:26,37.34,0cm,old,2
2017-07-05,13:12:27,37.67,0cm,old,2
2017-07-05,13:12:28,38.99,0cm,old,2
2017-07-05,13:12:29,40.65,0cm,old,2
2017-07-05,13:12:30,43.3,0cm,old,2
2017-07-05,13:12:31,45.94,0cm,old,2
2017-07-05,13:12:32,48.9,0cm,old,2
2017-07-05,13:12:33,54.81,0cm,old,2
2017-07-05,13:12:34,54.15,0cm,old,2
2017-07-05,13:12:35,54.48,0cm,old,2
2017-07-05,13:12:36,57.42,0cm,old,2
2017-07-05,13:12:37,69.5,0cm,old,2
2017-07-05,13:12:38,73.74,0cm,old,2
2017-07-05,13:12:39,78.62,0cm,old,2
2017-07-05,13:12:40,82.86,0cm,old,2
2017-07-05,13:12:41,87.75,0cm,old,2
2017-07-05,13:12:42,92.33,0cm,old,2
2017-07-05,13:12:43,98.54,0cm,old,2
2017-07-05,13:12:44,104.12,0cm,old,2
2017-07-05,13:12:45,113.67,0cm,old,2
2017-07-05,13:12:46,115.33,0cm,old,2
2017-07-05,13:12:47,116.32,0cm,old,2
2017-07-05,13:12:48,115.66,0cm,old,2
2017-07-05,13:12:49,119.63,0cm,old,2
2017-07-05,13:12:50,121.95,0cm,old,2
2017-07-05,13:12:51,128.6,0cm,old,2
2017-07-05,13:12:52,135.94,0cm,old,2
2017-07-05,13:12:53,137.28,0cm,old,2
2017-07-05,13:12:54,141.64,0cm,old,2
2017-07-05,13:12:55,150.04,0cm,old,2
2017-07-05,13:12:56,159.15,0cm,old,2
2017-07-05,13:12:57,165.91,0cm,old,2
2017-07-05,13:12:58,172.35,0cm,old,2
2017-07-05,13:12:59,179.13,0cm,old,2
2017-07-05,13:13:00,182.52,0cm,old,2
2017-07-05,13:13:01,204.23,0cm,old,2
2017-07-05,13:13:02,205.24,0cm,old,2
2017-07-05,13:13:03,206.6,0cm,old,2
2017-07-05,13:13:04,241.96,0cm,old,2
2017-07-05,13:13:05,240.95,0cm,old,2
2017-07-05,13:13:06,233.91,0cm,old,2
2017-07-05,13:13:07,217.42,0cm,old,2
2017-07-05,13:13:08,204.23,0cm,old,2
2017-07-05,13:13:09,193.04,0cm,old,2
2017-07-05,13:13:10,189.31,0cm,old,2
2017-07-05,13:13:11,195.42,0cm,old,2
2017-07-05,13:13:12,206.26,0cm,old,2
2017-07-05,13:13:13,224.16,0cm,old,2
2017-07-05,13:13:14,233.91,0cm,old,2
2017-07-05,13:13:15,240.62,0cm,old,2
2017-07-05,13:13:16,253.64,0cm,old,2
2017-07-05,13:13:17,244.97,0cm,old,2
2017-07-05,13:13:18,255.3,0cm,old,2
2017-07-05,13:13:19,233.24,0cm,old,2
2017-07-05,13:13:20,214.38,0cm,old,2
2017-07-05,13:13:21,199.49,0cm,old,2
2017-07-05,13:13:22,186.94,0cm,old,2
2017-07-05,13:13:23,182.86,0cm,old,2
2017-07-05,13:13:24,176.42,0cm,old,2
2017-07-05,13:13:25,167.95,0cm,old,2
2017-07-05,13:13:26,164.22,0cm,old,2
2017-07-05,13:13:27,167.61,0cm,old,2
2017-07-05,13:13:28,185.58,0cm,old,2
2017-07-05,13:13:29,199.15,0cm,old,2
2017-07-05,13:13:30,210.32,0cm,old,2
2017-07-05,13:13:31,224.84,0cm,old,2
2017-07-05,13:13:32,235.59,0cm,old,2
2017-07-05,13:13:33,243.63,0cm,old,2
2017-07-05,13:13:34,250.31,0cm,old,2
2017-07-05,13:13:35,255.63,0cm,old,2
2017-07-05,13:13:36,260.62,0cm,old,2
2017-07-05,13:13:37,262.94,0cm,old,2
2017-07-05,13:13:38,267.91,0cm,old,2
2017-07-05,13:13:39,273.2,0cm,old,2
2017-07-05,13:13:40,276.82,0cm,old,2
2017-07-05,13:13:41,287.35,0cm,old,2
2017-07-05,13:13:42,292.27,0cm,old,2
2017-07-05,13:13:43,295.88,0cm,old,2
2017-07-05,13:13:44,289.32,0cm,old,2
2017-07-05,13:13:45,286.7,0cm,old,2
2017-07-05,13:13:46,284.07,0cm,old,2
2017-07-05,13:13:47,287.02,0cm,old,2
2017-07-05,13:13:48,299.48,0cm,old,2
2017-07-05,13:13:49,315.14,0cm,old,2
2017-07-05,13:13:50,329.12,0cm,old,2
2017-07-05,13:13:51,337.55,0cm,old,2
2017-07-05,13:13:52,339.5,0cm,old,2
2017-07-05,13:13:53,331.72,0cm,old,2
2017-07-05,13:13:54,332.69,0cm,old,2
2017-07-05,13:13:55,324.57,0cm,old,2
2017-07-05,13:13:56,317.42,0cm,old,2
2017-07-05,13:13:57,310.25,0cm,old,2
2017-07-05,13:13:58,302.42,0cm,old,2
2017-07-05,13:13:59,293.26,0cm,old,2
2017-07-05,13:14:00,280.12,0cm,old,2
2017-07-05,13:14:01,272.87,0cm,old,2
2017-07-05,13:14:02,272.87,0cm,old,2
2017-07-05,13:14:03,269.56,0cm,old,2
2017-07-05,13:14:04,264.93,0cm,old,2
2017-07-05,13:14:05,256.3,0cm,old,2
2017-07-05,13:14:06,244.97,0cm,old,2
2017-07-05,13:14:07,235.26,0cm,old,2
2017-07-05,13:14:08,227.53,0cm,old,2
2017-07-05,13:14:09,219.44,0cm,old,2
2017-07-05,13:14:10,210.32,0cm,old,2
2017-07-05,13:14:11,201.18,0cm,old,2
2017-07-05,13:14:12,196.09,0cm,old,2
2017-07-05,13:14:13,190.67,0cm,old,2
2017-07-05,13:14:14,186.26,0cm,old,2
2017-07-05,13:14:15,183.2,0cm,old,2
2017-07-05,13:14:16,182.86,0cm,old,2
2017-07-05,13:14:17,181.51,0cm,old,2
2017-07-05,13:14:18,179.13,0cm,old,2
2017-07-05,13:14:19,176.42,0cm,old,2
2017-07-05,13:14:20,173.03,0cm,old,2
2017-07-05,13:14:21,167.95,0cm,old,2
2017-07-05,13:14:22,163.21,0cm,old,2
2017-07-05,13:14:23,160.84,0cm,old,2
2017-07-05,13:14:24,157.8,0cm,old,2
2017-07-05,13:14:25,157.46,0cm,old,2
2017-07-05,13:14:26,156.79,0cm,old,2
2017-07-05,13:14:27,155.1,0cm,old,2
2017-07-05,13:14:28,164.56,0cm,old,2
2017-07-05,13:14:29,179.47,0cm,old,2
2017-07-05,13:14:30,195.42,0cm,old,2
2017-07-05,13:14:31,207.28,0cm,old,2
2017-07-05,13:14:32,218.43,0cm,old,2
2017-07-05,13:14:33,217.42,0cm,old,2
2017-07-05,13:14:34,212.35,0cm,old,2
2017-07-05,13:14:35,209.64,0cm,old,2
2017-07-05,13:14:36,207.61,0cm,old,2
2017-07-05,13:14:37,206.6,0cm,old,2
2017-07-05,13:14:38,213.03,0cm,old,2
2017-07-05,13:14:39,230.56,0cm,old,2
2017-07-05,13:14:40,227.87,0cm,old,2
2017-07-05,13:14:41,226.86,0cm,old,2
2017-07-05,13:14:42,253.3,0cm,old,2
2017-07-05,13:14:43,229.88,0cm,old,2
2017-07-05,13:14:44,209.64,0cm,old,2
2017-07-05,13:14:45,198.81,0cm,old,2
2017-07-05,13:14:46,189.31,0cm,old,2
2017-07-05,13:14:47,184.9,0cm,old,2
2017-07-05,13:14:48,188.29,0cm,old,2
2017-07-05,13:14:49,182.19,0cm,old,2
2017-07-05,13:14:50,177.1,0cm,old,2
2017-07-05,13:14:51,175.74,0cm,old,2
2017-07-05,13:14:52,176.42,0cm,old,2
2017-07-05,13:14:53,173.71,0cm,old,2
2017-07-05,13:14:54,177.44,0cm,old,2
2017-07-05,13:14:55,179.81,0cm,old,2
2017-07-05,13:14:56,173.03,0cm,old,2
2017-07-05,13:14:57,174.72,0cm,old,2
2017-07-05,13:14:58,174.38,0cm,old,2
2017-07-05,13:14:59,167.95,0cm,old,2
2017-07-05,13:15:00,161.52,0cm,old,2
2017-07-05,13:15:01,160.5,0cm,old,2
2017-07-05,13:15:02,157.12,0cm,old,2
2017-07-05,13:15:03,149.03,0cm,old,2
2017-07-05,13:15:04,141.98,0cm,old,2
2017-07-05,13:15:05,141.64,0cm,old,2
2017-07-05,13:15:06,148.36,0cm,old,2
2017-07-05,13:15:07,155.1,0cm,old,2
2017-07-05,13:15:08,161.85,0cm,old,2
2017-07-05,13:15:09,159.49,0cm,old,2
2017-07-05,13:15:10,151.39,0cm,old,2
2017-07-05,13:15:11,151.05,0cm,old,2
2017-07-05,13:15:12,149.71,0cm,old,2
2017-07-05,13:15:13,148.36,0cm,old,2
2017-07-05,13:15:14,150.04,0cm,old,2
2017-07-05,13:15:15,151.73,0cm,old,2
2017-07-05,13:15:16,152.74,0cm,old,2
2017-07-05,13:15:17,153.75,0cm,old,2
2017-07-05,13:15:18,154.42,0cm,old,2
2017-07-05,13:15:19,152.74,0cm,old,2
2017-07-05,13:15:20,148.7,0cm,old,2
2017-07-05,13:15:21,146.34,0cm,old,2
2017-07-05,13:15:22,142.98,0cm,old,2
2017-07-05,13:15:23,137.28,0cm,old,2
2017-07-05,13:15:24,135.61,0cm,old,2
2017-07-05,13:15:25,134.61,0cm,old,2
2017-07-05,13:15:26,132.27,0cm,old,2
2017-07-05,13:15:27,128.93,0cm,old,2
2017-07-05,13:15:28,127.27,0cm,old,2
2017-07-05,13:15:29,126.27,0cm,old,2
2017-07-05,13:15:30,125.6,0cm,old,2
2017-07-05,13:15:31,124.94,0cm,old,2
2017-07-05,13:15:32,123.61,0cm,old,2
2017-07-05,13:15:33,126.6,0cm,old,2
2017-07-05,13:15:34,127.27,0cm,old,2
2017-07-05,13:15:35,128.93,0cm,old,2
2017-07-05,13:15:36,132.94,0cm,old,2
2017-07-05,13:15:37,133.27,0cm,old,2
2017-07-05,13:15:38,135.94,0cm,old,2
2017-07-05,13:15:39,134.27,0cm,old,2
2017-07-05,13:15:40,130.27,0cm,old,2
2017-07-05,13:15:41,126.94,0cm,old,2
2017-07-05,13:15:42,131.27,0cm,old,2
2017-07-05,13:15:43,131.27,0cm,old,2
2017-07-05,13:15:44,124.61,0cm,old,2
2017-07-05,13:15:45,121.95,0cm,old,2
2017-07-05,13:15:46,119.63,0cm,old,2
2017-07-05,13:15:47,116.98,0cm,old,2
2017-07-05,13:15:48,116.65,0cm,old,2
2017-07-05,13:15:49,121.95,0cm,old,2
2017-07-05,13:15:50,121.95,0cm,old,2
2017-07-05,13:15:51,125.27,0cm,old,2
2017-07-05,13:15:52,125.94,0cm,old,2
2017-07-05,13:15:53,121.95,0cm,old,2
2017-07-05,13:15:54,119.96,0cm,old,2
2017-07-05,13:15:55,117.64,0cm,old,2
2017-07-05,13:15:56,114.33,0cm,old,2
2017-07-05,13:15:57,117.31,0cm,old,2
2017-07-05,13:15:58,116.32,0cm,old,2
2017-07-05,13:15:59,117.97,0cm,old,2
2017-07-05,13:16:00,114.99,0cm,old,2
2017-07-05,13:16:01,111.69,0cm,old,2
2017-07-05,13:16:02,109.06,0cm,old,2
2017-07-05,13:16:03,111.03,0cm,old,2
2017-07-05,13:16:04,108.07,0cm,old,2
2017-07-05,13:16:05,105.11,0cm,old,2
2017-07-05,13:16:06,101.82,0cm,old,2
2017-07-05,13:16:07,100.18,0cm,old,2
2017-07-05,13:16:08,97.89,0cm,old,2
2017-07-05,13:16:09,96.25,0cm,old,2
2017-07-05,13:16:10,96.9,0cm,old,2
2017-07-05,13:16:11,98.54,0cm,old,2
2017-07-05,13:16:12,99.85,0cm,old,2
2017-07-05,13:16:13,96.9,0cm,old,2
2017-07-05,13:16:14,95.92,0cm,old,2
2017-07-05,13:16:15,94.61,0cm,old,2
2017-07-05,13:16:16,93.96,0cm,old,2
2017-07-05,13:16:17,92.65,0cm,old,2
2017-07-05,13:16:18,91.67,0cm,old,2
2017-07-05,13:16:19,91.34,0cm,old,2
2017-07-05,13:16:20,90.69,0cm,old,2
2017-07-05,13:16:21,91.02,0cm,old,2
2017-07-05,13:16:22,91.34,0cm,old,2
2017-07-05,13:16:23,88.73,0cm,old,2
2017-07-05,13:16:24,89.71,0cm,old,2
2017-07-05,13:16:25,92,0cm,old,2
2017-07-05,13:16:26,92.65,0cm,old,2
2017-07-05,13:16:27,91.02,0cm,old,2
2017-07-05,13:16:28,91.34,0cm,old,2
2017-07-05,13:16:29,91.67,0cm,old,2
2017-07-05,13:16:30,92,0cm,old,2
2017-07-05,13:16:31,92.65,0cm,old,2
2017-07-05,13:16:32,92.33,0cm,old,2
2017-07-05,13:16:33,90.36,0cm,old,2
2017-07-05,13:16:34,88.08,0cm,old,2
2017-07-05,13:16:35,86.12,0cm,old,2
2017-07-05,13:16:36,83.84,0cm,old,2
2017-07-05,13:16:37,87.43,0cm,old,2
2017-07-05,13:16:38,90.69,0cm,old,2
2017-07-05,13:16:39,92.33,0cm,old,2
2017-07-05,13:16:40,92.65,0cm,old,2
2017-07-05,13:16:41,94.94,0cm,old,2
2017-07-05,13:16:42,96.9,0cm,old,2
2017-07-05,13:16:43,98.54,0cm,old,2
2017-07-05,13:16:44,98.87,0cm,old,2
2017-07-05,13:16:45,99.53,0cm,old,2
2017-07-05,13:16:46,96.58,0cm,old,2
2017-07-05,13:16:47,95.27,0cm,old,2
2017-07-05,13:16:48,93.63,0cm,old,2
2017-07-05,13:16:49,89.71,0cm,old,2
2017-07-05,13:16:50,88.41,0cm,old,2
2017-07-05,13:16:51,88.73,0cm,old,2
2017-07-05,13:16:52,88.73,0cm,old,2
2017-07-05,13:16:53,91.02,0cm,old,2
2017-07-05,13:16:54,92.65,0cm,old,2
2017-07-05,13:16:55,92.98,0cm,old,2
2017-07-05,13:16:56,95.6,0cm,old,2
2017-07-05,13:16:57,96.58,0cm,old,2
2017-07-05,13:16:58,96.58,0cm,old,2
2017-07-05,13:16:59,94.61,0cm,old,2
2017-07-05,13:17:00,92.65,0cm,old,2
2017-07-05,13:17:01,91.34,0cm,old,2
2017-07-05,13:17:02,88.73,0cm,old,2
2017-07-05,13:17:03,88.41,0cm,old,2
2017-07-05,13:17:04,84.82,0cm,old,2
2017-07-05,13:17:05,81.56,0cm,old,2
2017-07-05,13:17:06,81.56,0cm,old,2
2017-07-05,13:17:07,82.21,0cm,old,2
2017-07-05,13:17:08,82.86,0cm,old,2
2017-07-05,13:17:09,82.86,0cm,old,2
2017-07-05,13:17:10,82.21,0cm,old,2
2017-07-05,13:17:11,81.88,0cm,old,2
2017-07-05,13:17:12,81.56,0cm,old,2
2017-07-05,13:17:13,83.51,0cm,old,2
2017-07-05,13:17:14,85.47,0cm,old,2
2017-07-05,13:17:15,85.8,0cm,old,2
2017-07-05,13:17:16,81.23,0cm,old,2
2017-07-05,13:17:17,82.21,0cm,old,2
2017-07-05,13:17:18,84.49,0cm,old,2
2017-07-05,13:17:19,86.77,0cm,old,2
2017-07-05,13:17:20,87.75,0cm,old,2
2017-07-05,13:17:21,90.04,0cm,old,2
2017-07-05,13:17:22,91.34,0cm,old,2
2017-07-05,13:17:23,90.36,0cm,old,2
2017-07-05,13:17:24,89.71,0cm,old,2
