location,structure,fire_id,max_temp,avg2_max_temp,s_abv100,heat_flux_abv100,date,biomass,rate_of_spread_50cm,f_litter_biomass,f_biomass,total_biomass,pct_consumed,est_pct_fuel_moisture,pct_fuel_moisture,max_flame_ht,avg_flame_ht,max_fuel_ht,avg_fuel_ht
25cm,piled,73,563.5166666666667,492.8593333333333,136,30432.5,2017-12-05,1500,48.79,0g litter,1500,1500,99.812,NA,NA,66,55,16,14.333333333333334
25cm,standing,44,61.64666666666667,61.07,0,0,2017-12-01,250,0,0g litter,250,250,34.19199999999999,NA,NA,17,8.5,155,149.66666666666666
25cm,standing,46,234.96,229.16466666666668,69,10353.78,2017-12-01,500,11.95,0g litter,500,500,84.658,NA,NA,72,65.5,134,132
25cm,standing,48,266.89666666666665,258.4026666666667,68,10866.663333333334,2017-12-01,1000,10.64,0g litter,1000,1000,96.91,NA,NA,90,81.5,145,137.66666666666666
25cm,standing,50,350.93,340.392,114,22374.506666666668,2017-12-01,1500,21.98,0g litter,1500,1500,99.58466666666666,NA,NA,174,173.5,160,154.33333333333334
25cm,standing,52,764.3266666666667,743.3386666666667,84,24769.926666666666,2017-12-04,2000,3.15,0g litter,2000,2000,99.265,NA,NA,146,138,177,164
25cm,standing,54,53.126666666666665,52.446,0,0,2017-12-04,250,0,0g litter,250,250,27.936,NA,NA,0,0,141,137.66666666666666
25cm,standing,56,105.03,98.87066666666666,2,206.3,2017-12-04,500,66.07,0g litter,500,500,82.394,NA,NA,19,10.5,144,132.33333333333334
25cm,standing,58,270.77666666666664,261.034,87,12675.07,2017-12-04,1000,29.14,0g litter,1000,1000,97.485,NA,NA,178,146.5,146,144.66666666666666
25cm,standing,60,371.21,363.2006666666667,80,19583.47,2017-12-04,1000,15.58,0g litter,1000,1000,93.424,NA,NA,210,182,162,157
25cm,standing,62,536.6833333333334,524.7626666666666,46,12919.01,2017-12-04,2000,5.15,0g litter,2000,2000,99.4475,NA,NA,255,248,163,156.66666666666666
25cm,standing,64,53.93333333333334,53.34466666666667,0,0,2017-12-05,250,0,0g litter,250,250,22.836,NA,NA,0,0,143,141
25cm,standing,66,299.37,288.106,43,7701.46,2017-12-05,500,4.98,0g litter,500,500,74.54,NA,NA,75,46.5,128,123.66666666666667
25cm,standing,68,723.2633333333333,715.0713333333333,63,19527.386666666665,2017-12-05,1000,2.79,0g litter,1000,1000,97.696,NA,NA,113,92.5,150,142.66666666666666
25cm,standing,70,642.5,613.0893333333333,46,13529.826666666666,2017-12-05,1500,5.65,0g litter,1500,1500,99.14933333333333,NA,NA,170,134,158,144.33333333333334
25cm,standing,72,703.75,680.1806666666666,50,15532.95,2017-12-05,2000,6.5,0g litter,2000,2000,99.0695,NA,NA,256,228,159,148.66666666666666
25cm,standing,74,527.9366666666667,512.5366666666666,60,13872.846666666666,2017-12-05,1500,6.7,0g litter,1500,1500,99.57333333333334,NA,NA,178,138,155,143.66666666666666
50cm,piled,43,47.49,46.78933333333333,0,0,2017-12-01,250,22.24,0g litter,250,250,97.252,NA,NA,27,24,11,8.333333333333334
50cm,piled,45,137.52333333333334,134.892,34,3934.5033333333336,2017-12-01,500,45.62,0g litter,500,500,97.658,NA,NA,56,37,12,8.666666666666666
50cm,piled,47,289.8,285.75733333333335,110,18412.653333333332,2017-12-01,1000,71.48,0g litter,1000,1000,99.275,NA,NA,76,62.5,24,19
50cm,piled,49,345.0833333333333,343.51,226,48280.973333333335,2017-12-01,1500,82.29,0g litter,1500,1500,100,NA,NA,162,157,33,27.666666666666668
50cm,piled,51,592.7133333333334,581.0886666666667,107,27054.25,2017-12-04,2000,29.04,0g litter,2000,2000,100,NA,NA,130,100.5,21,17.333333333333332
50cm,piled,53,65.26,64.03066666666666,0,0,2017-12-04,250,42.54,0g litter,250,250,96.88,NA,NA,30,27,7,4.666666666666667
50cm,piled,55,280.87,276.24533333333335,84,15908.22,2017-12-04,500,58.87,0g litter,500,500,97.924,NA,NA,85,59,10,9.333333333333334
50cm,piled,57,276.96,266.87333333333333,97,15239.92,2017-12-04,1000,57.52,0g litter,1000,1000,99.355,NA,NA,68,58,17,15.333333333333334
50cm,piled,59,282.08000000000004,278.11400000000003,168,35270.886666666665,2017-12-04,1000,95.66,0g litter,1000,1000,99.44,NA,NA,72,69,12,11
50cm,piled,61,544.6533333333333,537.2406666666667,162,46481.64333333333,2017-12-04,2000,79.69,0g litter,2000,2000,99.8905,NA,NA,177,139,22,19.333333333333332
50cm,piled,63,64.14,63.09,0,0,2017-12-05,250,48.82,0g litter,250,250,97.388,NA,NA,30,18,7,6
50cm,piled,65,122.36666666666666,117.062,9,1001.5366666666666,2017-12-05,500,16.12,0g litter,500,500,99.498,NA,NA,50,38.5,12,10.666666666666666
50cm,piled,67,371.59999999999997,366.07466666666664,115,23203.973333333335,2017-12-05,1000,36.2,0g litter,1000,1000,99.765,NA,NA,72,59,15,13.333333333333334
50cm,piled,69,320.4766666666667,311.4406666666667,127,22070.286666666667,2017-12-05,1500,19.07,0g litter,1500,1500,99.78,NA,NA,60,52.5,20,18
50cm,piled,71,528.7066666666667,525.4386666666667,117,36732.293333333335,2017-12-05,2000,46.04,0g litter,2000,2000,100,NA,NA,170,145,36,29
50cm,piled,73,322.78999999999996,313.2506666666667,121,21509.466666666667,2017-12-05,1500,48.79,0g litter,1500,1500,99.812,NA,NA,66,55,16,14.333333333333334
50cm,standing,44,51.086666666666666,50.49333333333333,0,0,2017-12-01,250,0,0g litter,250,250,34.19199999999999,NA,NA,17,8.5,155,149.66666666666666
50cm,standing,46,245.26999999999998,241.99333333333334,51,8923.756666666666,2017-12-01,500,11.95,0g litter,500,500,84.658,NA,NA,72,65.5,134,132
50cm,standing,48,364.94,357.78,68,15512.713333333333,2017-12-01,1000,10.64,0g litter,1000,1000,96.91,NA,NA,90,81.5,145,137.66666666666666
50cm,standing,50,570.24,561.6513333333334,87,24316.633333333335,2017-12-01,1500,21.98,0g litter,1500,1500,99.58466666666666,NA,NA,174,173.5,160,154.33333333333334
50cm,standing,52,773.88,749.6606666666667,57,19261.946666666667,2017-12-04,2000,3.15,0g litter,2000,2000,99.265,NA,NA,146,138,177,164
50cm,standing,54,41.406666666666666,40.91866666666667,0,0,2017-12-04,250,0,0g litter,250,250,27.936,NA,NA,0,0,141,137.66666666666666
50cm,standing,56,98.78666666666666,96.99333333333334,0,0,2017-12-04,500,66.07,0g litter,500,500,82.394,NA,NA,19,10.5,144,132.33333333333334
50cm,standing,58,461.72666666666663,452.6193333333333,74,16134.45,2017-12-04,1000,29.14,0g litter,1000,1000,97.485,NA,NA,178,146.5,146,144.66666666666666
50cm,standing,60,506.4266666666667,494.4026666666667,75,22040.22333333333,2017-12-04,1000,15.58,0g litter,1000,1000,93.424,NA,NA,210,182,162,157
50cm,standing,62,609.7566666666667,590.552,44,13507.38,2017-12-04,2000,5.15,0g litter,2000,2000,99.4475,NA,NA,255,248,163,156.66666666666666
50cm,standing,64,45.38,45.204,0,0,2017-12-05,250,0,0g litter,250,250,22.836,NA,NA,0,0,143,141
50cm,standing,66,154.21,151.996,19,2501.7766666666666,2017-12-05,500,4.98,0g litter,500,500,74.54,NA,NA,75,46.5,128,123.66666666666667
50cm,standing,68,549.4366666666667,525.1613333333333,54,14817.633333333333,2017-12-05,1000,2.79,0g litter,1000,1000,97.696,NA,NA,113,92.5,150,142.66666666666666
50cm,standing,70,758.3033333333333,729.3606666666667,47,16252.473333333333,2017-12-05,1500,5.65,0g litter,1500,1500,99.14933333333333,NA,NA,170,134,158,144.33333333333334
50cm,standing,72,594.42,573.168,43,12578.48,2017-12-05,2000,6.5,0g litter,2000,2000,99.0695,NA,NA,256,228,159,148.66666666666666
50cm,standing,74,570.91,550.6306666666667,50,13071.85,2017-12-05,1500,6.7,0g litter,1500,1500,99.57333333333334,NA,NA,178,138,155,143.66666666666666
