location,fire_id,max_temp,avg_max_temp,s_abv100,s_abv300,fabio_id,standing_biomass,litter_biomass,pct_green,remaining_biomass,biomass_type,dry_remaining_biomass,fuel_moisture_wet,fuel_moisture_dry,notes,f_litter_biomass,total_biomass,pct_consumed,est_pct_fuel_moisture,pct_fuel_moisture,max_flame_ht,max_fuel_ht,avg_flame_ht,avg_litter_depth,avg_green_ht,avg_brown_ht
0cm,28,829.78,735.496,19,11,2,600,0,25,254.49,cogongrass,182.65,17.48,13.16,NA,0g litter,600,57.585,28.22900703367519,24.71395881006865,61,137,30.5,0,118.33333333333333,99.66666666666667
0cm,29,59.06,55.92,0,0,2,1200,0,75,831.65,cogongrass,420.08,30.27,19.2,NA,0g litter,1200,30.695833333333333,49.48836650033067,36.570862239841425,30,139,15,0,130.66666666666666,114.66666666666667
0cm,30,838.78,743.98,25,15,2,800,0,25,415.46,cogongrass,285.1,12.26,10.32,NA,0g litter,800,48.0675,31.37726856977807,15.82381729200652,13,123,6.5,0,118,97.33333333333333
0cm,31,121.62,112.432,5,0,2,400,0,75,286.2,cogongrass,172.97,14.34,8.94,NA,0g litter,400,28.450000000000003,39.563242487770786,37.65690376569038,-Inf,126,NaN,0,117.33333333333333,105.33333333333333
0cm,32,110.7,96.34,2,0,2,400,0,25,320.92,cogongrass,258,6.61,5.75,NA,0g litter,400,19.769999999999996,19.60613236943787,13.010590015128598,-Inf,143,NaN,0,131.33333333333334,127.33333333333333
0cm,33,855.84,761.82,61,28,2,800,500,25,23.02,cogongrass,17.55,9.01,7.15,NA,500g litter,1300,98.22923076923077,23.761946133796695,20.643729189789116,156,140,138,5.666666666666667,132.66666666666666,129.66666666666666
0cm,34,768.92,747.006,61,26,2,800,500,75,260.74,cogongrass,150.22,11.64,7.46,NA,500g litter,1300,79.94307692307693,42.387052235943855,35.9106529209622,54,127,50.5,6,116.33333333333333,117
0cm,35,810.17,794.834,47,19,2,1200,500,25,52.78,cogongrass,39.33,7.54,6.4,NA,500g litter,1700,96.89529411764705,25.483137552103074,15.119363395225461,167,144,146.5,5.666666666666667,114.66666666666667,126.66666666666667
0cm,36,726.42,651.098,43,19,2,3000,0,25,68.05,cogongrass,43.2,9.07,7.24,NA,0g litter,3000,97.73166666666667,36.51726671565025,20.17640573318633,275,137,275,0,120,121.66666666666667
0cm,37,772.53,724.41,32,23,2,200,500,75,57.1,cogongrass,38.83,7.63,5.6,NA,500g litter,700,91.84285714285714,31.996497373029776,26.605504587155966,33,107,29,6,102.33333333333333,92
0cm,38,636.72,581.5840000000001,15,7,2,1200,0,25,47.38,cogongrass,36.8,7.16,5.74,NA,0g litter,1200,96.05166666666665,22.33009708737865,19.83240223463687,115,129,107.5,0,108.66666666666667,122.33333333333333
0cm,39,621.69,605.808,62,39,2,400,500,25,65.6,cogongrass,55.13,6.41,5.47,NA,500g litter,900,92.71111111111111,15.960365853658525,14.664586583463345,56,120,47.5,4.666666666666667,115,118.33333333333333
0cm,40,817.8,731.308,70,26,2,1500,500,25,27.24,cogongrass,21.53,8.86,7.66,NA,500g litter,2000,98.638,20.961820851688685,13.544018058690737,180,130,135,8,116.33333333333333,123
0cm,41,685.58,664.026,79,26,2,600,500,25,22.24,cogongrass,19.14,10.79,9.29,NA,500g litter,1100,97.97818181818182,13.9388489208633,13.901760889712698,87,107,84,8.666666666666666,88.33333333333333,104
0cm,42,705.63,678.46,220,83,2,0,3500,25,19.4,cogongrass,12.92,90.92,75.64,piled fuel laid flat; mass estimated,NA,3500,99.44571428571429,33.4020618556701,16.80598328200616,170,72,128,39.333333333333336,50.666666666666664,61.666666666666664
25cm,1,630,476.032,18,7,1,800,0,75,459.64,cogongrass,245.19,NA,NA,NA,0g litter,800,42.545,46.65607867026369,NA,-Inf,105,NaN,0,105,84.66666666666667
25cm,2,873.98,857.262,202,64,2,3000,2000,75,130.96,cogongrass,91.17,NA,NA,NA,2000g litter,5000,97.3808,30.383323152107515,NA,243,127,243,20,121.33333333333333,106
25cm,3,485.11,448.356,20,7,2,1000,0,25,75.23,cogongrass,51.39,NA,NA,NA,0g litter,1000,92.477,31.68948557756215,NA,85,90,85,0,83.33333333333333,83.33333333333333
25cm,4,75.69,71,0,0,1,200,0,75,158.71,cogongrass,91.94,NA,NA,NA,0g litter,200,20.644999999999996,42.070442946254175,NA,-Inf,117,NaN,0,109,96.66666666666667
25cm,5,52.84,51.922000000000004,0,0,2,200,0,25,104.38,cogongrass,80.2,NA,NA,NA,0g litter,200,47.81,23.16535734815098,NA,54,77,54,0,65.66666666666667,72.33333333333333
25cm,6,143.99,125.572,8,0,1,600,0,75,407.86,cogongrass,223.83,NA,NA,NA,0g litter,600,32.02333333333333,45.12087480998382,NA,-Inf,106,NaN,0,102.33333333333333,97.33333333333333
25cm,7,560.19,466.332,22,8,1,1000,0,75,578.36,cogongrass,315.46,NA,NA,NA,0g litter,1000,42.164,45.45611729718515,NA,-Inf,112,NaN,0,101.33333333333333,103.33333333333333
25cm,8,934.69,922.496,286,87,1,3000,2000,25,36.4,cogongrass,29.9,NA,NA,NA,2000g litter,5000,99.272,17.857142857142858,NA,245,185,245,19.333333333333332,135,102.66666666666667
25cm,9,988.74,923.428,204,95,2,2000,2000,75,203.64,cogongrass,140.1,NA,NA,NA,2000g litter,4000,94.909,31.20212139068945,NA,244,144,230.5,15.333333333333334,138.66666666666666,133
25cm,10,586.92,466.146,13,4,2,3000,0,75,783.89,cogongrass,446.66,NA,NA,NA,0g litter,3000,73.87033333333333,43.020066590975766,NA,141,143,131.5,0,138.33333333333334,125
25cm,11,920.02,815.942,51,20,1,2000,500,25,44.3,cogongrass,32.56,NA,NA,NA,500g litter,2500,98.228,26.50112866817155,NA,163,131,126.5,11.333333333333334,123,111
25cm,12,911.18,881.082,68,35,2,0,2000,NA,0,cogongrass,NA,NA,NA,NA,2000g litter,2000,100,NA,NA,106,0,79,20.333333333333332,0,0
25cm,13,1012.39,958.456,110,18,1,200,2000,25,2.5,cogongrass,2.23,NA,NA,NA,2000g litter,2200,99.88636363636364,10.8,NA,118,112,87.5,19.333333333333332,69.66666666666667,96.33333333333333
25cm,14,1304.8,1304.8,45,41,2,600,1000,25,41.57,cogongrass,31.76,NA,NA,NA,1000g litter,1600,97.401875,23.59874909790714,NA,80,118,73,7,83.33333333333333,96.33333333333333
25cm,15,699.48,515.506,34,10,1,600,1000,75,128.32,cogongrass,82.29,NA,NA,NA,1000g litter,1600,91.98,35.87125935162094,NA,70,119,63.5,7.666666666666667,103,94
25cm,16,458.02,361.414,23,4,1,2000,500,75,331.31,cogongrass,193.16,NA,NA,NA,500g litter,2500,86.7476,41.69810751260149,NA,92,130,85,5.333333333333333,127.66666666666667,106
25cm,17,929.57,800.824,26,17,2,1000,500,25,107.18,cogongrass,60.03,NA,NA,NA,500g litter,1500,92.85466666666666,43.991416309012884,NA,125,130,119.5,7,121.66666666666667,112
25cm,18,864.9,773.314,29,16,2,1500,0,25,0,wiregrass,NA,NA,NA,NA,0g litter,1500,100,NA,NA,155,125,138.5,0,84.33333333333333,122
25cm,19,876,835.4399999999999,128,59,2,3000,0,75,26.66,wiregrass,24.28,NA,NA,NA,0g litter,3000,99.11133333333333,8.927231807951983,NA,167,111,162.5,0,66,109.66666666666667
25cm,20,489.89,326.582,12,2,2,1000,0,75,23.64,wiregrass,20.3,NA,NA,NA,0g litter,1000,97.636,14.12859560067682,NA,66,110,41,0,83.33333333333333,103.66666666666667
25cm,21,883.08,824.298,35,12,2,600,0,75,156.95,wiregrass,122.4,NA,NA,NA,0g litter,600,73.84166666666667,22.013380057343092,NA,94,105,56,0,67,102.33333333333333
25cm,22,411.05,297.84000000000003,15,1,2,200,0,25,109.09,wiregrass,97.88,NA,NA,NA,0g litter,200,45.455,10.27591896599139,NA,15,110,7.5,0,41.333333333333336,101.66666666666667
25cm,23,535.06,484.23,34,16,2,600,0,25,50.45,wiregrass,46.3,NA,NA,NA,0g litter,600,91.59166666666665,8.225966303270576,NA,56,120,50,0,54.333333333333336,110.66666666666667
25cm,24,871.29,826.46,34,16,2,1000,0,25,5.7,wiregrass,5.04,NA,NA,NA,0g litter,1000,99.43,11.578947368421055,NA,94,125,76,0,68.33333333333333,116
25cm,25,438.56,370.308,16,6,2,1500,0,75,881.26,cogongrass,346.39,16.13,9.11,NA,0g litter,1500,41.24933333333333,60.69377936136895,43.521388716677,96,141,96,0,127,96.33333333333333
25cm,26,806.19,752.014,51,15,2,2500,0,75,817.81,cogongrass,391.79,16.93,9.83,NA,0g litter,2500,67.2876,52.09278438757168,41.93738924985233,133,141,111,0,134.33333333333334,110.33333333333333
25cm,27,836.11,721.69,63,22,2,600,500,75,180.49,cogongrass,106.19,36.7,23.25,NA,500g litter,1100,83.59181818181818,41.16571555210815,36.64850136239782,39,118,35.5,8.333333333333334,111.66666666666667,95.66666666666667
25cm,28,161.52,150.4,10,0,2,600,0,25,254.49,cogongrass,182.65,17.48,13.16,NA,0g litter,600,57.585,28.22900703367519,24.71395881006865,61,137,30.5,0,118.33333333333333,99.66666666666667
25cm,29,37.67,37.67,0,0,2,1200,0,75,831.65,cogongrass,420.08,30.27,19.2,NA,0g litter,1200,30.695833333333333,49.48836650033067,36.570862239841425,30,139,15,0,130.66666666666666,114.66666666666667
25cm,30,117.31,106.044,3,0,2,800,0,25,415.46,cogongrass,285.1,12.26,10.32,NA,0g litter,800,48.0675,31.37726856977807,15.82381729200652,13,123,6.5,0,118,97.33333333333333
25cm,31,37.67,37.406000000000006,0,0,2,400,0,75,286.2,cogongrass,172.97,14.34,8.94,NA,0g litter,400,28.450000000000003,39.563242487770786,37.65690376569038,-Inf,126,NaN,0,117.33333333333333,105.33333333333333
25cm,32,73.74,65.52199999999999,0,0,2,400,0,25,320.92,cogongrass,258,6.61,5.75,NA,0g litter,400,19.769999999999996,19.60613236943787,13.010590015128598,-Inf,143,NaN,0,131.33333333333334,127.33333333333333
25cm,33,927.86,905.666,81,24,2,800,500,25,23.02,cogongrass,17.55,9.01,7.15,NA,500g litter,1300,98.22923076923077,23.761946133796695,20.643729189789116,156,140,138,5.666666666666667,132.66666666666666,129.66666666666666
25cm,34,572.28,504.17,24,9,2,800,500,75,260.74,cogongrass,150.22,11.64,7.46,NA,500g litter,1300,79.94307692307693,42.387052235943855,35.9106529209622,54,127,50.5,6,116.33333333333333,117
25cm,35,1052.76,985.002,36,26,2,1200,500,25,52.78,cogongrass,39.33,7.54,6.4,NA,500g litter,1700,96.89529411764705,25.483137552103074,15.119363395225461,167,144,146.5,5.666666666666667,114.66666666666667,126.66666666666667
25cm,36,986.31,936.088,37,21,2,3000,0,25,68.05,cogongrass,43.2,9.07,7.24,NA,0g litter,3000,97.73166666666667,36.51726671565025,20.17640573318633,275,137,275,0,120,121.66666666666667
25cm,37,459.61,443.278,36,17,2,200,500,75,57.1,cogongrass,38.83,7.63,5.6,NA,500g litter,700,91.84285714285714,31.996497373029776,26.605504587155966,33,107,29,6,102.33333333333333,92
25cm,38,553.2,458.262,14,8,2,1200,0,25,47.38,cogongrass,36.8,7.16,5.74,NA,0g litter,1200,96.05166666666665,22.33009708737865,19.83240223463687,115,129,107.5,0,108.66666666666667,122.33333333333333
25cm,39,905.41,749.7239999999999,36,13,2,400,500,25,65.6,cogongrass,55.13,6.41,5.47,NA,500g litter,900,92.71111111111111,15.960365853658525,14.664586583463345,56,120,47.5,4.666666666666667,115,118.33333333333333
25cm,40,928.89,780.358,41,23,2,1500,500,25,27.24,cogongrass,21.53,8.86,7.66,NA,500g litter,2000,98.638,20.961820851688685,13.544018058690737,180,130,135,8,116.33333333333333,123
25cm,41,909.48,863.64,38,25,2,600,500,25,22.24,cogongrass,19.14,10.79,9.29,NA,500g litter,1100,97.97818181818182,13.9388489208633,13.901760889712698,87,107,84,8.666666666666666,88.33333333333333,104
25cm,42,878.69,803.692,146,99,2,0,3500,25,19.4,cogongrass,12.92,90.92,75.64,piled fuel laid flat; mass estimated,NA,3500,99.44571428571429,33.4020618556701,16.80598328200616,170,72,128,39.333333333333336,50.666666666666664,61.666666666666664
50cm,1,383.75,355.456,18,5,1,800,0,75,459.64,cogongrass,245.19,NA,NA,NA,0g litter,800,42.545,46.65607867026369,NA,-Inf,105,NaN,0,105,84.66666666666667
50cm,2,1006.81,980.48,152,33,2,3000,2000,75,130.96,cogongrass,91.17,NA,NA,NA,2000g litter,5000,97.3808,30.383323152107515,NA,243,127,243,20,121.33333333333333,106
50cm,3,685.26,552.048,13,6,2,1000,0,25,75.23,cogongrass,51.39,NA,NA,NA,0g litter,1000,92.477,31.68948557756215,NA,85,90,85,0,83.33333333333333,83.33333333333333
50cm,4,58.08,53.492,0,0,1,200,0,75,158.71,cogongrass,91.94,NA,NA,NA,0g litter,200,20.644999999999996,42.070442946254175,NA,-Inf,117,NaN,0,109,96.66666666666667
50cm,5,148.36,121.556,5,0,2,200,0,25,104.38,cogongrass,80.2,NA,NA,NA,0g litter,200,47.81,23.16535734815098,NA,54,77,54,0,65.66666666666667,72.33333333333333
50cm,6,59.71,59.188,0,0,1,600,0,75,407.86,cogongrass,223.83,NA,NA,NA,0g litter,600,32.02333333333333,45.12087480998382,NA,-Inf,106,NaN,0,102.33333333333333,97.33333333333333
50cm,7,176.08,153.384,7,0,1,1000,0,75,578.36,cogongrass,315.46,NA,NA,NA,0g litter,1000,42.164,45.45611729718515,NA,-Inf,112,NaN,0,101.33333333333333,103.33333333333333
50cm,8,966.96,924.548,117,38,1,3000,2000,25,36.4,cogongrass,29.9,NA,NA,NA,2000g litter,5000,99.272,17.857142857142858,NA,245,185,245,19.333333333333332,135,102.66666666666667
50cm,9,899.31,875.5699999999999,149,70,2,2000,2000,75,203.64,cogongrass,140.1,NA,NA,NA,2000g litter,4000,94.909,31.20212139068945,NA,244,144,230.5,15.333333333333334,138.66666666666666,133
50cm,10,954.57,895.672,56,18,2,3000,0,75,783.89,cogongrass,446.66,NA,NA,NA,0g litter,3000,73.87033333333333,43.020066590975766,NA,141,143,131.5,0,138.33333333333334,125
50cm,11,895.58,790.828,27,15,1,2000,500,25,44.3,cogongrass,32.56,NA,NA,NA,500g litter,2500,98.228,26.50112866817155,NA,163,131,126.5,11.333333333333334,123,111
50cm,12,796.27,746.144,85,26,2,0,2000,NA,0,cogongrass,NA,NA,NA,NA,2000g litter,2000,100,NA,NA,106,0,79,20.333333333333332,0,0
50cm,13,867.59,818.346,38,11,1,200,2000,25,2.5,cogongrass,2.23,NA,NA,NA,2000g litter,2200,99.88636363636364,10.8,NA,118,112,87.5,19.333333333333332,69.66666666666667,96.33333333333333
50cm,14,755.8,659.352,41,14,2,600,1000,25,41.57,cogongrass,31.76,NA,NA,NA,1000g litter,1600,97.401875,23.59874909790714,NA,80,118,73,7,83.33333333333333,96.33333333333333
50cm,15,60.37,35.482,0,0,1,600,1000,75,128.32,cogongrass,82.29,NA,NA,NA,1000g litter,1600,91.98,35.87125935162094,NA,70,119,63.5,7.666666666666667,103,94
50cm,16,294.24,180.84,3,0,1,2000,500,75,331.31,cogongrass,193.16,NA,NA,NA,500g litter,2500,86.7476,41.69810751260149,NA,92,130,85,5.333333333333333,127.66666666666667,106
50cm,17,963.86,853.888,46,23,2,1000,500,25,107.18,cogongrass,60.03,NA,NA,NA,500g litter,1500,92.85466666666666,43.991416309012884,NA,125,130,119.5,7,121.66666666666667,112
50cm,18,903.71,856.048,23,14,2,1500,0,25,0,wiregrass,NA,NA,NA,NA,0g litter,1500,100,NA,NA,155,125,138.5,0,84.33333333333333,122
50cm,19,861.21,833.616,140,85,2,3000,0,75,26.66,wiregrass,24.28,NA,NA,NA,0g litter,3000,99.11133333333333,8.927231807951983,NA,167,111,162.5,0,66,109.66666666666667
50cm,20,754.82,543.744,10,4,2,1000,0,75,23.64,wiregrass,20.3,NA,NA,NA,0g litter,1000,97.636,14.12859560067682,NA,66,110,41,0,83.33333333333333,103.66666666666667
50cm,21,934.69,787.566,29,13,2,600,0,75,156.95,wiregrass,122.4,NA,NA,NA,0g litter,600,73.84166666666667,22.013380057343092,NA,94,105,56,0,67,102.33333333333333
50cm,22,84.82,75.562,0,0,2,200,0,25,109.09,wiregrass,97.88,NA,NA,NA,0g litter,200,45.455,10.27591896599139,NA,15,110,7.5,0,41.333333333333336,101.66666666666667
50cm,23,161.85,129.62,7,0,2,600,0,25,50.45,wiregrass,46.3,NA,NA,NA,0g litter,600,91.59166666666665,8.225966303270576,NA,56,120,50,0,54.333333333333336,110.66666666666667
50cm,24,848.81,754.448,24,10,2,1000,0,25,5.7,wiregrass,5.04,NA,NA,NA,0g litter,1000,99.43,11.578947368421055,NA,94,125,76,0,68.33333333333333,116
50cm,25,128.93,123.746,8,0,2,1500,0,75,881.26,cogongrass,346.39,16.13,9.11,NA,0g litter,1500,41.24933333333333,60.69377936136895,43.521388716677,96,141,96,0,127,96.33333333333333
50cm,26,626.48,602.686,49,16,2,2500,0,75,817.81,cogongrass,391.79,16.93,9.83,NA,0g litter,2500,67.2876,52.09278438757168,41.93738924985233,133,141,111,0,134.33333333333334,110.33333333333333
50cm,27,362.14,311.38599999999997,17,3,2,600,500,75,180.49,cogongrass,106.19,36.7,23.25,NA,500g litter,1100,83.59181818181818,41.16571555210815,36.64850136239782,39,118,35.5,8.333333333333334,111.66666666666667,95.66666666666667
50cm,28,801.56,638.476,46,13,2,600,0,25,254.49,cogongrass,182.65,17.48,13.16,NA,0g litter,600,57.585,28.22900703367519,24.71395881006865,61,137,30.5,0,118.33333333333333,99.66666666666667
50cm,29,160.5,145.89,13,0,2,1200,0,75,831.65,cogongrass,420.08,30.27,19.2,NA,0g litter,1200,30.695833333333333,49.48836650033067,36.570862239841425,30,139,15,0,130.66666666666666,114.66666666666667
50cm,30,105.11,69.572,1,0,2,800,0,25,415.46,cogongrass,285.1,12.26,10.32,NA,0g litter,800,48.0675,31.37726856977807,15.82381729200652,13,123,6.5,0,118,97.33333333333333
50cm,31,37.34,35.81,0,0,2,400,0,75,286.2,cogongrass,172.97,14.34,8.94,NA,0g litter,400,28.450000000000003,39.563242487770786,37.65690376569038,-Inf,126,NaN,0,117.33333333333333,105.33333333333333
50cm,32,61.35,58.274,0,0,2,400,0,25,320.92,cogongrass,258,6.61,5.75,NA,0g litter,400,19.769999999999996,19.60613236943787,13.010590015128598,-Inf,143,NaN,0,131.33333333333334,127.33333333333333
50cm,33,938.8,920.328,35,24,2,800,500,25,23.02,cogongrass,17.55,9.01,7.15,NA,500g litter,1300,98.22923076923077,23.761946133796695,20.643729189789116,156,140,138,5.666666666666667,132.66666666666666,129.66666666666666
50cm,34,383.75,319.972,44,3,2,800,500,75,260.74,cogongrass,150.22,11.64,7.46,NA,500g litter,1300,79.94307692307693,42.387052235943855,35.9106529209622,54,127,50.5,6,116.33333333333333,117
50cm,35,959.38,920.9,30,22,2,1200,500,25,52.78,cogongrass,39.33,7.54,6.4,NA,500g litter,1700,96.89529411764705,25.483137552103074,15.119363395225461,167,144,146.5,5.666666666666667,114.66666666666667,126.66666666666667
50cm,36,1014.48,956.65,41,25,2,3000,0,25,68.05,cogongrass,43.2,9.07,7.24,NA,0g litter,3000,97.73166666666667,36.51726671565025,20.17640573318633,275,137,275,0,120,121.66666666666667
50cm,37,143.32,141.438,184,0,2,200,500,75,57.1,cogongrass,38.83,7.63,5.6,NA,500g litter,700,91.84285714285714,31.996497373029776,26.605504587155966,33,107,29,6,102.33333333333333,92
50cm,38,393.08,265.702,6,2,2,1200,0,25,47.38,cogongrass,36.8,7.16,5.74,NA,0g litter,1200,96.05166666666665,22.33009708737865,19.83240223463687,115,129,107.5,0,108.66666666666667,122.33333333333333
50cm,39,57.75,54.016,0,0,2,400,500,25,65.6,cogongrass,55.13,6.41,5.47,NA,500g litter,900,92.71111111111111,15.960365853658525,14.664586583463345,56,120,47.5,4.666666666666667,115,118.33333333333333
50cm,40,502.89,413.684,92,12,2,1500,500,25,27.24,cogongrass,21.53,8.86,7.66,NA,500g litter,2000,98.638,20.961820851688685,13.544018058690737,180,130,135,8,116.33333333333333,123
50cm,41,831.44,696.9,17,10,2,600,500,25,22.24,cogongrass,19.14,10.79,9.29,NA,500g litter,1100,97.97818181818182,13.9388489208633,13.901760889712698,87,107,84,8.666666666666666,88.33333333333333,104
50cm,42,830.78,784.196,28,17,2,0,3500,25,19.4,cogongrass,12.92,90.92,75.64,piled fuel laid flat; mass estimated,NA,3500,99.44571428571429,33.4020618556701,16.80598328200616,170,72,128,39.333333333333336,50.666666666666664,61.666666666666664
