installation,plot_id,status,camera_number,sd_card,camera_out,camera_in,position_from_center,notes,ctime,mtime,file_name,path,relpath,size,type,empty,cow,deer,pig,turkey,armadillo,bobcat,raccoon,squirrel,fox,other,unknown
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:39,4/7/2019 1:23,101-1-100EK113-04070058.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070058.JPG,101-1-100EK113-04070058.JPG,4171776,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:40,4/7/2019 1:23,101-1-100EK113-04070059.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070059.JPG,101-1-100EK113-04070059.JPG,4225099,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:44,4/7/2019 1:23,101-1-100EK113-04070060.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070060.JPG,101-1-100EK113-04070060.JPG,4161337,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:43,4/7/2019 1:32,101-1-100EK113-04070063.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070063.JPG,101-1-100EK113-04070063.JPG,4183608,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:39,4/7/2019 1:32,101-1-100EK113-04070064.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070064.JPG,101-1-100EK113-04070064.JPG,4189475,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:41,4/7/2019 1:32,101-1-100EK113-04070066.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070066.JPG,101-1-100EK113-04070066.JPG,4236191,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:40,4/7/2019 1:32,101-1-100EK113-04070067.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070067.JPG,101-1-100EK113-04070067.JPG,4229414,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:51,4/7/2019 1:32,101-1-100EK113-04070068.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070068.JPG,101-1-100EK113-04070068.JPG,4212400,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:52,4/7/2019 1:32,101-1-100EK113-04070069.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070069.JPG,101-1-100EK113-04070069.JPG,4254130,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:39,4/7/2019 1:32,101-1-100EK113-04070070.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070070.JPG,101-1-100EK113-04070070.JPG,4278220,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:40,4/7/2019 1:32,101-1-100EK113-04070071.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070071.JPG,101-1-100EK113-04070071.JPG,4278073,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:41,4/7/2019 1:32,101-1-100EK113-04070072.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070072.JPG,101-1-100EK113-04070072.JPG,4316317,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:40,4/7/2019 1:32,101-1-100EK113-04070073.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070073.JPG,101-1-100EK113-04070073.JPG,4135536,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:44,4/7/2019 1:32,101-1-100EK113-04070074.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070074.JPG,101-1-100EK113-04070074.JPG,4137723,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:43,4/7/2019 1:32,101-1-100EK113-04070075.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070075.JPG,101-1-100EK113-04070075.JPG,4176512,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:41,4/7/2019 1:32,101-1-100EK113-04070076.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070076.JPG,101-1-100EK113-04070076.JPG,4207410,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:43,4/7/2019 1:32,101-1-100EK113-04070077.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070077.JPG,101-1-100EK113-04070077.JPG,4223323,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:47,4/7/2019 1:32,101-1-100EK113-04070078.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070078.JPG,101-1-100EK113-04070078.JPG,4225075,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:45,4/7/2019 1:32,101-1-100EK113-04070079.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070079.JPG,101-1-100EK113-04070079.JPG,4222742,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:51,4/7/2019 1:51,101-1-100EK113-04070081.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070081.JPG,101-1-100EK113-04070081.JPG,4277932,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:52,4/7/2019 1:51,101-1-100EK113-04070082.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070082.JPG,101-1-100EK113-04070082.JPG,4250757,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:51,4/7/2019 1:51,101-1-100EK113-04070083.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070083.JPG,101-1-100EK113-04070083.JPG,4249139,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:49,4/7/2019 1:51,101-1-100EK113-04070084.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070084.JPG,101-1-100EK113-04070084.JPG,4245421,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:48,4/7/2019 1:51,101-1-100EK113-04070085.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070085.JPG,101-1-100EK113-04070085.JPG,4250976,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:45,4/7/2019 1:51,101-1-100EK113-04070086.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070086.JPG,101-1-100EK113-04070086.JPG,4261599,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:43,4/7/2019 2:47,101-1-100EK113-04070088.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070088.JPG,101-1-100EK113-04070088.JPG,4237540,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:41,4/7/2019 2:47,101-1-100EK113-04070089.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070089.JPG,101-1-100EK113-04070089.JPG,4153581,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:49,4/7/2019 2:47,101-1-100EK113-04070090.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070090.JPG,101-1-100EK113-04070090.JPG,4158998,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:48,4/7/2019 2:47,101-1-100EK113-04070091.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070091.JPG,101-1-100EK113-04070091.JPG,4135978,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:45,4/7/2019 2:47,101-1-100EK113-04070092.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070092.JPG,101-1-100EK113-04070092.JPG,4331870,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:47,4/7/2019 2:47,101-1-100EK113-04070093.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070093.JPG,101-1-100EK113-04070093.JPG,4286383,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:50,4/7/2019 2:47,101-1-100EK113-04070094.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070094.JPG,101-1-100EK113-04070094.JPG,4128493,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:51,4/7/2019 6:43,101-1-100EK113-04070097.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070097.JPG,101-1-100EK113-04070097.JPG,4231311,image,FALSE,0,1,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:40,4/7/2019 6:43,101-1-100EK113-04070098.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070098.JPG,101-1-100EK113-04070098.JPG,4219793,image,FALSE,0,1,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:43,4/7/2019 6:44,101-1-100EK113-04070100.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070100.JPG,101-1-100EK113-04070100.JPG,4209428,image,FALSE,0,2,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:43,4/7/2019 6:45,101-1-100EK113-04070101.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070101.JPG,101-1-100EK113-04070101.JPG,4210879,image,FALSE,0,2,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:42,4/7/2019 20:35,101-1-100EK113-04070102.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04070102.JPG,101-1-100EK113-04070102.JPG,4371120,image,FALSE,0,1,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:50,4/12/2019 1:23,101-1-100EK113-04120106.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04120106.JPG,101-1-100EK113-04120106.JPG,4368994,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:51,4/12/2019 1:23,101-1-100EK113-04120107.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04120107.JPG,101-1-100EK113-04120107.JPG,4300998,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:40,4/12/2019 1:23,101-1-100EK113-04120108.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04120108.JPG,101-1-100EK113-04120108.JPG,4321030,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:39,4/12/2019 1:23,101-1-100EK113-04120109.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04120109.JPG,101-1-100EK113-04120109.JPG,4326494,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:52,4/12/2019 1:23,101-1-100EK113-04120110.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04120110.JPG,101-1-100EK113-04120110.JPG,4323941,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:51,4/12/2019 1:23,101-1-100EK113-04120111.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04120111.JPG,101-1-100EK113-04120111.JPG,4332266,image,TRUE,0,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:50,4/12/2019 1:43,101-1-100EK113-04120112.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04120112.JPG,101-1-100EK113-04120112.JPG,4171241,image,TRUE,0,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:51,4/12/2019 1:44,101-1-100EK113-04120113.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04120113.JPG,101-1-100EK113-04120113.JPG,4377114,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:44,4/12/2019 1:44,101-1-100EK113-04120114.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04120114.JPG,101-1-100EK113-04120114.JPG,4264936,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:48,4/12/2019 1:44,101-1-100EK113-04120115.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04120115.JPG,101-1-100EK113-04120115.JPG,4250408,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:49,4/12/2019 1:44,101-1-100EK113-04120116.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04120116.JPG,101-1-100EK113-04120116.JPG,4203276,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:48,4/12/2019 1:44,101-1-100EK113-04120117.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04120117.JPG,101-1-100EK113-04120117.JPG,4140848,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:43,4/12/2019 1:44,101-1-100EK113-04120118.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04120118.JPG,101-1-100EK113-04120118.JPG,4220689,image,FALSE,1,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:44,4/12/2019 1:44,101-1-100EK113-04120119.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04120119.JPG,101-1-100EK113-04120119.JPG,4322613,image,TRUE,0,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:40,4/12/2019 1:44,101-1-100EK113-04120120.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04120120.JPG,101-1-100EK113-04120120.JPG,4323024,image,TRUE,0,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:44,4/12/2019 22:05,101-1-100EK113-04120125.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04120125.JPG,101-1-100EK113-04120125.JPG,4340875,image,FALSE,0,0,0,0,0,0,0,0,0,caterpillar,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:43,4/12/2019 22:05,101-1-100EK113-04120126.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04120126.JPG,101-1-100EK113-04120126.JPG,4335585,image,TRUE,0,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:41,4/12/2019 22:23,101-1-100EK113-04120127.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04120127.JPG,101-1-100EK113-04120127.JPG,4341161,image,TRUE,0,0,0,0,0,0,0,0,0,NA,0
brown,n1,native,101,101-1,20190405,20190425,S,NA,6/10/2019 15:45,4/12/2019 22:23,101-1-100EK113-04120128.JPG,/Users/julesnesmith/Desktop/maybe_critters/101-1-100EK113-04120128.JPG,101-1-100EK113-04120128.JPG,4357748,image,FALSE,0,0,0,0,0,0,0,0,0,NA,1
