installation,plot_id,veg_id,over_100cm,date,notes,scientific_name,functional_group,Genus,Species,Status,functional_group__1,visit_year,species_name
moody,moody b1,ILGL,18,2017-08-29,NA,Ilex glabra,shrub,Ilex,glabra,native,shrub,2017,Ilex glabra
moody,moody a1,LIST,2,2017-08-29,NA,Liquidambar styraciflua,tree,Liquidambar,styraciflua,native,tree,2017,Liquidambar styraciflua
moody,moody a1,MAGNO,1,2017-08-29,NA,Magnolia spp.,shrub/tree,Magnolia,spp.,native/introduced,shrub/tree,2017,Magnolia spp.
moody,moody a1,MOCE,2,2017-08-29,NA,Morella cerifera,shrub,Morella,cerifera,native,shrub,2017,Morella cerifera
moody,moody b1,MOCE,1,2017-08-29,NA,Morella cerifera,shrub,Morella,cerifera,native,shrub,2017,Morella cerifera
moody,moody b1,QUNI,23,2017-08-29,NA,Quercus nigra,tree,Quercus,nigra,native,tree,2017,Quercus nigra
moody,moody a1,QUST,1,2017-08-29,NA,Quercus stellata,tree,Quercus,stellata,native,tree,2017,Quercus stellata
moody,moody a1,QUST,1,2017-08-29,NA,Quercus stellata,tree,Quercus,stellata,native,tree,2017,Quercus stellata
moody,moody a1,RHAR,1,2017-08-29,NA,Rhus  aromatica,shrub,Rhus,aromatica,native,shrub,2017,Rhus aromatica
moody,moody a1,unknown,1,2017-08-29,NA,NA,NA,NA,NA,NA,NA,2017,NA NA
moody,moody k1,MENTH,1,2017-08-31,NA,Mentha  spp.,forb,Mentha,spp.,native/introduced,forb,2017,Mentha spp.
moody,moody k1,QUNI,1,2017-08-31,NA,Quercus nigra,tree,Quercus,nigra,native,tree,2017,Quercus nigra
shelby,shelby b1,ACRU,5,2017-09-21,NA,Acer  rubrum,tree,Acer,rubrum,native,tree,2017,Acer rubrum
shelby,shelby b1,BACCH,7,2017-09-21,NA,Baccharis spp.,forb,Baccharis,spp.,native,forb,2017,Baccharis spp.
shelby,shelby b1,CAAM,43,2017-09-21,NA,Callicarpa americana,shrub,Callicarpa,americana,native,shrub,2017,Callicarpa americana
shelby,shelby f1,CAAM,10,2017-09-21,NA,Callicarpa americana,shrub,Callicarpa,americana,native,shrub,2017,Callicarpa americana
shelby,shelby b1,CAPU2,4,2017-09-21,chinquapin,Castanea pumila,shrub,Castanea,pumila,native,shrub,2017,Castanea pumila
shelby,shelby b1,ILGL,6,2017-09-21,NA,Ilex glabra,shrub,Ilex,glabra,native,shrub,2017,Ilex glabra
shelby,shelby f1,ILGL,20,2017-09-21,NA,Ilex glabra,shrub,Ilex,glabra,native,shrub,2017,Ilex glabra
shelby,shelby b1,ILVO,3,2017-09-21,NA,Ilex vomitoria,shrub,Ilex,vomitoria,native,shrub,2017,Ilex vomitoria
shelby,shelby f1,ILVO,41,2017-09-21,NA,Ilex vomitoria,shrub,Ilex,vomitoria,native,shrub,2017,Ilex vomitoria
shelby,shelby f1,ILOP,1,2017-09-21,NA,Ilex  opaca,shrub,Ilex,opaca,native,shrub,2017,Ilex opaca
shelby,shelby b1,LIST,21,2017-09-21,NA,Liquidambar styraciflua,tree,Liquidambar,styraciflua,native,tree,2017,Liquidambar styraciflua
shelby,shelby b1,MAVI,3,2017-09-21,NA,Magnolia virginiana,tree,Magnolia,virginiana,native,tree,2017,Magnolia virginiana
