installation,plot_id,date,location,species,dung1m,dung2m,notes,visit_year
avonpark,avonpark e2,2018-05-29,west,NA,0,0,NA,2018
avonpark,avonpark a1,2018-05-30,north,cow,8,3,NA,2018
avonpark,avonpark a1,2018-05-30,east,cow,8,2,NA,2018
avonpark,avonpark a1,2018-05-30,east,cottontail,52,7,NA,2018
avonpark,avonpark a1,2018-05-30,south,cow,12,3,NA,2018
avonpark,avonpark a1,2018-05-30,south,cottontail,332,34,NA,2018
avonpark,avonpark a1,2018-05-30,west,cow,3,2,NA,2018
avonpark,avonpark a1,2018-05-30,west,cottontail,114,7,NA,2018
avonpark,avonpark a2,2018-05-30,north,cottontail,142,12,NA,2018
avonpark,avonpark a2,2018-05-30,north,cow,6,0,NA,2018
avonpark,avonpark a2,2018-05-30,east,cottontail,38,0,NA,2018
avonpark,avonpark a2,2018-05-30,east,cow,7,1,NA,2018
avonpark,avonpark a2,2018-05-30,south,cottontail,93,13,NA,2018
avonpark,avonpark a2,2018-05-30,south,cow,3,4,NA,2018
avonpark,avonpark a2,2018-05-30,west,cottontail,24,2,NA,2018
avonpark,avonpark a2,2018-05-30,west,cow,11,2,NA,2018
eglin,eglin a1,2018-06-11,north,NA,0,0,NA,2018
eglin,eglin a1,2018-06-11,east,NA,0,0,NA,2018
eglin,eglin a1,2018-06-11,south,NA,0,0,NA,2018
eglin,eglin a1,2018-06-11,west,cottontail,1,0,NA,2018
eglin,eglin g1,2018-06-11,north,NA,0,0,NA,2018
eglin,eglin g1,2018-06-11,east,deer,2,0,NA,2018
eglin,eglin g1,2018-06-11,south,deer,5,1,NA,2018
eglin,eglin g1,2018-06-11,west,cottontail,8,0,NA,2018
eglin,eglin e1,2018-06-12,north,turkey,2,1,NA,2018
eglin,eglin e1,2018-06-12,east,cottontail,6,1,NA,2018
eglin,eglin e1,2018-06-12,south,cottontail,3,0,NA,2018
eglin,eglin e1,2018-06-12,west,NA,0,0,NA,2018
eglin,eglin c1,2018-06-13,north,deer,0,1,NA,2018
eglin,eglin c1,2018-06-13,north,cottontail,7,0,NA,2018
eglin,eglin c1,2018-06-13,east,deer,1,0,NA,2018
eglin,eglin c1,2018-06-13,south,deer,1,2,NA,2018
eglin,eglin c1,2018-06-13,south,cottontail,4,1,NA,2018
eglin,eglin c1,2018-06-13,west,deer,2,1,NA,2018
eglin,eglin j1,2018-06-13,north,deer,4,0,NA,2018
eglin,eglin j1,2018-06-13,east,deer,5,1,NA,2018
eglin,eglin j1,2018-06-13,east,other,1,0,NA,2018
eglin,eglin j1,2018-06-13,south,deer,2,0,NA,2018
eglin,eglin j1,2018-06-13,south,turkey,2,2,NA,2018
eglin,eglin j1,2018-06-13,west,deer,4,2,NA,2018
eglin,eglin f1,2018-06-15,north,deer,3,4,NA,2018
eglin,eglin f1,2018-06-15,north,cottontail,11,0,NA,2018
eglin,eglin f1,2018-06-15,east,deer,9,2,NA,2018
eglin,eglin f1,2018-06-15,east,cottontail,14,0,NA,2018
eglin,eglin f1,2018-06-15,south,deer,7,3,NA,2018
eglin,eglin f1,2018-06-15,south,cottontail,9,0,NA,2018
eglin,eglin f1,2018-06-15,west,deer,20,5,NA,2018
eglin,eglin b2,2018-06-15,north,cottontail,7,0,NA,2018
eglin,eglin b2,2018-06-15,north,turkey,1,0,NA,2018
eglin,eglin b2,2018-06-15,east,NA,0,0,NA,2018
eglin,eglin b2,2018-06-15,south,turkey,1,0,NA,2018
eglin,eglin b2,2018-06-15,south,deer,1,0,NA,2018
eglin,eglin b2,2018-06-15,west,turkey,3,0,NA,2018
eglin,eglin b2,2018-06-15,west,deer,2,1,NA,2018
eglin,eglin i1,2018-06-12,north,NA,NA,NA,NA,2018
eglin,eglin i1,2018-06-12,south,NA,NA,NA,NA,2018
eglin,eglin i1,2018-06-12,east,NA,0,0,NA,2018
eglin,eglin i1,2018-06-12,west,NA,NA,NA,NA,2018
tyndall,tyndall c1,2018-06-26,north,NA,0,0,NA,2018
tyndall,tyndall c1,2018-06-26,east,NA,0,0,NA,2018
tyndall,tyndall c1,2018-06-26,south,deer,1,0,NA,2018
tyndall,tyndall c1,2018-06-26,west,deer,1,0,NA,2018
tyndall,tyndall c1,2018-06-26,west,cottontail,3,2,NA,2018
tyndall,tyndall c2,2018-06-26,north,deer,3,1,NA,2018
tyndall,tyndall c2,2018-06-26,east,NA,0,0,NA,2018
tyndall,tyndall c2,2018-06-26,south,NA,0,0,NA,2018
tyndall,tyndall c2,2018-06-26,west,cottontail,44,0,NA,2018
tyndall,tyndall b1,2018-06-25,north,NA,0,0,NA,2018
tyndall,tyndall b1,2018-06-25,east,deer,2,0,NA,2018
tyndall,tyndall b1,2018-06-25,south,other,2,0,NA,2018
tyndall,tyndall b1,2018-06-25,west,deer,1,0,NA,2018
tyndall,tyndall b2,2018-06-25,north,deer,2,1,NA,2018
tyndall,tyndall b2,2018-06-25,east,deer,2,0,NA,2018
tyndall,tyndall b2,2018-06-25,south,deer,4,2,NA,2018
tyndall,tyndall b2,2018-06-25,west,NA,0,0,NA,2018
tyndall,tyndall d2,2018-06-25,north,NA,0,0,NA,2018
tyndall,tyndall d2,2018-06-25,east,other,1,0,NA,2018
tyndall,tyndall d2,2018-06-25,south,NA,0,0,NA,2018
tyndall,tyndall d2,2018-06-25,west,NA,0,0,NA,2018
tyndall,tyndall b3,2018-06-27,north,cottontail,8,0,NA,2018
tyndall,tyndall b3,2018-06-27,east,NA,0,0,NA,2018
tyndall,tyndall b3,2018-06-27,south,NA,0,0,NA,2018
tyndall,tyndall b3,2018-06-27,west,NA,0,0,NA,2018
tyndall,tyndall b4,2018-06-27,north,deer,2,0,NA,2018
tyndall,tyndall b4,2018-06-27,east,NA,0,0,NA,2018
tyndall,tyndall b4,2018-06-27,south,deer,1,0,NA,2018
tyndall,tyndall b4,2018-06-27,west,NA,0,0,NA,2018
benning,benning a1,2018-07-24,north,deer,1,0,NA,2018
benning,benning a1,2018-07-24,east,NA,0,0,NA,2018
benning,benning a1,2018-07-24,south,NA,0,0,NA,2018
benning,benning a1,2018-07-24,west,NA,1,0,NA,2018
benning,benning b1,2018-07-24,north,deer,5,0,NA,2018
benning,benning b1,2018-07-24,east,deer,4,0,NA,2018
benning,benning b1,2018-07-24,south,NA,0,0,NA,2018
benning,benning b1,2018-07-24,west,deer,2,0,NA,2018
benning,benning c1,2018-07-25,north,NA,0,0,NA,2018
benning,benning c1,2018-07-25,east,NA,0,0,NA,2018
benning,benning c1,2018-07-25,south,NA,0,0,NA,2018
benning,benning c1,2018-07-25,west,NA,0,0,NA,2018
benning,benning d1,2018-07-25,north,deer,3,0,NA,2018
benning,benning d1,2018-07-25,east,NA,0,0,NA,2018
benning,benning d1,2018-07-25,south,NA,0,0,NA,2018
benning,benning d1,2018-07-25,west,NA,0,1,NA,2018
benning,benning e1,2018-07-26,north,NA,0,0,NA,2018
benning,benning e1,2018-07-26,east,NA,0,0,NA,2018
benning,benning e1,2018-07-26,south,NA,0,0,NA,2018
benning,benning e1,2018-07-26,west,NA,0,0,NA,2018
benning,benning f1,2018-07-26,north,cottontail,9,0,NA,2018
benning,benning f1,2018-07-26,east,deer,1,0,NA,2018
benning,benning f1,2018-07-26,south,NA,0,0,NA,2018
benning,benning f1,2018-07-26,west,NA,0,0,NA,2018
benning,benning g1,2018-07-28,north,NA,0,0,NA,2018
benning,benning g1,2018-07-28,east,NA,0,0,NA,2018
benning,benning g1,2018-07-28,south,NA,0,0,NA,2018
benning,benning g1,2018-07-28,west,NA,0,0,NA,2018
benning,benning h1,2018-07-28,north,deer,3,0,NA,2018
benning,benning h1,2018-07-28,east,NA,0,0,NA,2018
benning,benning h1,2018-07-28,south,NA,0,0,NA,2018
benning,benning h1,2018-07-28,west,deer,1,0,NA,2018
benning,benning i1,2018-07-27,north,NA,0,0,NA,2018
benning,benning i1,2018-07-27,east,NA,0,0,NA,2018
benning,benning i1,2018-07-27,south,NA,0,0,NA,2018
benning,benning i1,2018-07-27,west,NA,0,0,NA,2018
benning,benning j1,2018-07-27,north,cottontail,6,0,NA,2018
benning,benning j1,2018-07-27,east,deer,2,0,NA,2018
benning,benning j1,2018-07-27,south,NA,0,0,NA,2018
benning,benning j1,2018-07-27,west,deer,1,0,NA,2018
jackson,jackson a1,2018-07-09,north,NA,0,0,NA,2018
jackson,jackson a1,2018-07-09,south,NA,0,0,NA,2018
jackson,jackson a1,2018-07-09,east,NA,0,0,NA,2018
jackson,jackson a1,2018-07-09,west,NA,0,0,NA,2018
jackson,jackson b1,2018-07-09,north,NA,0,0,NA,2018
jackson,jackson b1,2018-07-09,south,NA,0,0,NA,2018
jackson,jackson b1,2018-07-09,east,deer,1,0,NA,2018
jackson,jackson b1,2018-07-09,west,NA,0,0,NA,2018
jackson,jackson c1,2018-07-09,north,NA,0,0,NA,2018
jackson,jackson c1,2018-07-09,south,NA,0,0,NA,2018
jackson,jackson c1,2018-07-09,east,NA,0,0,NA,2018
jackson,jackson c1,2018-07-09,west,NA,0,0,NA,2018
jackson,jackson d1,2018-07-09,north,NA,0,0,NA,2018
jackson,jackson d1,2018-07-09,south,deer,1,0,NA,2018
jackson,jackson d1,2018-07-09,east,NA,0,0,NA,2018
jackson,jackson d1,2018-07-09,west,deer,0,2,NA,2018
jackson,jackson e1,2018-07-10,north,NA,0,0,NA,2018
jackson,jackson e1,2018-07-10,south,NA,0,0,NA,2018
jackson,jackson e1,2018-07-10,east,NA,0,0,NA,2018
jackson,jackson e1,2018-07-10,west,NA,0,0,NA,2018
jackson,jackson f1,2018-07-10,north,NA,0,0,NA,2018
jackson,jackson f1,2018-07-10,south,cottontail,8,0,NA,2018
jackson,jackson f1,2018-07-10,east,deer,2,0,NA,2018
jackson,jackson f1,2018-07-10,west,NA,0,0,NA,2018
jackson,jackson g1,2018-07-10,north,deer,1,2,NA,2018
jackson,jackson g1,2018-07-10,south,NA,0,0,NA,2018
jackson,jackson g1,2018-07-10,east,deer,1,0,NA,2018
jackson,jackson g1,2018-07-10,west,deer,1,0,NA,2018
jackson,jackson h1,2018-07-12,north,deer,3,0,NA,2018
jackson,jackson h1,2018-07-12,south,deer,1,1,NA,2018
jackson,jackson h1,2018-07-12,east,deer,0,1,NA,2018
jackson,jackson h1,2018-07-12,west,NA,0,0,NA,2018
jackson,jackson i1,2018-07-11,north,NA,0,0,NA,2018
jackson,jackson i1,2018-07-11,south,NA,0,0,NA,2018
jackson,jackson i1,2018-07-11,east,NA,0,0,NA,2018
jackson,jackson i1,2018-07-11,west,NA,0,0,NA,2018
jackson,jackson j1,2018-07-11,north,NA,0,0,NA,2018
jackson,jackson j1,2018-07-11,south,cottontail,8,0,NA,2018
jackson,jackson j1,2018-07-11,east,NA,0,0,NA,2018
jackson,jackson j1,2018-07-11,west,NA,0,0,NA,2018
jackson,jackson k1,2018-07-11,north,NA,0,0,NA,2018
jackson,jackson k1,2018-07-11,south,cottontail,12,0,NA,2018
jackson,jackson k1,2018-07-11,east,NA,0,0,NA,2018
jackson,jackson k1,2018-07-11,west,NA,0,0,NA,2018
jackson,jackson l1,2018-07-12,north,NA,0,0,NA,2018
jackson,jackson l1,2018-07-12,south,NA,0,0,NA,2018
jackson,jackson l1,2018-07-12,east,NA,0,0,NA,2018
jackson,jackson l1,2018-07-12,west,deer,0,1,NA,2018
jackson,jackson m1,2018-07-12,north,NA,0,0,NA,2018
jackson,jackson m1,2018-07-12,south,NA,0,0,NA,2018
jackson,jackson m1,2018-07-12,east,NA,0,0,NA,2018
jackson,jackson m1,2018-07-12,west,NA,0,0,NA,2018
shelby,shelby a1,2018-08-11,north,deer,8,1,NA,2018
shelby,shelby a1,2018-08-11,south,NA,0,0,NA,2018
shelby,shelby a1,2018-08-11,east,deer,8,0,NA,2018
shelby,shelby a1,2018-08-11,west,deer,3,0,NA,2018
shelby,shelby a2,2018-08-12,north,deer,2,4,NA,2018
shelby,shelby a2,2018-08-12,south,deer,5,0,NA,2018
shelby,shelby a2,2018-08-12,east,deer,5,0,NA,2018
shelby,shelby a2,2018-08-12,west,deer,1,0,NA,2018
shelby,shelby b2,2018-08-15,north,NA,0,0,NA,2018
shelby,shelby b2,2018-08-15,south,deer,1,0,NA,2018
shelby,shelby b2,2018-08-15,east,NA,0,0,NA,2018
shelby,shelby b2,2018-08-15,west,NA,0,0,NA,2018
shelby,shelby b3,2018-08-15,north,NA,0,0,NA,2018
shelby,shelby b3,2018-08-15,south,NA,0,0,NA,2018
shelby,shelby b3,2018-08-15,east,NA,0,0,NA,2018
shelby,shelby b3,2018-08-15,west,NA,0,0,NA,2018
shelby,shelby c1,2018-08-11,north,NA,0,0,NA,2018
