plot_id,inst_nm,visit_date,n_fires,fri15yr,d_since_fire,w_since_fire,y_since_fire,frindex,geometry
eglin i1,Eglin AFB,2018-06-12,1,15,3372,481.7142857142857,9.263736263736265,0.00719652036378015,"c(572449.930864426, 3396584.41920939)"
eglin j1,Eglin AFB,2018-06-13,1,15,4156,593.7142857142857,11.417582417582416,0.005838947706127687,"c(552894.747396188, 3387225.84822702)"
benning a1,Fort Benning,2018-07-24,3,5,1587,226.71428571428572,4.35989010989011,0.045872715816005036,"c(698016.074520102, 3585505.74681721)"
benning b1,Fort Benning,2018-07-24,3,5,810,115.71428571428571,2.2252747252747254,0.08987654320987655,"c(697495.210618848, 3585659.89385844)"
benning c1,Fort Benning,2018-07-25,6,2.5,131,18.714285714285715,0.3598901098901099,1.1114503816793895,"c(705584.129062671, 3580820.51689089)"
benning d1,Fort Benning,2018-07-25,8,1.875,132,18.857142857142858,0.3626373626373626,1.4707070707070706,"c(709369.764232813, 3582690.60500789)"
benning e1,Fort Benning,2018-07-26,3,5,1175,167.85714285714286,3.228021978021978,0.06195744680851064,"c(705293.656328282, 3578854.14447244)"
benning f1,Fort Benning,2018-07-26,4,3.75,789,112.71428571428571,2.1675824175824174,0.12302492606675117,"c(704999.772533677, 3579508.18905249)"
benning g1,Fort Benning,2018-07-28,5,3,1156,165.14285714285714,3.1758241758241756,0.104959630911188,"c(716345.87741558, 3584573.30300829)"
benning h1,Fort Benning,2018-07-28,6,2.5,493,70.42857142857143,1.3543956043956045,0.2953346855983773,"c(718981.140345967, 3583483.63395734)"
benning i1,Fort Benning,2018-07-27,7,2.142857142857143,487,69.57142857142857,1.3379120879120878,0.34880219028062975,"c(718455.036231002, 3587083.87204092)"
benning j1,Fort Benning,2018-07-27,10,1.5,159,22.714285714285715,0.4368131868131868,1.5262054507337526,"c(718258.638348344, 3586271.62466461)"
gordon a1,Fort Gordon,2018-08-20,5,3,838,119.71428571428571,2.302197802197802,0.14478918058870327,"c(389712.733415507, 3691345.77744213)"
gordon b1,Fort Gordon,2018-08-20,6,2.5,447,63.857142857142854,1.2280219780219779,0.32572706935123047,"c(390575.267221034, 3691483.26474226)"
gordon c1,Fort Gordon,2018-08-20,4,3.75,1539,219.85714285714286,4.228021978021978,0.06307125839289582,"c(387155.744752383, 3691371.10204794)"
gordon d1,Fort Gordon,2018-08-21,3,5,1884,269.14285714285717,5.175824175824176,0.038641188959660296,"c(389537.726699045, 3689984.81847879)"
gordon e1,Fort Gordon,2018-08-21,3,5,3381,483,9.288461538461538,0.02153209109730849,"c(389463.931136768, 3689846.93572039)"
gordon f1,Fort Gordon,2018-08-21,5,3,1253,179,3.4423076923076925,0.09683426443202979,"c(388741.243181255, 3690068.66291434)"
gordon g1,Fort Gordon,2018-08-22,4,3.75,916,130.85714285714286,2.5164835164835164,0.1059679767103348,"c(380542.759848482, 3692434.63641013)"
gordon h1,Fort Gordon,2018-08-22,4,3.75,159,22.714285714285715,0.4368131868131868,0.610482180293501,"c(380424.266340524, 3692393.95787223)"
jackson a1,Fort Jackson,2018-07-09,1,15,3038,434,8.346153846153847,0.007987711213517665,"c(523100.825714346, 3770759.2861818)"
jackson b1,Fort Jackson,2018-07-09,4,3.75,1168,166.85714285714286,3.208791208791209,0.08310502283105023,"c(522579.825696095, 3770365.39740221)"
jackson c1,Fort Jackson,2018-07-09,3,5,402,57.42857142857143,1.1043956043956045,0.18109452736318407,"c(522203.769780299, 3770900.94425543)"
jackson d1,Fort Jackson,2018-07-09,2,7.5,3168,452.57142857142856,8.703296703296703,0.01531986531986532,"c(522776.92101738, 3770514.45083492)"
jackson e1,Fort Jackson,2018-07-10,1,15,4192,598.8571428571429,11.516483516483516,0.005788804071246819,"c(522101.605921585, 3771228.02340889)"
jackson f1,Fort Jackson,2018-07-10,1,15,874,124.85714285714286,2.401098901098901,0.02776506483600305,"c(521602.85386082, 3771023.62424651)"
jackson g1,Fort Jackson,2018-07-10,4,3.75,1510,215.71428571428572,4.148351648351649,0.06428256070640176,"c(519970.424800586, 3770647.91327641)"
jackson h1,Fort Jackson,2018-07-12,2,7.5,3416,488,9.384615384615385,0.014207650273224043,"c(521089.078769711, 3763029.25567668)"
jackson i1,Fort Jackson,2018-07-11,3,5,475,67.85714285714286,1.304945054945055,0.15326315789473685,"c(520840.19432393, 3763460.79974831)"
jackson j1,Fort Jackson,2018-07-11,2,7.5,1282,183.14285714285714,3.521978021978022,0.03785751430057202,"c(521752.206413495, 3763216.14720069)"
jackson k1,Fort Jackson,2018-07-11,3,5,160,22.857142857142858,0.43956043956043955,0.455,"c(521842.962287615, 3763741.48012646)"
jackson l1,Fort Jackson,2018-07-13,1,15,3401,485.85714285714283,9.343406593406593,0.007135156326570617,"c(520165.800271646, 3772264.85329258)"
jackson m1,Fort Jackson,2018-07-13,2,7.5,161,23,0.4423076923076923,0.30144927536231886,"c(520402.309218526, 3772316.69970686)"
moody a1,Moody AFB,2017-08-30,3,5,2495,356.42857142857144,6.854395604395605,0.029178356713426855,"c(794315.878728399, 109399.18204308)"
moody b1,Moody AFB,2017-08-29,3,5,302,43.142857142857146,0.8296703296703297,0.2410596026490066,"c(794687.918679958, 109542.302700032)"
moody k1,Moody AFB,2017-08-30,2,7.5,3956,565.1428571428571,10.868131868131867,0.012268284462419954,"c(793931.592794698, 105805.783681385)"
tyndall b1,Tyndall AFB,2017-07-20,7,2.142857142857143,54,7.714285714285714,0.14835164835164835,3.145679012345679,"c(646941.386255273, 3319586.89780637)"
tyndall b2,Tyndall AFB,2017-07-20,6,2.5,54,7.714285714285714,0.14835164835164835,2.6962962962962966,"c(646986.629985024, 3319797.77710138)"
tyndall d1,Tyndall AFB,2017-07-20,4,3.75,1250,178.57142857142858,3.4340659340659343,0.07765333333333332,"c(639775.568326342, 3324360.43587852)"
tyndall h1,Tyndall AFB,2017-07-20,4,3.75,1250,178.57142857142858,3.4340659340659343,0.07765333333333332,"c(640671.965760296, 3324880.3755739)"
tyndall b1,Tyndall AFB,2018-06-25,7,2.142857142857143,394,56.285714285714285,1.0824175824175823,0.4311336717428088,"c(646941.386255273, 3319586.89780637)"
tyndall b2,Tyndall AFB,2018-06-25,6,2.5,394,56.285714285714285,1.0824175824175823,0.36954314720812187,"c(646986.629985024, 3319797.77710138)"
tyndall b3,Tyndall AFB,2018-06-27,8,1.875,396,56.57142857142857,1.0879120879120878,0.49023569023569025,"c(648706.523423293, 3321517.54734483)"
tyndall b4,Tyndall AFB,2018-06-27,8,1.875,396,56.57142857142857,1.0879120879120878,0.49023569023569025,"c(649188.860830748, 3321753.2886376)"
tyndall c1,Tyndall AFB,2018-06-26,5,3,381,54.42857142857143,1.0467032967032968,0.3184601924759405,"c(642913.296228616, 3322178.0685423)"
tyndall c2,Tyndall AFB,2018-06-26,5,3,381,54.42857142857143,1.0467032967032968,0.3184601924759405,"c(642799.236520353, 3322502.25722262)"
tyndall d2,Tyndall AFB,2018-06-25,5,3,380,54.285714285714285,1.043956043956044,0.319298245614035,"c(642780.025802002, 3322279.76318221)"
