installation,plot_id,imcy_inv,visit_date,last_fire_year,notes,years_since_fire,visit_year,lon,lat,pid2,inst_name
eglin,eglin a1,uninvaded,2018-06-11,2017,NA,1,2018,-86.507376,30.590218,A-1,Eglin AFB
eglin,eglin b2,uninvaded,2018-06-15,2016,NA,2,2018,-86.496065,30.607785,B-2,Eglin AFB
eglin,eglin c1,uninvaded,2018-06-13,2015,NA,3,2018,-86.425476,30.597517,C-1,Eglin AFB
eglin,eglin e1,uninvaded,2018-06-12,2018,NA,0,2018,-86.281877,30.68349,E-1,Eglin AFB
eglin,eglin f1,uninvaded,2018-06-15,2011,NA,7,2018,-86.532676,30.605483,F-1,Eglin AFB
eglin,eglin g1,uninvaded,2018-06-11,2011,NA,7,2018,-86.48356,30.562187,G-1,Eglin AFB
eglin,eglin i1,uninvaded,2018-06-12,2009,NA,9,2018,-86.243462,30.699865,I-1,Eglin AFB
eglin,eglin j1,uninvaded,2018-06-13,2007,NA,11,2018,-86.448132,30.616449,J-1,Eglin AFB
tyndall,tyndall d2,uninvaded,2018-06-25,2014,NA,4,2018,-85.51935,30.023204,D-2,Tyndall AFB
tyndall,tyndall b4,uninvaded,2018-06-27,2017,NA,1,2018,-85.452983,30.01769,B-4,Tyndall AFB
tyndall,tyndall b1,invaded,2018-06-25,2017,NA,1,2018,-85.47658,29.998418,B-1,Tyndall AFB
tyndall,tyndall b2,uninvaded,2018-06-25,2017,NA,1,2018,-85.476082,30.000315,B-2,Tyndall AFB
tyndall,tyndall c1,uninvaded,2018-06-26,2016,NA,2,2018,-85.517982,30.022271,C-1,Tyndall AFB
tyndall,tyndall c2,uninvaded,2018-06-26,2016,NA,2,2018,-85.519121,30.025209,C-2,Tyndall AFB
tyndall,tyndall b3,uninvaded,2018-06-27,2017,NA,1,2018,-85.458016,30.015622,B-3,Tyndall AFB
jackson,jackson d1,uninvaded,2018-07-09,2010,NA,8,2018,-80.75314,34.075136,D-1,Fort Jackson
jackson,jackson c1,uninvaded,2018-07-09,2017,NA,1,2018,-80.759342,34.078634,C-1,Fort Jackson
jackson,jackson g1,uninvaded,2018-07-10,2014,NA,4,2018,-80.783554,34.076397,G-1,Fort Jackson
jackson,jackson f1,uninvaded,2018-07-10,2016,NA,2,2018,-80.765852,34.079753,F-1,Fort Jackson
jackson,jackson e1,uninvaded,2018-07-10,2007,NA,11,2018,-80.760441,34.081586,E-1,Fort Jackson
jackson,jackson i1,uninvaded,2018-07-11,2017,NA,1,2018,-80.774299,34.011561,I-1,Fort Jackson
jackson,jackson j1,uninvaded,2018-07-11,2015,NA,3,2018,-80.764428,34.009336,J-1,Fort Jackson
jackson,jackson a1,uninvaded,2018-07-09,2010,NA,8,2018,-80.749623,34.077337,A-1,Fort Jackson
jackson,jackson b1,uninvaded,2018-07-09,2015,NA,3,2018,-80.75528,34.073796,B-1,Fort Jackson
jackson,jackson h1,uninvaded,2018-07-12,2009,NA,9,2018,-80.771614,34.007664,H-1,Fort Jackson
jackson,jackson m1,uninvaded,2018-07-13,2018,NA,0,2018,-80.778834,34.091439,M-1,Fort Jackson
jackson,jackson k1,uninvaded,2018-07-11,2018,NA,0,2018,-80.763432,34.014072,K-1,Fort Jackson
jackson,jackson l1,uninvaded,2018-07-13,2009,NA,9,2018,-80.781399,34.090976,L-1,Fort Jackson
benning,benning b1,uninvaded,2018-07-24,2016,NA,2,2018,-84.900369,32.390499,B-1,Fort Benning
benning,benning a1,uninvaded,2018-07-24,2014,NA,4,2018,-84.894867,32.389017,A-1,Fort Benning
benning,benning c1,uninvaded,2018-07-25,2018,NA,0,2018,-84.815476,32.345412,C-1,Fort Benning
benning,benning d1,uninvaded,2018-07-25,2017,NA,1,2018,-84.774863,32.361567,D-1,Fort Benning
benning,benning e1,uninvaded,2018-07-26,2015,NA,3,2018,-84.818986,32.327739,E-1,Fort Benning
benning,benning f1,uninvaded,2018-07-26,2016,NA,2,2018,-84.821965,32.333689,F-1,Fort Benning
benning,benning i1,uninvaded,2018-07-27,2017,NA,1,2018,-84.67736,32.399427,I-1,Fort Benning
benning,benning j1,uninvaded,2018-07-27,2018,NA,0,2018,-84.679634,32.392144,J-1,Fort Benning
benning,benning g1,uninvaded,2018-07-28,2015,NA,3,2018,-84.700343,32.377208,G-1,Fort Benning
benning,benning h1,uninvaded,2018-07-28,2017,NA,1,2018,-84.672603,32.366872,H-1,Fort Benning
shelby,shelby a1,invaded,2018-08-11,2017,NA,1,2018,-88.937473,30.968064,A-1,Camp Shelby
shelby,shelby a2,uninvaded,2018-08-12,2017,uninvaded pair to a1,1,2018,-88.931824,30.967114,A-2,Camp Shelby
shelby,shelby b2,uninvaded,2018-08-15,2017,NA,1,2018,-89.048217,31.11502,B-2,Camp Shelby
shelby,shelby b3,invaded,2018-08-15,2017,NA,1,2018,-89.048707,31.114496,B-3,Camp Shelby
shelby,shelby c1,uninvaded,2018-08-11,2016,NA,2,2018,-88.865599,30.948842,C-1,Camp Shelby
shelby,shelby e1,uninvaded,2018-08-12,2015,NA,3,2018,-88.912687,30.985987,E-1,Camp Shelby
shelby,shelby h1,uninvaded,2018-08-13,2014,NA,4,2018,-88.958222,31.073167,H-1,Camp Shelby
shelby,shelby i1,uninvaded,2018-08-13,2012,NA,6,2018,-88.954874,31.071573,I-1,Camp Shelby
shelby,shelby j1,uninvaded,2018-08-14,2012,NA,6,2018,-89.231414,31.208952,J-1,Camp Shelby
shelby,shelby k1,uninvaded,2018-08-14,2015,NA,NA,2018,-89.209579,31.213312,K-1,Camp Shelby
gordon,gordon a1,uninvaded,2018-08-20,2016,NA,2,2018,-82.185351,33.355677,A-1,Fort Gordon
gordon,gordon b1,uninvaded,2018-08-20,2017,NA,1,2018,-82.176099,33.357005,B-1,Fort Gordon
gordon,gordon c1,uninvaded,2018-08-20,2014,NA,4,2018,-82.212831,33.35564,C-1,Fort Gordon
gordon,gordon d1,uninvaded,2018-08-21,2013,"plot hardwood dominated ""reference plot"", at edge of pine dominated stand",5,2018,-82.187065,33.343386,D-1,Fort Gordon
gordon,gordon e1,uninvaded,2018-08-21,2009,NA,9,2018,-82.187841,33.342135,E-1,Fort Gordon
gordon,gordon f1,uninvaded,2018-08-21,2015,NA,3,2018,-82.195633,33.34406,F-1,Fort Gordon
gordon,gordon g1,uninvaded,2018-08-22,2016,NA,2,2018,-82.284032,33.364516,G-1,Fort Gordon
gordon,gordon h1,uninvaded,2018-08-22,2018,evidence of chemical treatment to reduce understory/midstory of oaks/hardwoods,0,2018,-82.2853,33.364136,H-1,Fort Gordon
