location,fire_id,max_temp,avg_max_temp,s_abv100,s_abv300,date,fabio_id,biomass,litter_biomass,pct_green,biomass_type,structure,rate_of_spread_50cm,f_litter_biomass,f_biomass,total_biomass,pct_consumed,est_pct_fuel_moisture,pct_fuel_moisture,max_flame_ht,avg_flame_ht,max_fuel_ht,avg_litter_depth,avg_green_ht,avg_brown_ht,avg_fuel_ht
25cm,2,873.98,857.262,202,64,2017-07-05,2,3000,2000,75,cogongrass,standing,NA,2000g litter,3000g,5000,97.3808,30.383323152107515,NA,243,243,127,20,121.33333333333333,106,113.66666666666666
25cm,3,485.11,448.356,20,7,2017-07-05,2,1000,0,25,cogongrass,standing,NA,0g litter,1000g,1000,92.477,31.68948557756215,NA,85,85,90,0,83.33333333333333,83.33333333333333,83.33333333333333
25cm,4,75.69,71,0,0,2017-07-05,1,200,0,75,cogongrass,standing,NA,0g litter,200g,200,20.644999999999996,42.070442946254175,NA,-Inf,NaN,117,0,109,96.66666666666667,102.83333333333334
25cm,5,52.84,51.922000000000004,0,0,2017-07-05,2,200,0,25,cogongrass,standing,NA,0g litter,200g,200,47.81,23.16535734815098,NA,54,54,77,0,65.66666666666667,72.33333333333333,69
25cm,6,143.99,125.572,8,0,2017-07-05,1,600,0,75,cogongrass,standing,NA,0g litter,600g,600,32.02333333333333,45.12087480998382,NA,-Inf,NaN,106,0,102.33333333333333,97.33333333333333,99.83333333333333
25cm,7,560.19,466.332,22,8,2017-07-05,1,1000,0,75,cogongrass,standing,NA,0g litter,1000g,1000,42.164,45.45611729718515,NA,-Inf,NaN,112,0,101.33333333333333,103.33333333333333,102.33333333333333
25cm,8,934.69,922.496,286,87,2017-07-05,1,3000,2000,25,cogongrass,standing,NA,2000g litter,3000g,5000,99.272,17.857142857142858,NA,245,245,185,19.333333333333332,135,102.66666666666667,118.83333333333334
25cm,9,988.74,923.428,204,95,2017-07-12,2,2000,2000,75,cogongrass,standing,NA,2000g litter,2000g,4000,94.909,31.20212139068945,NA,244,230.5,144,15.333333333333334,138.66666666666666,133,135.83333333333331
25cm,10,586.92,466.146,13,4,2017-07-12,2,3000,0,75,cogongrass,standing,NA,0g litter,3000g,3000,73.87033333333333,43.020066590975766,NA,141,131.5,143,0,138.33333333333334,125,131.66666666666669
25cm,11,920.02,815.942,51,20,2017-07-12,1,2000,500,25,cogongrass,standing,NA,500g litter,2000g,2500,98.228,26.50112866817155,NA,163,126.5,131,11.333333333333334,123,111,117
25cm,12,911.18,881.082,68,35,2017-07-12,2,0,2000,NA,cogongrass,standing,NA,2000g litter,0g,2000,100,NA,NA,106,79,0,20.333333333333332,0,0,0
25cm,13,1012.39,958.456,110,18,2017-07-12,1,200,2000,25,cogongrass,standing,NA,2000g litter,200g,2200,99.88636363636364,10.8,NA,118,87.5,112,19.333333333333332,69.66666666666667,96.33333333333333,83
25cm,14,1304.8,1304.8,45,41,2017-07-12,2,600,1000,25,cogongrass,standing,NA,1000g litter,600g,1600,97.401875,23.59874909790714,NA,80,73,118,7,83.33333333333333,96.33333333333333,89.83333333333333
25cm,15,699.48,515.506,34,10,2017-07-12,1,600,1000,75,cogongrass,standing,NA,1000g litter,600g,1600,91.98,35.87125935162094,NA,70,63.5,119,7.666666666666667,103,94,98.5
25cm,16,458.02,361.414,23,4,2017-07-12,1,2000,500,75,cogongrass,standing,NA,500g litter,2000g,2500,86.7476,41.69810751260149,NA,92,85,130,5.333333333333333,127.66666666666667,106,116.83333333333334
25cm,17,929.57,800.824,26,17,2017-07-12,2,1000,500,25,cogongrass,standing,NA,500g litter,1000g,1500,92.85466666666666,43.991416309012884,NA,125,119.5,130,7,121.66666666666667,112,116.83333333333334
25cm,18,864.9,773.314,29,16,2017-07-14,2,1500,0,25,wiregrass,standing,NA,0g litter,1500g,1500,100,NA,NA,155,138.5,125,0,84.33333333333333,122,103.16666666666666
25cm,19,876,835.4399999999999,128,59,2017-07-14,2,3000,0,75,wiregrass,standing,NA,0g litter,3000g,3000,99.11133333333333,8.927231807951983,NA,167,162.5,111,0,66,109.66666666666667,87.83333333333334
25cm,20,489.89,326.582,12,2,2017-07-14,2,1000,0,75,wiregrass,standing,NA,0g litter,1000g,1000,97.636,14.12859560067682,NA,66,41,110,0,83.33333333333333,103.66666666666667,93.5
25cm,21,883.08,824.298,35,12,2017-07-14,2,600,0,75,wiregrass,standing,NA,0g litter,600g,600,73.84166666666667,22.013380057343092,NA,94,56,105,0,67,102.33333333333333,84.66666666666666
25cm,22,411.05,297.84000000000003,15,1,2017-07-14,2,200,0,25,wiregrass,standing,NA,0g litter,200g,200,45.455,10.27591896599139,NA,15,7.5,110,0,41.333333333333336,101.66666666666667,71.5
25cm,23,535.06,484.23,34,16,2017-07-14,2,600,0,25,wiregrass,standing,NA,0g litter,600g,600,91.59166666666665,8.225966303270576,NA,56,50,120,0,54.333333333333336,110.66666666666667,82.5
25cm,24,871.29,826.46,34,16,2017-07-14,2,1000,0,25,wiregrass,standing,NA,0g litter,1000g,1000,99.43,11.578947368421055,NA,94,76,125,0,68.33333333333333,116,92.16666666666666
25cm,25,438.56,370.308,16,6,2017-09-07,2,1500,0,75,cogongrass,standing,NA,0g litter,1500g,1500,41.24933333333333,60.69377936136895,43.521388716677,96,96,141,0,127,96.33333333333333,111.66666666666666
25cm,26,806.19,752.014,51,15,2017-09-07,2,2500,0,75,cogongrass,standing,NA,0g litter,2500g,2500,67.2876,52.09278438757168,41.93738924985233,133,111,141,0,134.33333333333334,110.33333333333333,122.33333333333334
25cm,27,836.11,721.69,63,22,2017-09-07,2,600,500,75,cogongrass,standing,NA,500g litter,600g,1100,83.59181818181818,41.16571555210815,36.64850136239782,39,35.5,118,8.333333333333334,111.66666666666667,95.66666666666667,103.66666666666667
25cm,28,161.52,150.4,10,0,2017-09-07,2,600,0,25,cogongrass,standing,NA,0g litter,600g,600,57.585,28.22900703367519,24.71395881006865,61,30.5,137,0,118.33333333333333,99.66666666666667,109
25cm,29,37.67,37.67,0,0,2017-09-07,2,1200,0,75,cogongrass,standing,NA,0g litter,1200g,1200,30.695833333333333,49.48836650033067,36.570862239841425,30,15,139,0,130.66666666666666,114.66666666666667,122.66666666666666
25cm,30,117.31,106.044,3,0,2017-09-07,2,800,0,25,cogongrass,standing,NA,0g litter,800g,800,48.0675,31.37726856977807,15.82381729200652,13,6.5,123,0,118,97.33333333333333,107.66666666666666
25cm,31,37.67,37.406000000000006,0,0,2017-09-07,2,400,0,75,cogongrass,standing,NA,0g litter,400g,400,28.450000000000003,39.563242487770786,37.65690376569038,-Inf,NaN,126,0,117.33333333333333,105.33333333333333,111.33333333333333
25cm,32,73.74,65.52199999999999,0,0,2017-09-07,2,400,0,25,cogongrass,standing,NA,0g litter,400g,400,19.769999999999996,19.60613236943787,13.010590015128598,-Inf,NaN,143,0,131.33333333333334,127.33333333333333,129.33333333333334
25cm,33,927.86,905.666,81,24,2017-09-07,2,800,500,25,cogongrass,standing,NA,500g litter,800g,1300,98.22923076923077,23.761946133796695,20.643729189789116,156,138,140,5.666666666666667,132.66666666666666,129.66666666666666,131.16666666666666
25cm,34,572.28,504.17,24,9,2017-09-07,2,800,500,75,cogongrass,standing,NA,500g litter,800g,1300,79.94307692307693,42.387052235943855,35.9106529209622,54,50.5,127,6,116.33333333333333,117,116.66666666666666
25cm,35,1052.76,985.002,36,26,2017-09-07,2,1200,500,25,cogongrass,standing,NA,500g litter,1200g,1700,96.89529411764705,25.483137552103074,15.119363395225461,167,146.5,144,5.666666666666667,114.66666666666667,126.66666666666667,120.66666666666667
25cm,36,986.31,936.088,37,21,2017-09-07,2,3000,0,25,cogongrass,standing,NA,0g litter,3000g,3000,97.73166666666667,36.51726671565025,20.17640573318633,275,275,137,0,120,121.66666666666667,120.83333333333334
25cm,37,459.61,443.278,36,17,2017-09-07,2,200,500,75,cogongrass,standing,NA,500g litter,200g,700,91.84285714285714,31.996497373029776,26.605504587155966,33,29,107,6,102.33333333333333,92,97.16666666666666
25cm,38,553.2,458.262,14,8,2017-09-08,2,1200,0,25,cogongrass,standing,NA,0g litter,1200g,1200,96.05166666666665,22.33009708737865,19.83240223463687,115,107.5,129,0,108.66666666666667,122.33333333333333,115.5
25cm,39,905.41,749.7239999999999,36,13,2017-09-08,2,400,500,25,cogongrass,standing,NA,500g litter,400g,900,92.71111111111111,15.960365853658525,14.664586583463345,56,47.5,120,4.666666666666667,115,118.33333333333333,116.66666666666666
25cm,40,928.89,780.358,41,23,2017-09-08,2,1500,500,25,cogongrass,standing,NA,500g litter,1500g,2000,98.638,20.961820851688685,13.544018058690737,180,135,130,8,116.33333333333333,123,119.66666666666666
25cm,41,909.48,863.64,38,25,2017-09-08,2,600,500,25,cogongrass,standing,NA,500g litter,600g,1100,97.97818181818182,13.9388489208633,13.901760889712698,87,84,107,8.666666666666666,88.33333333333333,104,96.16666666666666
25cm,42,878.69,803.692,146,99,2017-09-08,2,0,3500,25,cogongrass,piled,NA,NA,0g,3500,99.44571428571429,33.4020618556701,16.80598328200616,170,128,72,39.333333333333336,50.666666666666664,61.666666666666664,56.166666666666664
50cm,1,383.75,355.456,18,5,2017-07-05,1,800,0,75,cogongrass,standing,NA,0g litter,800g,800,42.545,46.65607867026369,NA,-Inf,NaN,105,0,105,84.66666666666667,94.83333333333334
50cm,2,1006.81,980.48,152,33,2017-07-05,2,3000,2000,75,cogongrass,standing,NA,2000g litter,3000g,5000,97.3808,30.383323152107515,NA,243,243,127,20,121.33333333333333,106,113.66666666666666
50cm,3,685.26,552.048,13,6,2017-07-05,2,1000,0,25,cogongrass,standing,NA,0g litter,1000g,1000,92.477,31.68948557756215,NA,85,85,90,0,83.33333333333333,83.33333333333333,83.33333333333333
50cm,4,58.08,53.492,0,0,2017-07-05,1,200,0,75,cogongrass,standing,NA,0g litter,200g,200,20.644999999999996,42.070442946254175,NA,-Inf,NaN,117,0,109,96.66666666666667,102.83333333333334
50cm,5,148.36,121.556,5,0,2017-07-05,2,200,0,25,cogongrass,standing,NA,0g litter,200g,200,47.81,23.16535734815098,NA,54,54,77,0,65.66666666666667,72.33333333333333,69
50cm,6,59.71,59.188,0,0,2017-07-05,1,600,0,75,cogongrass,standing,NA,0g litter,600g,600,32.02333333333333,45.12087480998382,NA,-Inf,NaN,106,0,102.33333333333333,97.33333333333333,99.83333333333333
50cm,7,176.08,153.384,7,0,2017-07-05,1,1000,0,75,cogongrass,standing,NA,0g litter,1000g,1000,42.164,45.45611729718515,NA,-Inf,NaN,112,0,101.33333333333333,103.33333333333333,102.33333333333333
50cm,8,966.96,924.548,117,38,2017-07-05,1,3000,2000,25,cogongrass,standing,NA,2000g litter,3000g,5000,99.272,17.857142857142858,NA,245,245,185,19.333333333333332,135,102.66666666666667,118.83333333333334
50cm,9,899.31,875.5699999999999,149,70,2017-07-12,2,2000,2000,75,cogongrass,standing,NA,2000g litter,2000g,4000,94.909,31.20212139068945,NA,244,230.5,144,15.333333333333334,138.66666666666666,133,135.83333333333331
50cm,10,954.57,895.672,56,18,2017-07-12,2,3000,0,75,cogongrass,standing,NA,0g litter,3000g,3000,73.87033333333333,43.020066590975766,NA,141,131.5,143,0,138.33333333333334,125,131.66666666666669
50cm,11,895.58,790.828,27,15,2017-07-12,1,2000,500,25,cogongrass,standing,NA,500g litter,2000g,2500,98.228,26.50112866817155,NA,163,126.5,131,11.333333333333334,123,111,117
50cm,12,796.27,746.144,85,26,2017-07-12,2,0,2000,NA,cogongrass,standing,NA,2000g litter,0g,2000,100,NA,NA,106,79,0,20.333333333333332,0,0,0
50cm,13,867.59,818.346,38,11,2017-07-12,1,200,2000,25,cogongrass,standing,NA,2000g litter,200g,2200,99.88636363636364,10.8,NA,118,87.5,112,19.333333333333332,69.66666666666667,96.33333333333333,83
50cm,14,755.8,659.352,41,14,2017-07-12,2,600,1000,25,cogongrass,standing,NA,1000g litter,600g,1600,97.401875,23.59874909790714,NA,80,73,118,7,83.33333333333333,96.33333333333333,89.83333333333333
