status,installation,plot_id,sd_card,species,count
invaded,riversedge,i2,113-1,pig,0
invaded,seay,i1,103-1,pig,0
invaded,seay,i1,103-2,pig,0
invaded,seay,i1,33-1,pig,0
invaded,seay,i1,33-2,pig,0
invaded,seay,i2,103-3,pig,0
invaded,seay,i2,33-3,pig,0
invaded,silversprings,i1,105-1,pig,0
invaded,silversprings,i1,15-1,pig,0
invaded,wes,i1,28-1,pig,0
invaded,wes,i1,6-1,pig,0
invaded,wes,i2,28-2,pig,0
invaded,wes,i2,6-2,pig,0
invaded,wes,i3,28-3,pig,0
invaded,wes,i3,6-3,pig,0
native,brown,n1,101-1,pig,0
native,brown,n1,21-1,pig,0
native,brown,n2,101-2,pig,0
native,brown,n2,21-2,pig,0
native,brown,n3,108-2,pig,0
native,brown,n3,9-2,pig,0
native,hancock,n1,14-1,pig,0
native,munson,n1,35-1,pig,0
native,riversedge,n1,114-1,pig,0
native,riversedge,n1,42-1,pig,0
native,seay,n1,104-1,pig,0
native,seay,n1,25-1,pig,0
native,seay,n1,25-2,pig,0
native,seay,n2,104-3,pig,0
native,silversprings,n1,106-1,pig,0
native,silversprings,n1,23-1,pig,0
native,wes,n1,4-1,pig,0
native,wes,n1,4-2,pig,0
native,wes,n1,8-1,pig,0
native,wes,n1,8-2,pig,0
