"installation","plot_id","date","location","species","dung1m","dung2m","notes"
"shelby","d1",20170923,"north",NA,0,0,NA
"shelby","d1",20170923,"east",NA,0,0,NA
"shelby","d1",20170923,"south",NA,0,0,NA
"shelby","d1",20170923,"west",NA,0,0,NA
"shelby","b2",20170924,"north",NA,0,0,NA
"shelby","b2",20170924,"east",NA,0,0,NA
"shelby","b2",20170924,"south",NA,0,0,NA
"shelby","b2",20170924,"west",NA,0,0,NA
"shelby","b1",20170923,"north","Other",1,0,NA
"shelby","b1",20170923,"east",NA,0,0,NA
"shelby","b1",20170923,"south","Cottontail",1,0,NA
"shelby","b1",20170923,"west","Cottontail",1,0,NA
"shelby","f1",20170923,"north","Cottontail",2,0,NA
"shelby","f1",20170923,"north","Deer",1,0,NA
"shelby","f1",20170923,"east","Cottontail",4,0,NA
"shelby","f1",20170923,"south","Cottontail",4,0,NA
"shelby","f1",20170923,"west","Cottontail",2,0,NA
"shelby","b3",20170924,"north",NA,0,0,NA
"shelby","b3",20170924,"east",NA,0,0,NA
"shelby","b3",20170924,"south",NA,0,0,NA
"shelby","b3",20170924,"west",NA,0,0,NA
"shelby","g1",20170926,"north","Cottontail",2,0,NA
"shelby","g1",20170926,"east","Deer",1,0,NA
"shelby","g1",20170926,"east","Cottontail",1,0,NA
"shelby","g1",20170926,"south",NA,0,0,NA
"shelby","g1",20170926,"west","Cottontail",1,0,NA
"eglin","b1",20170819,"north","deer",0,1,NA
"eglin","b1",20170819,"east","deer",4,0,NA
"eglin","b1",20170819,"south","deer",2,0,NA
"eglin","b1",20170819,"south","cottontail",1,0,NA
"eglin","b1",20170819,"west","other",1,0,NA
"eglin","p1",20170819,"north","cottontail",1,0,NA
"eglin","p1",20170819,"east",NA,0,0,NA
"eglin","p1",20170819,"south","deer",1,0,NA
"eglin","p1",20170819,"west",NA,0,0,NA
"eglin","h1",20170817,"north",NA,0,0,NA
"eglin","h1",20170817,"east",NA,0,0,NA
"eglin","h1",20170817,"south",NA,0,0,NA
"eglin","h1",20170817,"west",NA,0,0,NA
"eglin","d1",20170817,"north","deer",4,0,NA
"eglin","d1",20170817,"east","deer",1,0,NA
"eglin","d1",20170817,"south",NA,0,0,NA
"eglin","d1",20170817,"west","deer",1,0,NA
"blanding","k1",20180522,"north","deer",4,0,NA
"blanding","k1",20180522,"east","deer",0,1,NA
"blanding","k1",20180522,"south","deer",4,5,NA
"blanding","k1",20180522,"west","deer",2,1,NA
"blanding","g1",20180518,"north","deer",33,16,NA
"blanding","g1",20180518,"north","cottontail",71,122,NA
"blanding","g1",20180518,"east","deer",4,0,NA
"blanding","g1",20180518,"east","cottontail",6,6,NA
"blanding","g1",20180518,"east","other",2,2,NA
"blanding","g1",20180518,"south","deer",3,3,NA
"blanding","g1",20180518,"south","cottontail",19,0,NA
"blanding","g1",20180518,"south","other",1,0,NA
"blanding","g1",20180518,"west","deer",18,7,NA
"blanding","i1",20180525,"north","deer",10,3,NA
"blanding","i1",20180525,"east","deer",1,0,NA
"blanding","i1",20180525,"south","deer",4,0,NA
"blanding","i1",20180525,"west","deer",5,2,NA
"blanding","i1",20180525,"west","cottontail",2,0,NA
"blanding","m1",20180518,"north","deer",7,2,NA
"blanding","m1",20180518,"north","cottontail",7,14,NA
"blanding","m1",20180518,"north","turkey",1,0,NA
"blanding","m1",20180518,"east",NA,0,NA,NA
"blanding","m1",20180518,"south","deer",9,1,NA
"blanding","m1",20180518,"south","cottontail",7,1,NA
"blanding","m1",20180518,"south","turkey",2,0,NA
"blanding","m1",20180518,"west","deer",5,1,NA
"blanding","m1",20180518,"west","cottontail",1,1,NA
"blanding","m1",20180518,"west","turkey",2,1,NA
"blanding","c1",20180516,"north","deer",4,1,NA
"blanding","c1",20180516,"north","cottontail",17,2,NA
"blanding","c1",20180516,"north","turkey",3,0,NA
"blanding","c1",20180516,"east","deer",0,2,NA
"blanding","c1",20180516,"east","cottontail",4,2,NA
"blanding","c1",20180516,"east","turkey",6,0,NA
"blanding","c1",20180516,"south","deer",4,0,NA
"blanding","c1",20180516,"south","cottontail",8,1,NA
"blanding","c1",20180516,"west","deer",1,2,NA
"blanding","c1",20180516,"west","cottontail",1,5,NA
"blanding","c1",20180516,"west","other",1,0,NA
"blanding","c1",20180516,"west","turkey",0,1,NA
"blanding","h1",20180517,"north",NA,0,0,NA
"blanding","h1",20180517,"east","deer",25,14,NA
"blanding","h1",20180517,"east","cottontail",16,4,NA
"blanding","h1",20180517,"east","other",1,0,NA
"blanding","h1",20180517,"south","deer",5,6,NA
"blanding","h1",20180517,"south","cottontail",1,0,NA
"blanding","h1",20180517,"west","deer",5,6,NA
"blanding","h1",20180517,"west","cottontail",0,2,NA
"blanding","h1",20180517,"west","other",1,0,NA
"blanding","n1",20180524,"north","deer",4,0,NA
"blanding","n1",20180524,"north","cottontail",240,125,NA
"blanding","n1",20180524,"east","cottontail",90,60,NA
"blanding","n1",20180524,"south","cottontail",88,82,NA
"blanding","n1",20180524,"west","deer",1,0,NA
"blanding","n1",20180524,"west","cottontail",74,4,NA
"blanding","j1",20180525,"north","deer",2,0,NA
"blanding","j1",20180525,"east","deer",2,0,NA
"blanding","j1",20180525,"south","cottontail",3,0,NA
"blanding","j1",20180525,"west","cottontail",37,0,NA
"avonpark","c1",20180531,"north","cow",5,2,NA
"avonpark","c1",20180531,"north","other",1,0,NA
"avonpark","c1",20180531,"east","cow",2,1,NA
"avonpark","c1",20180531,"south","cow",3,0,NA
"avonpark","c1",20180531,"south","cottontail",8,0,NA
"avonpark","c1",20180531,"west","cow",2,0,NA
"avonpark","c1",20180531,"west","cottontail",39,0,NA
"avonpark","c2",20180531,"north","cow",1,0,NA
"avonpark","c2",20180531,"north","cottontail",18,0,NA
"avonpark","c2",20180531,"east","cottontail",9,0,NA
"avonpark","c2",20180531,"south","cow",1,1,NA
"avonpark","c2",20180531,"south","deer",1,0,NA
"avonpark","c2",20180531,"west","cow",3,0,NA
"avonpark","c2",20180531,"west","deer",1,1,NA
"avonpark","c2",20180531,"west","cottontail",4,0,NA
"avonpark","f1",20180531,"north","deer",2,3,NA
"avonpark","f1",20180531,"east","deer",1,0,NA
"avonpark","f1",20180531,"south","deer",4,2,NA
"avonpark","f1",20180531,"west","other",0,1,NA
"avonpark","g1",20180531,"north","cottontail",2,0,NA
"avonpark","g1",20180531,"east",NA,0,0,NA
"avonpark","g1",20180531,"south",NA,0,0,NA
"avonpark","g1",20180531,"west",NA,0,0,NA
"avonpark","h1",20180601,"north","deer",1,1,NA
"avonpark","h1",20180601,"north","cottontail",1,0,NA
"avonpark","h1",20180601,"east","deer",0,1,NA
"avonpark","h1",20180601,"south",NA,0,0,NA
"avonpark","h1",20180601,"west","deer",1,0,NA
"avonpark","i1",20180601,"north",NA,0,0,NA
"avonpark","i1",20180601,"east",NA,0,0,NA
"avonpark","i1",20180601,"south",NA,0,0,NA
"avonpark","i1",20180601,"west",NA,0,0,NA
"avonpark","e1",20180529,"north",NA,0,0,NA
"avonpark","e1",20180529,"east",NA,0,0,NA
"avonpark","e1",20180529,"south",NA,0,0,NA
"avonpark","e1",20180529,"west",NA,0,0,NA
"avonpark","e2",20180529,"north",NA,0,0,NA
"avonpark","e2",20180529,"east",NA,0,0,NA
"avonpark","e2",20180529,"south",NA,0,0,NA
"avonpark","e2",20180529,"west",NA,0,0,NA
"avonpark","a1",20180530,"north","cow",8,3,NA
"avonpark","a1",20180530,"east","cow",8,2,NA
"avonpark","a1",20180530,"east","cottontail",52,7,NA
"avonpark","a1",20180530,"south","cow",12,3,NA
"avonpark","a1",20180530,"south","cottontail",332,34,NA
"avonpark","a1",20180530,"west","cow",3,2,NA
"avonpark","a1",20180530,"west","cottontail",114,7,NA
"avonpark","a2",20180530,"north","cottontail",142,12,NA
"avonpark","a2",20180530,"north","cow",6,0,NA
"avonpark","a2",20180530,"east","cottontail",38,0,NA
"avonpark","a2",20180530,"east","cow",7,1,NA
"avonpark","a2",20180530,"south","cottontail",93,13,NA
"avonpark","a2",20180530,"south","cow",3,4,NA
"avonpark","a2",20180530,"west","cottontail",24,2,NA
"avonpark","a2",20180530,"west","cow",11,2,NA
"eglin","a1",20180611,"north",NA,0,0,NA
"eglin","a1",20180611,"east",NA,0,0,NA
"eglin","a1",20180611,"south",NA,0,0,NA
"eglin","a1",20180611,"west","cottontail",1,0,NA
"eglin","g1",20180611,"north",NA,0,0,NA
"eglin","g1",20180611,"east","deer",2,0,NA
"eglin","g1",20180611,"south","deer",5,1,NA
"eglin","g1",20180611,"west","cottontail",8,0,NA
"eglin","e1",20180612,"north","turkey",2,1,NA
"eglin","e1",20180612,"east","cottontail",6,1,NA
"eglin","e1",20180612,"south","cottontail",3,0,NA
"eglin","e1",20180612,"west",NA,0,0,NA
"eglin","c1",20180613,"north","deer",0,1,NA
"eglin","c1",20180613,"north","cottontail",7,0,NA
"eglin","c1",20180613,"east","deer",1,0,NA
"eglin","c1",20180613,"south","deer",1,2,NA
"eglin","c1",20180613,"south","cottontail",4,1,NA
"eglin","c1",20180613,"west","deer",2,1,NA
"eglin","j1",20180613,"north","deer",4,0,NA
"eglin","j1",20180613,"east","deer",5,1,NA
"eglin","j1",20180613,"east","other",1,0,NA
"eglin","j1",20180613,"south","deer",2,0,NA
"eglin","j1",20180613,"south","turkey",2,2,NA
"eglin","j1",20180613,"west","deer",4,2,NA
"eglin","f1",20180615,"north","deer",3,4,NA
"eglin","f1",20180615,"north","cottontail",11,0,NA
"eglin","f1",20180615,"east","deer",9,2,NA
"eglin","f1",20180615,"east","cottontail",14,0,NA
"eglin","f1",20180615,"south","deer",7,3,NA
"eglin","f1",20180615,"south","cottontail",9,0,NA
"eglin","f1",20180615,"west","deer",20,5,NA
"eglin","b2",20180615,"north","cottontail",7,0,NA
"eglin","b2",20180615,"north","turkey",1,0,NA
"eglin","b2",20180615,"east",NA,0,0,NA
"eglin","b2",20180615,"south","turkey",1,0,NA
"eglin","b2",20180615,"south","deer",1,0,NA
"eglin","b2",20180615,"west","turkey",3,0,NA
"eglin","b2",20180615,"west","deer",2,1,NA
"eglin","i1",20180612,"north",NA,NA,NA,NA
"eglin","i1",20180612,"south",NA,NA,NA,NA
"eglin","i1",20180612,"east",NA,0,0,NA
"eglin","i1",20180612,"west",NA,NA,NA,NA
"tyndall","c1",20180626,"north",NA,0,0,NA
"tyndall","c1",20180626,"east",NA,0,0,NA
"tyndall","c1",20180626,"south","deer",1,0,NA
"tyndall","c1",20180626,"west","deer",1,0,NA
"tyndall","c1",20180626,"west","cottontail",3,2,NA
"tyndall","c2",20180626,"north","deer",3,1,NA
"tyndall","c2",20180626,"east",NA,0,0,NA
"tyndall","c2",20180626,"south",NA,0,0,NA
"tyndall","c2",20180626,"west","cottontail",44,0,NA
"tyndall","b1",20180625,"north",NA,0,0,NA
"tyndall","b1",20180625,"east","deer",2,0,NA
"tyndall","b1",20180625,"south","other",2,0,NA
"tyndall","b1",20180625,"west","deer",1,0,NA
"tyndall","b2",20180625,"north","deer",2,1,NA
"tyndall","b2",20180625,"east","deer",2,0,NA
"tyndall","b2",20180625,"south","deer",4,2,NA
"tyndall","b2",20180625,"west",NA,0,0,NA
"tyndall","d2",20180625,"north",NA,0,0,NA
"tyndall","d2",20180625,"east","other",1,0,NA
"tyndall","d2",20180625,"south",NA,0,0,NA
"tyndall","d2",20180625,"west",NA,0,0,NA
"tyndall","b3",20180627,"north","cottontail",8,0,NA
"tyndall","b3",20180627,"east",NA,0,0,NA
"tyndall","b3",20180627,"south",NA,0,0,NA
"tyndall","b3",20180627,"west",NA,0,0,NA
"tyndall","b4",20180627,"north","deer",2,0,NA
"tyndall","b4",20180627,"east",NA,0,0,NA
"tyndall","b4",20180627,"south","deer",1,0,NA
"tyndall","b4",20180627,"west",NA,0,0,NA
"benning","a1",20180724,"north","deer",1,0,NA
"benning","a1",20180724,"east",NA,0,0,NA
"benning","a1",20180724,"south",NA,0,0,NA
"benning","a1",20180724,"west",NA,1,0,NA
"benning","b1",20180724,"north","deer",5,0,NA
"benning","b1",20180724,"east","deer",4,0,NA
"benning","b1",20180724,"south",NA,0,0,NA
"benning","b1",20180724,"west","deer",2,0,NA
"benning","c1",20180725,"north",NA,0,0,NA
"benning","c1",20180725,"east",NA,0,0,NA
"benning","c1",20180725,"south",NA,0,0,NA
"benning","c1",20180725,"west",NA,0,0,NA
"benning","d1",20180725,"north","deer",3,0,NA
"benning","d1",20180725,"east",NA,0,0,NA
"benning","d1",20180725,"south",NA,0,0,NA
"benning","d1",20180725,"west",NA,0,1,NA
"benning","e1",20180726,"north",NA,0,0,NA
"benning","e1",20180726,"east",NA,0,0,NA
"benning","e1",20180726,"south",NA,0,0,NA
"benning","e1",20180726,"west",NA,0,0,NA
"benning","f1",20180726,"north","cottontail",9,0,NA
"benning","f1",20180726,"east","deer",1,0,NA
"benning","f1",20180726,"south",NA,0,0,NA
"benning","f1",20180726,"west",NA,0,0,NA
"benning","g1",20180728,"north",NA,0,0,NA
"benning","g1",20180728,"east",NA,0,0,NA
"benning","g1",20180728,"south",NA,0,0,NA
"benning","g1",20180728,"west",NA,0,0,NA
"benning","h1",20180728,"north","deer",3,0,NA
"benning","h1",20180728,"east",NA,0,0,NA
"benning","h1",20180728,"south",NA,0,0,NA
"benning","h1",20180728,"west","deer",1,0,NA
"benning","i1",20180727,"north",NA,0,0,NA
"benning","i1",20180727,"east",NA,0,0,NA
"benning","i1",20180727,"south",NA,0,0,NA
"benning","i1",20180727,"west",NA,0,0,NA
"benning","j1",20180727,"north","cottontail",6,0,NA
"benning","j1",20180727,"east","deer",2,0,NA
"benning","j1",20180727,"south",NA,0,0,NA
"benning","j1",20180727,"west","deer",1,0,NA
"jackson","a1",20180709,"north",NA,0,0,NA
"jackson","a1",20180709,"south",NA,0,0,NA
"jackson","a1",20180709,"east",NA,0,0,NA
"jackson","a1",20180709,"west",NA,0,0,NA
"jackson","b1",20180709,"north",NA,0,0,NA
"jackson","b1",20180709,"south",NA,0,0,NA
"jackson","b1",20180709,"east","deer",1,0,NA
"jackson","b1",20180709,"west",NA,0,0,NA
"jackson","c1",20180709,"north",NA,0,0,NA
"jackson","c1",20180709,"south",NA,0,0,NA
"jackson","c1",20180709,"east",NA,0,0,NA
"jackson","c1",20180709,"west",NA,0,0,NA
"jackson","d1",20180709,"north",NA,0,0,NA
"jackson","d1",20180709,"south","deer",1,0,NA
"jackson","d1",20180709,"east",NA,0,0,NA
"jackson","d1",20180709,"west","deer",0,2,NA
"jackson","e1",20180710,"north",NA,0,0,NA
"jackson","e1",20180710,"south",NA,0,0,NA
"jackson","e1",20180710,"east",NA,0,0,NA
"jackson","e1",20180710,"west",NA,0,0,NA
"jackson","f1",20180710,"north",NA,0,0,NA
"jackson","f1",20180710,"south","cottontail",8,0,NA
"jackson","f1",20180710,"east","deer",2,0,NA
"jackson","f1",20180710,"west",NA,0,0,NA
"jackson","g1",20180710,"north","deer",1,2,NA
"jackson","g1",20180710,"south",NA,0,0,NA
"jackson","g1",20180710,"east","deer",1,0,NA
"jackson","g1",20180710,"west","deer",1,0,NA
"jackson","h1",20180712,"north","deer",3,0,NA
"jackson","h1",20180712,"south","deer",1,1,NA
"jackson","h1",20180712,"east","deer",0,1,NA
"jackson","h1",20180712,"west",NA,0,0,NA
"jackson","i1",20180711,"north",NA,0,0,NA
"jackson","i1",20180711,"south",NA,0,0,NA
"jackson","i1",20180711,"east",NA,0,0,NA
"jackson","i1",20180711,"west",NA,0,0,NA
"jackson","j1",20180711,"north",NA,0,0,NA
"jackson","j1",20180711,"south","cottontail",8,0,NA
"jackson","j1",20180711,"east",NA,0,0,NA
"jackson","j1",20180711,"west",NA,0,0,NA
"jackson","k1",20180711,"north",NA,0,0,NA
"jackson","k1",20180711,"south","cottontail",12,0,NA
"jackson","k1",20180711,"east",NA,0,0,NA
"jackson","k1",20180711,"west",NA,0,0,NA
"jackson","l1",20180712,"north",NA,0,0,NA
"jackson","l1",20180712,"south",NA,0,0,NA
"jackson","l1",20180712,"east",NA,0,0,NA
"jackson","l1",20180712,"west","deer",0,1,NA
"jackson","m1",20180712,"north",NA,0,0,NA
"jackson","m1",20180712,"south",NA,0,0,NA
"jackson","m1",20180712,"east",NA,0,0,NA
"jackson","m1",20180712,"west",NA,0,0,NA
"shelby","a1",20180811,"north","deer",8,1,NA
"shelby","a1",20180811,"south",NA,0,0,NA
"shelby","a1",20180811,"east","deer",8,0,NA
"shelby","a1",20180811,"west","deer",3,0,NA
"shelby","a2",20180812,"north","deer",2,4,NA
"shelby","a2",20180812,"south","deer",5,0,NA
"shelby","a2",20180812,"east","deer",5,0,NA
"shelby","a2",20180812,"west","deer",1,0,NA
"shelby","b2",20180815,"north",NA,0,0,NA
"shelby","b2",20180815,"south","deer",1,0,NA
"shelby","b2",20180815,"east",NA,0,0,NA
"shelby","b2",20180815,"west",NA,0,0,NA
"shelby","b3",20180815,"north",NA,0,0,NA
"shelby","b3",20180815,"south",NA,0,0,NA
"shelby","b3",20180815,"east",NA,0,0,NA
"shelby","b3",20180815,"west",NA,0,0,NA
"shelby","c1",20180811,"north",NA,0,0,NA
"shelby","c1",20180811,"south",NA,0,0,NA
"shelby","c1",20180811,"east","deer",5,0,NA
"shelby","c1",20180811,"west","deer",1,1,NA
"shelby","e1",20180812,"north","deer",13,0,NA
"shelby","e1",20180812,"south",NA,0,0,NA
"shelby","e1",20180812,"east","deer",7,3,NA
"shelby","e1",20180812,"east","cottontail",1,0,NA
"shelby","e1",20180812,"west","cottontail",6,8,NA
"shelby","h1",20180813,"north","deer",2,0,NA
"shelby","h1",20180813,"south",NA,0,0,NA
"shelby","h1",20180813,"east",NA,0,0,NA
"shelby","h1",20180813,"west",NA,0,0,NA
"shelby","i1",20180813,"north",NA,0,0,NA
"shelby","i1",20180813,"south","deer",0,1,NA
"shelby","i1",20180813,"east",NA,0,0,NA
"shelby","i1",20180813,"west",NA,0,0,NA
"shelby","j1",20180814,"north","deer",2,0,NA
"shelby","j1",20180814,"south",NA,0,0,NA
"shelby","j1",20180814,"east",NA,0,0,NA
"shelby","j1",20180814,"west",NA,0,0,NA
"shelby","k1",20180814,"north","deer",4,0,NA
"shelby","k1",20180814,"south","deer",1,0,NA
"shelby","k1",20180814,"east","deer",2,0,NA
"shelby","k1",20180814,"west",NA,0,0,NA
"gordon","z1",20180820,"north",NA,0,0,NA
"gordon","z1",20180820,"south",NA,0,0,NA
"gordon","z1",20180820,"east","deer",1,0,NA
"gordon","z1",20180820,"west",NA,0,0,NA
"gordon","y1",20180820,"north","deer",2,0,NA
"gordon","y1",20180820,"south",NA,0,0,NA
"gordon","y1",20180820,"east",NA,0,0,NA
"gordon","y1",20180820,"west",NA,0,0,NA
"gordon","x1",20180820,"north",NA,0,0,NA
"gordon","x1",20180820,"south",NA,0,0,NA
"gordon","x1",20180820,"east",NA,0,0,NA
"gordon","x1",20180820,"west",NA,0,0,NA
"gordon","w1",20180821,"north",NA,0,0,NA
"gordon","w1",20180821,"south",NA,0,0,NA
"gordon","w1",20180821,"east",NA,0,0,NA
"gordon","w1",20180821,"west",NA,0,0,NA
"gordon","v1",20180821,"north",NA,0,0,NA
"gordon","v1",20180821,"south","bear?",1,0,NA
"gordon","v1",20180821,"east",NA,0,0,NA
"gordon","v1",20180821,"west","deer",2,0,NA
"gordon","t1",20180821,"north",NA,0,0,NA
"gordon","t1",20180821,"south",NA,0,0,NA
"gordon","t1",20180821,"east",NA,0,0,NA
"gordon","t1",20180821,"west",NA,0,0,NA
"gordon","s1",20180822,"north",NA,0,0,NA
"gordon","s1",20180822,"south",NA,0,0,NA
"gordon","s1",20180822,"east",NA,0,0,NA
"gordon","s1",20180822,"west",NA,0,0,NA
"gordon","r1",20180822,"north",NA,0,0,NA
"gordon","r1",20180822,"south",NA,0,0,NA
"gordon","r1",20180822,"east",NA,0,0,NA
"gordon","r1",20180822,"west",NA,0,0,NA
