"Order","installation","date","plot_id","transect_id","quadrat_id","veg_id","pct_cover","ht_under50cm","ht50_100cm","ht_over100cm","1cm_wg_stems","Notes","scientific_name","functional_group","Genus","Species","Status","functional_group__1"
52,"blanding",20170425,"c1","south","s3","asob",1,NA,NA,NA,NA,NA,"Asimina obovata","shrub","Asimina","obovata","native","shrub"
53,"blanding",20170425,"c1","south","s3","spiral forb 1:33",5,NA,NA,NA,NA,NA,"-","forb",NA,NA,NA,NA
54,"blanding",20170425,"c1","south","s4","ARST5",15,NA,NA,NA,NA,NA,"Aristida stricta","graminoid","Aristida","stricta","native","graminoid"
55,"blanding",20170425,"c1","south","s4","AN",5,NA,NA,NA,NA,NA,"Andropogon spp","graminoid","Andropogon","spp.","native","graminoid"
56,"blanding",20170425,"c1","south","s4","BAAN",1,NA,NA,NA,NA,NA,"Balduina angustifolia","forb","Balduina","angustifolia","native","forb"
57,"blanding",20170425,"c1","south","s4","qula",5,NA,NA,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
58,"blanding",20170425,"c1","south","s5","ARST5",20,NA,NA,NA,NA,NA,"Aristida stricta","graminoid","Aristida","stricta","native","graminoid"
59,"blanding",20170425,"c1","south","s5","pigr",20,NA,NA,NA,NA,NA,"Pityopsis graminifolia","forb","Pityopsis","graminifolia","native","forb"
60,"blanding",20170425,"c1","east","e1","qula",10,NA,NA,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
61,"blanding",20170425,"c1","east","e1","ARST5",30,NA,NA,NA,NA,NA,"Aristida stricta","graminoid","Aristida","stricta","native","graminoid"
62,"blanding",20170425,"c1","east","e1","pigr",5,NA,NA,NA,NA,NA,"Pityopsis graminifolia","forb","Pityopsis","graminifolia","native","forb"
63,"blanding",20170425,"c1","east","e2","ARST5",40,NA,NA,NA,NA,NA,"Aristida stricta","graminoid","Aristida","stricta","native","graminoid"
64,"blanding",20170425,"c1","east","e2","qula",5,NA,NA,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
65,"blanding",20170425,"c1","east","e2","asob",1,NA,NA,NA,NA,NA,"Asimina obovata","shrub","Asimina","obovata","native","shrub"
66,"blanding",20170425,"c1","east","e2","forb4",0.5,NA,NA,NA,NA,NA,"-","forb",NA,NA,NA,NA
67,"blanding",20170425,"c1","east","e2","pigr",2,NA,NA,NA,NA,NA,"Pityopsis graminifolia","forb","Pityopsis","graminifolia","native","forb"
68,"blanding",20170425,"c1","east","e3","asob",20,NA,NA,NA,NA,NA,"Asimina obovata","shrub","Asimina","obovata","native","shrub"
69,"blanding",20170425,"c1","east","e3","pigr",2,NA,NA,NA,NA,NA,"Pityopsis graminifolia","forb","Pityopsis","graminifolia","native","forb"
70,"blanding",20170425,"c1","east","e3","AN",2,NA,NA,NA,NA,NA,"Andropogon spp","graminoid","Andropogon","spp.","native","graminoid"
71,"blanding",20170425,"c1","east","e3","LIMI",1,NA,NA,NA,NA,NA,"Licania michauxii","shrub","Licania","michauxii","native","shrub"
72,"blanding",20170425,"c1","east","e3","ARST5",10,NA,NA,NA,NA,NA,"Aristida stricta","graminoid","Aristida","stricta","native","graminoid"
73,"blanding",20170425,"c1","east","e4","ARST5",15,NA,NA,NA,NA,NA,"Aristida stricta","graminoid","Aristida","stricta","native","graminoid"
74,"blanding",20170425,"c1","east","e4","DIVI",10,NA,NA,NA,NA,NA,"Diospyros virginiana","tree","Diospyros","virginiana","native","tree"
75,"blanding",20170425,"c1","east","e4","smilax",2,NA,NA,NA,NA,NA,"Smilax auriculata","vine",NA,NA,NA,NA
76,"blanding",20170425,"c1","east","e4","pigr",3,NA,NA,NA,NA,NA,"Pityopsis graminifolia","forb","Pityopsis","graminifolia","native","forb"
77,"blanding",20170425,"c1","east","e4","asob",1,NA,NA,NA,NA,NA,"Asimina obovata","shrub","Asimina","obovata","native","shrub"
78,"blanding",20170425,"c1","east","e4","OPHU",1,NA,NA,NA,NA,NA,"Opuntia humifusa","shrub","Opuntia","humisfusa","native","shrub"
79,"blanding",20170425,"c1","east","e5","qula",2,NA,NA,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
80,"blanding",20170425,"c1","east","e5","ARST5",5,NA,NA,NA,NA,NA,"Aristida stricta","graminoid","Aristida","stricta","native","graminoid"
81,"blanding",20170425,"c1","east","e5","pigr",5,NA,NA,NA,NA,NA,"Pityopsis graminifolia","forb","Pityopsis","graminifolia","native","forb"
82,"blanding",20170425,"c1","east","e5","forb5",0.5,NA,NA,NA,NA,NA,"-","forb",NA,NA,NA,NA
83,"blanding",20170428,"bland02","north","n1","ARST5",40,NA,NA,NA,NA,NA,"Aristida stricta","graminoid","Aristida","stricta","native","graminoid"
84,"blanding",20170428,"bland02","north","n1","qula",10,NA,NA,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
85,"blanding",20170428,"bland02","north","n1","AN",2,NA,NA,NA,NA,NA,"Andropogon spp","graminoid","Andropogon","spp.","native","graminoid"
86,"blanding",20170428,"bland02","north","n1","DIVI",0.5,NA,NA,NA,NA,NA,"Diospyros virginiana","tree","Diospyros","virginiana","native","tree"
87,"blanding",20170428,"bland02","north","n2","smilax",2,NA,NA,NA,NA,NA,"Smilax auriculata","vine",NA,NA,NA,NA
88,"blanding",20170428,"bland02","north","n2","qula",10,NA,NA,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
89,"blanding",20170428,"bland02","north","n2","pigr",2,NA,NA,NA,NA,NA,"Pityopsis graminifolia","forb","Pityopsis","graminifolia","native","forb"
90,"blanding",20170428,"bland02","north","n2","ARST5",10,NA,NA,NA,NA,NA,"Aristida stricta","graminoid","Aristida","stricta","native","graminoid"
91,"blanding",20170428,"bland02","north","n2","LIMI",0.5,NA,NA,NA,NA,NA,"Licania michauxii","shrub","Licania","michauxii","native","shrub"
92,"blanding",20170428,"bland02","north","n3","ARST5",35,NA,NA,NA,NA,NA,"Aristida stricta","graminoid","Aristida","stricta","native","graminoid"
93,"blanding",20170428,"bland02","north","n3","LIMI",2,NA,NA,NA,NA,NA,"Licania michauxii","shrub","Licania","michauxii","native","shrub"
94,"blanding",20170428,"bland02","north","n3","pigr",1,NA,NA,NA,NA,NA,"Pityopsis graminifolia","forb","Pityopsis","graminifolia","native","forb"
95,"blanding",20170428,"bland02","north","n4","quvi",60,NA,NA,NA,NA,NA,"Quercus geminata","tree","Quercus","virginiana","native","tree"
96,"blanding",20170428,"bland02","north","n5","quvi",90,NA,NA,NA,NA,NA,"Quercus geminata","tree","Quercus","virginiana","native","tree"
97,"blanding",20170428,"bland02","south","s1","ARST5",35,NA,NA,NA,NA,NA,"Aristida stricta","graminoid","Aristida","stricta","native","graminoid"
98,"blanding",20170428,"bland02","south","s1","asob",5,NA,NA,NA,NA,NA,"Asimina obovata","shrub","Asimina","obovata","native","shrub"
99,"blanding",20170428,"bland02","south","s1","LIMI",0.5,NA,NA,NA,NA,NA,"Licania michauxii","shrub","Licania","michauxii","native","shrub"
100,"blanding",20170428,"bland02","south","s2","pipa",20,NA,NA,NA,NA,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
101,"blanding",20170428,"bland02","south","s2","pigr",3,NA,NA,NA,NA,NA,"Pityopsis graminifolia","forb","Pityopsis","graminifolia","native","forb"
102,"blanding",20170428,"bland02","south","s2","ARST5",15,NA,NA,NA,NA,NA,"Aristida stricta","graminoid","Aristida","stricta","native","graminoid"
103,"blanding",20170428,"bland02","south","s3","ARST5",7,NA,NA,NA,NA,NA,"Aristida stricta","graminoid","Aristida","stricta","native","graminoid"
104,"blanding",20170428,"bland02","south","s3","pigr",5,NA,NA,NA,NA,NA,"Pityopsis graminifolia","forb","Pityopsis","graminifolia","native","forb"
105,"blanding",20170428,"bland02","south","s3","AN",5,NA,NA,NA,NA,NA,"Andropogon spp","graminoid","Andropogon","spp.","native","graminoid"
106,"blanding",20170428,"bland02","south","s3","qula",5,NA,NA,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
107,"blanding",20170428,"bland02","south","s4","ARST5",45,NA,NA,NA,NA,NA,"Aristida stricta","graminoid","Aristida","stricta","native","graminoid"
108,"blanding",20170428,"bland02","south","s4","pigr",2,NA,NA,NA,NA,NA,"Pityopsis graminifolia","forb","Pityopsis","graminifolia","native","forb"
109,"blanding",20170428,"bland02","south","s4","qula",2,NA,NA,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
110,"blanding",20170428,"bland02","south","s5","qula",55,NA,NA,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
111,"blanding",20170428,"bland02","south","s5","pigr",0.5,NA,NA,NA,NA,NA,"Pityopsis graminifolia","forb","Pityopsis","graminifolia","native","forb"
112,"blanding",20170428,"bland02","south","s5","unkforb 11:46",0.5,NA,NA,NA,NA,NA,"-","forb",NA,NA,NA,NA
113,"blanding",20170428,"bland02","south","s5","ARST5",5,NA,NA,NA,NA,NA,"Aristida stricta","graminoid","Aristida","stricta","native","graminoid"
114,"blanding",20170428,"bland02","east","e1","pipa",10,NA,NA,NA,NA,NA,"Pinus palustris","tree","Pinus","palustris","native","tree"
115,"blanding",20170428,"bland02","east","e1","qula",10,NA,NA,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
116,"blanding",20170428,"bland02","east","e1","ARST5",30,NA,NA,NA,NA,NA,"Aristida stricta","graminoid","Aristida","stricta","native","graminoid"
117,"blanding",20170428,"bland02","east","e1","pigr",2,NA,NA,NA,NA,NA,"Pityopsis graminifolia","forb","Pityopsis","graminifolia","native","forb"
118,"blanding",20170428,"bland02","east","e1","AN",0.5,NA,NA,NA,NA,NA,"Andropogon spp","graminoid","Andropogon","spp.","native","graminoid"
119,"blanding",20170428,"bland02","east","e2","ARST5",35,NA,NA,NA,NA,NA,"Aristida stricta","graminoid","Aristida","stricta","native","graminoid"
120,"blanding",20170428,"bland02","east","e2","asob",4,NA,NA,NA,NA,NA,"Asimina obovata","shrub","Asimina","obovata","native","shrub"
121,"blanding",20170428,"bland02","east","e2","pigr",1,NA,NA,NA,NA,NA,"Pityopsis graminifolia","forb","Pityopsis","graminifolia","native","forb"
122,"blanding",20170428,"bland02","east","e3","quvi",20,NA,NA,NA,NA,NA,"Quercus geminata","tree","Quercus","virginiana","native","tree"
123,"blanding",20170428,"bland02","east","e3","qula",10,NA,NA,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
124,"blanding",20170428,"bland02","east","e3","ARST5",2,NA,NA,NA,NA,NA,"Aristida stricta","graminoid","Aristida","stricta","native","graminoid"
125,"blanding",20170428,"bland02","east","e4","qula",5,NA,NA,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
126,"blanding",20170428,"bland02","east","e4","asob",3,NA,NA,NA,NA,NA,"Asimina obovata","shrub","Asimina","obovata","native","shrub"
127,"blanding",20170428,"bland02","east","e4","ARST5",30,NA,NA,NA,NA,NA,"Aristida stricta","graminoid","Aristida","stricta","native","graminoid"
128,"blanding",20170428,"bland02","east","e4","quvi",2,NA,NA,NA,NA,NA,"Quercus geminata","tree","Quercus","virginiana","native","tree"
129,"blanding",20170428,"bland02","east","e4","smilax",0.5,NA,NA,NA,NA,NA,"Smilax auriculata","vine",NA,NA,NA,NA
130,"blanding",20170428,"bland02","east","e4","pigr",2,NA,NA,NA,NA,NA,"Pityopsis graminifolia","forb","Pityopsis","graminifolia","native","forb"
131,"blanding",20170428,"bland02","east","e5","qula",3,NA,NA,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
132,"blanding",20170428,"bland02","east","e5","asob",0.5,NA,NA,NA,NA,NA,"Asimina obovata","shrub","Asimina","obovata","native","shrub"
133,"blanding",20170428,"bland02","east","e5","ERTO",2,NA,NA,NA,NA,"elephantopus-red","Eriogonum tomentosum","forb","Eriogonum","tomentosum","native","forb"
134,"blanding",20170428,"bland02","east","e5","pigr",1,NA,NA,NA,NA,NA,"Pityopsis graminifolia","forb","Pityopsis","graminifolia","native","forb"
135,"blanding",20170428,"bland02","east","e5","ARST5",5,NA,NA,NA,NA,NA,"Aristida stricta","graminoid","Aristida","stricta","native","graminoid"
136,"blanding",20170428,"bland02","east","w1","MIPI",1,NA,NA,NA,NA,NA,"Mimosa pigra","forb","Mimosa","pigra","invasive","shrub"
137,"blanding",20170428,"bland02","east","w1","qula",25,NA,NA,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
138,"blanding",20170428,"bland02","east","w1","ARST5",5,NA,NA,NA,NA,NA,"Aristida stricta","graminoid","Aristida","stricta","native","graminoid"
139,"blanding",20170428,"bland02","east","w1","pigr",1,NA,NA,NA,NA,NA,"Pityopsis graminifolia","forb","Pityopsis","graminifolia","native","forb"
140,"blanding",20170428,"bland02","east","w1","DIVI",5,NA,NA,NA,NA,NA,"Diospyros virginiana","tree","Diospyros","virginiana","native","tree"
141,"blanding",20170428,"bland02","east","w1","AN",0.5,NA,NA,NA,NA,NA,"Andropogon spp","graminoid","Andropogon","spp.","native","graminoid"
142,"blanding",20170428,"bland02","east","w2","qula",10,NA,NA,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
143,"blanding",20170428,"bland02","east","w2","DIVI",4,NA,NA,NA,NA,NA,"Diospyros virginiana","tree","Diospyros","virginiana","native","tree"
144,"blanding",20170428,"bland02","east","w2","pigr",3,NA,NA,NA,NA,NA,"Pityopsis graminifolia","forb","Pityopsis","graminifolia","native","forb"
145,"blanding",20170428,"bland02","east","w2","ARST5",4,NA,NA,NA,NA,NA,"Aristida stricta","graminoid","Aristida","stricta","native","graminoid"
146,"blanding",20170428,"bland02","east","w2","MIPI",0.5,NA,NA,NA,NA,NA,"Mimosa pigra","forb","Mimosa","pigra","invasive","shrub"
147,"blanding",20170428,"bland02","east","w2","AN",0.5,NA,NA,NA,NA,NA,"Andropogon spp","graminoid","Andropogon","spp.","native","graminoid"
148,"blanding",20170428,"bland02","east","w2","asob",0.5,NA,NA,NA,NA,NA,"Asimina obovata","shrub","Asimina","obovata","native","shrub"
149,"blanding",20170428,"bland02","east","w3","LIMI",2,NA,NA,NA,NA,NA,"Licania michauxii","shrub","Licania","michauxii","native","shrub"
150,"blanding",20170428,"bland02","east","w3","ARST5",35,NA,NA,NA,NA,NA,"Aristida stricta","graminoid","Aristida","stricta","native","graminoid"
151,"blanding",20170428,"bland02","east","w3","pigr",3,NA,NA,NA,NA,NA,"Pityopsis graminifolia","forb","Pityopsis","graminifolia","native","forb"
152,"blanding",20170428,"bland02","east","w4","pigr",5,NA,NA,NA,NA,NA,"aa","forb","Pityopsis","graminifolia","native","forb"
153,"blanding",20170428,"bland02","east","w4","qula",5,NA,NA,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
154,"blanding",20170428,"bland02","east","w4","ARST5",10,NA,NA,NA,NA,NA,"Aristida stricta","graminoid","Aristida","stricta","native","graminoid"
155,"blanding",20170428,"bland02","east","w5","pigr",5,NA,NA,NA,NA,NA,"Pityopsis graminifolia","forb","Pityopsis","graminifolia","native","forb"
156,"blanding",20170428,"bland02","east","w5","ARST5",20,NA,NA,NA,NA,NA,"Aristida stricta","graminoid","Aristida","stricta","native","graminoid"
157,"blanding",20170428,"bland02","east","w5","AN",0.5,NA,NA,NA,NA,NA,"Andropogon spp","graminoid","Andropogon","spp.","native","graminoid"
158,"blanding",20170427,"bland03","east","e1","ARST5",5,NA,NA,NA,NA,NA,"Aristida stricta","graminoid","Aristida","stricta","native","graminoid"
159,"blanding",20170427,"bland03","east","e1","LIMI",1,NA,NA,NA,NA,NA,"Licania michauxii","shrub","Licania","michauxii","native","shrub"
160,"blanding",20170427,"bland03","east","e1","DIVI",0.5,NA,NA,NA,NA,NA,"Diospyros virginiana","tree","Diospyros","virginiana","native","tree"
161,"blanding",20170427,"bland03","east","e1","smilax",0.5,NA,NA,NA,NA,NA,"Smilax auriculata","vine",NA,NA,NA,NA
162,"blanding",20170427,"bland03","east","e2","qula",20,NA,NA,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
163,"blanding",20170427,"bland03","east","e2","ARST5",10,NA,NA,NA,NA,NA,"Aristida stricta","graminoid","Aristida","stricta","native","graminoid"
164,"blanding",20170427,"bland03","east","e2","pigr",0.5,NA,NA,NA,NA,NA,"Pityopsis graminifolia","forb","Pityopsis","graminifolia","native","forb"
165,"blanding",20170427,"bland03","east","e2","unkforb 3:57",0.5,NA,NA,NA,NA,NA,"-","forb",NA,NA,NA,NA
166,"blanding",20170427,"bland03","east","e3","ARST5",20,NA,NA,NA,NA,NA,"Aristida stricta","graminoid","Aristida","stricta","native","graminoid"
167,"blanding",20170427,"bland03","east","e3","pigr",0.5,NA,NA,NA,NA,NA,"Pityopsis graminifolia","forb","Pityopsis","graminifolia","native","forb"
168,"blanding",20170427,"bland03","east","e3","LIMI",25,NA,NA,NA,NA,NA,"Licania michauxii","shrub","Licania","michauxii","native","shrub"
169,"blanding",20170427,"bland03","east","e3","CNUR",0.5,NA,NA,NA,NA,NA,"Cnidoscolus stimulosus","forb","Cnidoscolus","urens","native","forb"
170,"blanding",20170427,"bland03","east","e4","DIVI",5,NA,NA,NA,NA,NA,"Diospyros virginiana","tree","Diospyros","virginiana","native","tree"
171,"blanding",20170427,"bland03","east","e4","qula",10,NA,NA,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
172,"blanding",20170427,"bland03","east","e4","ARST5",4,NA,NA,NA,NA,NA,"Aristida stricta","graminoid","Aristida","stricta","native","graminoid"
173,"blanding",20170427,"bland03","east","e4","ELEL",0.5,NA,NA,NA,NA,NA,"Elephantopus elatus","forb","Elephantopus","elatus","native","forb"
174,"blanding",20170427,"bland03","east","e4","unkforb 4:11",0.5,NA,NA,NA,NA,NA,"-","forb",NA,NA,NA,NA
175,"blanding",20170427,"bland03","east","e5","pigr",1,NA,NA,NA,NA,NA,"Pityopsis graminifolia","forb","Pityopsis","graminifolia","native","forb"
176,"blanding",20170427,"bland03","east","e5","LIMI",5,NA,NA,NA,NA,NA,"Licania michauxii","shrub","Licania","michauxii","native","shrub"
177,"blanding",20170427,"bland03","east","e5","qula",5,NA,NA,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
178,"blanding",20170427,"bland03","east","e5","ARST5",3,NA,NA,NA,NA,NA,"Aristida stricta","graminoid","Aristida","stricta","native","graminoid"
179,"blanding",20170427,"bland03","west","w1","CACO",1,NA,NA,NA,NA,NA,"Carphephorus corymbosus","forb","Carphephorus","corymbosus","native","forb"
180,"blanding",20170427,"bland03","west","w1","DIVI",1,NA,NA,NA,NA,NA,"Diospyros virginiana","tree","Diospyros","virginiana","native","tree"
181,"blanding",20170427,"bland03","west","w1","pigr",0.5,NA,NA,NA,NA,NA,"Pityopsis graminifolia","forb","Pityopsis","graminifolia","native","forb"
182,"blanding",20170427,"bland03","west","w1","AN",1,NA,NA,NA,NA,NA,"Andropogon spp","graminoid","Andropogon","spp.","native","graminoid"
183,"blanding",20170427,"bland03","west","w2","ARST5",1,NA,NA,NA,NA,NA,"Aristida stricta","graminoid","Aristida","stricta","native","graminoid"
184,"blanding",20170427,"bland03","west","w2","DIVI",0.5,NA,NA,NA,NA,NA,"Diospyros virginiana","tree","Diospyros","virginiana","native","tree"
185,"blanding",20170427,"bland03","west","w2","pigr",0.5,NA,NA,NA,NA,NA,"Pityopsis graminifolia","forb","Pityopsis","graminifolia","native","forb"
186,"blanding",20170427,"bland03","west","w3","ARST5",15,NA,NA,NA,NA,NA,"Aristida stricta","graminoid","Aristida","stricta","native","graminoid"
187,"blanding",20170427,"bland03","west","w3","pigr",5,NA,NA,NA,NA,NA,"Pityopsis graminifolia","forb","Pityopsis","graminifolia","native","forb"
188,"blanding",20170427,"bland03","west","w3","INHI",0.5,NA,NA,NA,NA,NA,"Indigofera hirsuta","forb","Indigofera","hirsuta","invasive","forb"
189,"blanding",20170427,"bland03","west","w4","qula",25,NA,NA,NA,NA,NA,"Quercus laevis","tree","Quercus","laevis","native","tree"
190,"blanding",20170427,"bland03","west","w4","pigr",2,NA,NA,NA,NA,NA,"Pityopsis graminifolia","forb","Pityopsis","graminifolia","native","forb"
