date,status,logger_id,minutes_above_85,minutes_bw_75_85,minutes_below_75,days
2019-06-21,native,21,840,210,390,9
2019-06-21,native,24,1325,75,40,9
2019-06-22,invaded,03,1425,15,NA,10
2019-06-22,invaded,06,1440,NA,NA,10
2019-06-22,invaded,07,1440,NA,NA,10
2019-06-22,invaded,11,1440,NA,NA,10
2019-06-22,invaded,15,1440,NA,NA,10
2019-06-22,invaded,16,1440,NA,NA,10
2019-06-22,invaded,20,1440,NA,NA,10
2019-06-22,invaded,23,1440,NA,NA,10
2019-06-22,native,01,1180,260,NA,10
2019-06-22,native,02,95,420,920,10
2019-06-22,native,04,1e3,225,215,10
2019-06-22,native,05,285,525,630,10
2019-06-22,native,10,780,185,475,10
2019-06-22,native,12,1245,185,5,10
2019-06-22,native,21,880,310,250,10
2019-06-22,native,24,1255,145,40,10
2019-06-23,invaded,03,985,290,160,11
2019-06-23,invaded,06,1315,125,NA,11
2019-06-23,invaded,07,1410,25,NA,11
2019-06-23,invaded,11,1440,NA,NA,11
2019-06-23,invaded,15,1405,35,NA,11
2019-06-23,invaded,16,1435,5,NA,11
2019-06-23,invaded,20,1440,NA,NA,11
2019-06-23,invaded,23,1440,NA,NA,11
2019-06-23,native,01,865,475,95,11
2019-06-23,native,02,200,375,865,11
2019-06-23,native,04,930,180,330,11
2019-06-23,native,05,235,600,605,11
2019-06-23,native,10,715,160,565,11
2019-06-23,native,12,945,250,245,11
2019-06-23,native,21,735,145,560,11
2019-06-23,native,24,1220,130,90,11
2019-06-24,invaded,03,1030,150,260,12
2019-06-24,invaded,06,1170,270,NA,12
2019-06-24,invaded,07,1190,250,NA,12
2019-06-24,invaded,11,1440,NA,NA,12
2019-06-24,invaded,15,1370,70,NA,12
2019-06-24,invaded,16,1355,85,NA,12
2019-06-24,invaded,20,1440,NA,NA,12
2019-06-24,invaded,23,1440,NA,NA,12
2019-06-24,native,01,895,400,145,12
2019-06-24,native,02,50,210,1180,12
2019-06-24,native,04,895,150,395,12
2019-06-24,native,05,190,505,745,12
2019-06-24,native,10,740,130,570,12
2019-06-24,native,12,850,225,365,12
2019-06-24,native,21,700,185,555,12
2019-06-24,native,24,1105,160,175,12
2019-06-25,invaded,03,1110,240,90,13
2019-06-25,invaded,06,1265,175,NA,13
2019-06-25,invaded,07,1150,285,NA,13
2019-06-25,invaded,11,1435,5,NA,13
2019-06-25,invaded,15,1275,165,NA,13
2019-06-25,invaded,16,1100,340,NA,13
2019-06-25,invaded,20,1440,NA,NA,13
2019-06-25,invaded,23,1440,NA,NA,13
2019-06-25,native,01,865,320,255,13
2019-06-25,native,02,30,225,1185,13
2019-06-25,native,04,850,225,365,13
2019-06-25,native,05,220,565,655,13
2019-06-25,native,10,720,120,600,13
2019-06-25,native,12,850,395,195,13
2019-06-25,native,21,660,245,535,13
2019-06-25,native,24,1160,165,115,13
2019-06-26,invaded,03,835,220,385,14
2019-06-26,invaded,06,1065,170,205,14
2019-06-26,invaded,07,1100,245,95,14
2019-06-26,invaded,11,1260,180,NA,14
2019-06-26,invaded,15,1255,185,NA,14
2019-06-26,invaded,16,995,390,55,14
2019-06-26,invaded,20,1440,NA,NA,14
2019-06-26,invaded,23,1440,NA,NA,14
2019-06-26,native,01,930,320,190,14
2019-06-26,native,02,230,200,1010,14
2019-06-26,native,04,800,160,480,14
2019-06-26,native,05,125,475,840,14
2019-06-26,native,10,820,160,460,14
2019-06-26,native,12,685,265,490,14
2019-06-26,native,21,720,200,520,14
2019-06-26,native,24,960,240,240,14
2019-06-27,invaded,03,1025,380,30,15
2019-06-27,invaded,06,1440,NA,NA,15
2019-06-27,invaded,07,1440,NA,NA,15
2019-06-27,invaded,11,1155,280,5,15
2019-06-27,invaded,15,1440,NA,NA,15
2019-06-27,invaded,16,875,365,200,15
2019-06-27,invaded,20,1440,NA,NA,15
2019-06-27,invaded,23,1440,NA,NA,15
2019-06-27,native,01,570,165,705,15
2019-06-27,native,02,490,605,345,15
2019-06-27,native,04,720,195,525,15
2019-06-27,native,05,135,555,745,15
2019-06-27,native,10,675,140,625,15
2019-06-27,native,12,1350,90,NA,15
2019-06-27,native,21,700,145,595,15
2019-06-27,native,24,785,260,395,15
2019-06-28,invaded,03,700,275,465,16
2019-06-28,invaded,06,1440,NA,NA,16
2019-06-28,invaded,07,1295,145,NA,16
2019-06-28,invaded,11,1230,210,NA,16
2019-06-28,invaded,15,1440,NA,NA,16
2019-06-28,invaded,16,1185,175,80,16
2019-06-28,invaded,20,1440,NA,NA,16
2019-06-28,invaded,23,1440,NA,NA,16
2019-06-28,native,01,1070,75,295,16
2019-06-28,native,02,210,385,845,16
2019-06-28,native,04,885,75,480,16
2019-06-28,native,05,45,240,1155,16
2019-06-28,native,10,1130,45,265,16
2019-06-28,native,12,1025,325,90,16
2019-06-28,native,21,1150,70,220,16
2019-06-28,native,24,820,315,305,16
2019-06-29,invaded,03,1440,NA,NA,17
2019-06-29,invaded,06,1440,NA,NA,17
2019-06-29,invaded,07,1440,NA,NA,17
2019-06-29,invaded,11,1440,NA,NA,17
2019-06-29,invaded,15,1440,NA,NA,17
2019-06-29,invaded,16,1440,NA,NA,17
2019-06-29,invaded,20,1440,NA,NA,17
2019-06-29,invaded,23,1440,NA,NA,17
2019-06-29,native,01,1285,155,NA,17
2019-06-29,native,02,105,360,970,17
2019-06-29,native,04,1270,170,NA,17
2019-06-29,native,10,1280,105,55,17
2019-06-29,native,12,1420,20,NA,17
2019-06-29,native,21,1440,NA,NA,17
2019-06-29,native,24,880,340,220,17
2019-06-30,invaded,03,1115,325,NA,18
2019-06-30,invaded,06,1440,NA,NA,18
2019-06-30,invaded,07,1440,NA,NA,18
2019-06-30,invaded,11,1440,NA,NA,18
2019-06-30,invaded,15,1440,NA,NA,18
2019-06-30,invaded,16,1440,NA,NA,18
2019-06-30,invaded,20,1440,NA,NA,18
2019-06-30,invaded,23,1440,NA,NA,18
2019-06-30,native,01,890,425,125,18
2019-06-30,native,02,120,685,630,18
2019-06-30,native,04,1030,250,160,18
2019-06-30,native,05,110,705,620,18
2019-06-30,native,10,905,215,320,18
2019-06-30,native,12,1070,370,NA,18
2019-06-30,native,21,1440,NA,NA,18
2019-06-30,native,24,920,305,215,18
2019-07-01,invaded,03,840,220,380,19
2019-07-01,invaded,06,1245,195,NA,19
2019-07-01,invaded,07,1440,NA,NA,19
2019-07-01,invaded,11,1440,NA,NA,19
2019-07-01,invaded,15,1440,NA,NA,19
2019-07-01,invaded,16,1440,NA,NA,19
2019-07-01,invaded,20,1440,NA,NA,19
2019-07-01,invaded,23,1440,NA,NA,19
2019-07-01,native,01,660,165,615,19
2019-07-01,native,02,275,235,930,19
2019-07-01,native,04,1195,215,30,19
2019-07-01,native,10,750,160,530,19
2019-07-01,native,12,945,185,310,19
2019-07-01,native,21,920,270,245,19
2019-07-01,native,24,870,265,305,19
2019-07-02,invaded,03,760,245,435,20
2019-07-02,invaded,06,1235,115,90,20
2019-07-02,invaded,07,1440,NA,NA,20
2019-07-02,invaded,11,1440,NA,NA,20
2019-07-02,invaded,15,1440,NA,NA,20
2019-07-02,invaded,16,1440,NA,NA,20
2019-07-02,invaded,20,1440,NA,NA,20
2019-07-02,invaded,23,1440,NA,NA,20
2019-07-02,native,01,915,325,200,20
2019-07-02,native,02,285,645,510,20
2019-07-02,native,04,1075,210,155,20
2019-07-02,native,10,830,230,380,20
2019-07-02,native,12,900,250,290,20
2019-07-02,native,21,990,305,145,20
2019-07-02,native,24,855,250,335,20
2019-07-03,invaded,03,725,275,440,21
2019-07-03,invaded,06,1190,210,40,21
2019-07-03,invaded,07,1415,25,NA,21
2019-07-03,invaded,11,1440,NA,NA,21
2019-07-03,invaded,15,1425,15,NA,21
2019-07-03,invaded,16,1265,170,NA,21
2019-07-03,invaded,20,1440,NA,NA,21
2019-07-03,invaded,23,1405,35,NA,21
2019-07-03,native,01,965,275,200,21
2019-07-03,native,02,515,500,425,21
2019-07-03,native,04,1e3,165,275,21
2019-07-03,native,05,190,750,500,21
2019-07-03,native,10,835,120,485,21
2019-07-03,native,12,850,275,315,21
2019-07-03,native,21,915,175,350,21
2019-07-03,native,24,805,270,365,21
2019-07-04,invaded,03,760,155,525,22
2019-07-04,invaded,06,1080,280,80,22
2019-07-04,invaded,07,1440,NA,NA,22
2019-07-04,invaded,11,1420,20,NA,22
2019-07-04,invaded,15,1440,NA,NA,22
2019-07-04,invaded,16,1440,NA,NA,22
2019-07-04,invaded,20,1440,NA,NA,22
2019-07-04,invaded,23,1435,5,NA,22
2019-07-04,native,01,1105,250,85,22
2019-07-04,native,02,235,705,500,22
2019-07-04,native,04,1125,120,195,22
2019-07-04,native,05,225,345,870,22
2019-07-04,native,10,865,215,360,22
2019-07-04,native,12,875,120,445,22
2019-07-04,native,21,1440,NA,NA,22
2019-07-04,native,24,1055,165,220,22
2019-07-05,invaded,03,1440,NA,NA,23
2019-07-05,invaded,06,1440,NA,NA,23
2019-07-05,invaded,07,1440,NA,NA,23
2019-07-05,invaded,11,1440,NA,NA,23
2019-07-05,invaded,15,1355,85,NA,23
2019-07-05,invaded,16,1330,110,NA,23
2019-07-05,invaded,20,1440,NA,NA,23
2019-07-05,invaded,23,1440,NA,NA,23
2019-07-05,native,01,1055,160,225,23
2019-07-05,native,02,115,1075,250,23
2019-07-05,native,04,1440,NA,NA,23
2019-07-05,native,05,115,460,860,23
2019-07-05,native,10,980,75,385,23
2019-07-05,native,12,1440,NA,NA,23
2019-07-05,native,21,1160,130,150,23
2019-07-05,native,24,1440,NA,NA,23
2019-07-06,invaded,03,1440,NA,NA,24
2019-07-06,invaded,06,1440,NA,NA,24
2019-07-06,invaded,07,1440,NA,NA,24
2019-07-06,invaded,11,1440,NA,NA,24
2019-07-06,invaded,15,1440,NA,NA,24
2019-07-06,invaded,16,1435,5,NA,24
2019-07-06,invaded,20,1440,NA,NA,24
2019-07-06,invaded,23,1440,NA,NA,24
2019-07-06,native,01,1140,175,125,24
2019-07-06,native,04,1440,NA,NA,24
2019-07-06,native,10,1085,100,255,24
2019-07-06,native,12,1440,NA,NA,24
2019-07-06,native,21,1440,NA,NA,24
2019-07-06,native,24,1440,NA,NA,24
2019-07-07,invaded,03,1440,NA,NA,25
2019-07-07,invaded,06,1440,NA,NA,25
2019-07-07,invaded,07,1440,NA,NA,25
2019-07-07,invaded,11,1440,NA,NA,25
2019-07-07,invaded,15,1440,NA,NA,25
2019-07-07,invaded,16,1440,NA,NA,25
2019-07-07,invaded,20,1440,NA,NA,25
2019-07-07,invaded,23,1440,NA,NA,25
2019-07-07,native,01,1440,NA,NA,25
2019-07-07,native,02,165,870,405,25
2019-07-07,native,04,1440,NA,NA,25
2019-07-07,native,05,175,940,325,25
2019-07-07,native,10,1360,65,15,25
2019-07-07,native,12,1440,NA,NA,25
2019-07-07,native,21,1440,NA,NA,25
2019-07-07,native,24,930,320,185,25
2019-07-08,invaded,03,1440,NA,NA,26
2019-07-08,invaded,06,1440,NA,NA,26
2019-07-08,invaded,07,1440,NA,NA,26
2019-07-08,invaded,11,1440,NA,NA,26
2019-07-08,invaded,15,1440,NA,NA,26
2019-07-08,invaded,16,1440,NA,NA,26
2019-07-08,invaded,20,1440,NA,NA,26
2019-07-08,invaded,23,1440,NA,NA,26
2019-07-08,native,01,1440,NA,NA,26
2019-07-08,native,02,95,595,750,26
2019-07-08,native,04,1265,175,NA,26
2019-07-08,native,05,520,460,460,26
2019-07-08,native,10,1020,280,135,26
2019-07-08,native,12,1420,20,NA,26
2019-07-08,native,21,1440,NA,NA,26
2019-07-08,native,24,1245,130,65,26
2019-07-09,invaded,03,1435,5,NA,27
2019-07-09,invaded,06,1440,NA,NA,27
2019-07-09,invaded,07,1440,NA,NA,27
2019-07-09,invaded,11,1440,NA,NA,27
2019-07-09,invaded,15,1440,NA,NA,27
2019-07-09,invaded,16,1440,NA,NA,27
2019-07-09,invaded,20,1440,NA,NA,27
2019-07-09,invaded,23,1440,NA,NA,27
2019-07-09,native,01,1440,NA,NA,27
2019-07-09,native,02,205,805,430,27
2019-07-09,native,04,1330,110,NA,27
2019-07-09,native,05,380,395,660,27
2019-07-09,native,10,1380,60,NA,27
2019-07-09,native,12,1430,10,NA,27
2019-07-09,native,21,1440,NA,NA,27
2019-07-09,native,24,1305,100,30,27
2019-07-10,invaded,03,1430,10,NA,28
2019-07-10,invaded,06,1440,NA,NA,28
2019-07-10,invaded,07,1440,NA,NA,28
2019-07-10,invaded,11,1440,NA,NA,28
2019-07-10,invaded,15,1440,NA,NA,28
2019-07-10,invaded,16,1440,NA,NA,28
2019-07-10,invaded,20,1440,NA,NA,28
2019-07-10,invaded,23,1440,NA,NA,28
2019-07-10,native,01,940,495,5,28
2019-07-10,native,02,100,1e3,340,28
2019-07-10,native,04,1115,265,60,28
2019-07-10,native,05,465,370,605,28
2019-07-10,native,10,890,320,230,28
2019-07-10,native,12,1440,NA,NA,28
2019-07-10,native,21,1280,160,NA,28
2019-07-10,native,24,1355,80,5,28
2019-07-11,invaded,03,1440,NA,NA,29
2019-07-11,invaded,06,1440,NA,NA,29
2019-07-11,invaded,07,1440,NA,NA,29
2019-07-11,invaded,11,1440,NA,NA,29
2019-07-11,invaded,15,1440,NA,NA,29
2019-07-11,invaded,16,1440,NA,NA,29
2019-07-11,invaded,20,1440,NA,NA,29
2019-07-11,invaded,23,1440,NA,NA,29
2019-07-11,native,01,1285,150,NA,29
2019-07-11,native,02,140,1010,290,29
2019-07-11,native,04,1175,150,115,29
2019-07-11,native,05,135,380,925,29
2019-07-11,native,10,1135,210,95,29
2019-07-11,native,12,1440,NA,NA,29
2019-07-11,native,21,1440,NA,NA,29
2019-07-11,native,24,1255,175,10,29
2019-07-12,invaded,03,1440,NA,NA,30
2019-07-12,invaded,06,1440,NA,NA,30
2019-07-12,invaded,07,1440,NA,NA,30
2019-07-12,invaded,11,1440,NA,NA,30
2019-07-12,invaded,15,1440,NA,NA,30
2019-07-12,invaded,16,1440,NA,NA,30
2019-07-12,invaded,20,1440,NA,NA,30
2019-07-12,invaded,23,1440,NA,NA,30
2019-07-12,native,01,1245,195,NA,30
2019-07-12,native,02,145,1225,70,30
2019-07-12,native,04,1425,15,NA,30
2019-07-12,native,10,945,425,70,30
2019-07-12,native,12,1435,5,NA,30
2019-07-12,native,21,1415,25,NA,30
2019-07-12,native,24,1435,5,NA,30
2019-07-13,invaded,03,1440,NA,NA,31
2019-07-13,invaded,06,1440,NA,NA,31
2019-07-13,invaded,07,1440,NA,NA,31
2019-07-13,invaded,11,1440,NA,NA,31
2019-07-13,invaded,15,1440,NA,NA,31
2019-07-13,invaded,16,1410,30,NA,31
2019-07-13,invaded,20,1440,NA,NA,31
2019-07-13,invaded,23,1440,NA,NA,31
2019-07-13,native,01,1125,285,25,31
2019-07-13,native,02,370,1e3,65,31
2019-07-13,native,04,1295,145,NA,31
2019-07-13,native,10,890,210,340,31
2019-07-13,native,12,1440,NA,NA,31
2019-07-13,native,21,1310,125,NA,31
2019-07-13,native,24,1440,NA,NA,31
2019-07-14,invaded,03,1415,25,NA,32
2019-07-14,invaded,06,1440,NA,NA,32
2019-07-14,invaded,07,1440,NA,NA,32
2019-07-14,invaded,11,1440,NA,NA,32
2019-07-14,invaded,15,1440,NA,NA,32
2019-07-14,invaded,16,1195,240,5,32
2019-07-14,invaded,20,1440,NA,NA,32
2019-07-14,invaded,23,1440,NA,NA,32
2019-07-14,native,01,675,425,340,32
2019-07-14,native,02,215,1070,155,32
2019-07-14,native,04,1010,240,190,32
2019-07-14,native,05,80,730,630,32
2019-07-14,native,10,705,175,560,32
2019-07-14,native,12,1215,215,10,32
2019-07-14,native,21,955,185,300,32
2019-07-14,native,24,1265,110,65,32
2019-07-15,invaded,03,1365,75,NA,33
2019-07-15,invaded,06,1440,NA,NA,33
2019-07-15,invaded,07,1440,NA,NA,33
2019-07-15,invaded,11,1440,NA,NA,33
2019-07-15,invaded,15,1440,NA,NA,33
2019-07-15,invaded,16,1350,90,NA,33
2019-07-15,invaded,20,1440,NA,NA,33
2019-07-15,invaded,23,1440,NA,NA,33
2019-07-15,native,01,1120,95,225,33
2019-07-15,native,02,305,880,255,33
2019-07-15,native,04,935,125,380,33
2019-07-15,native,05,85,515,840,33
2019-07-15,native,10,915,195,330,33
2019-07-15,native,12,1020,280,140,33
2019-07-15,native,21,1010,345,85,33
2019-07-15,native,24,1235,90,115,33
2019-07-16,invaded,03,1285,140,15,34
2019-07-16,invaded,06,1420,20,NA,34
2019-07-16,invaded,07,1440,NA,NA,34
2019-07-16,invaded,11,1440,NA,NA,34
2019-07-16,invaded,15,1440,NA,NA,34
2019-07-16,invaded,16,1190,210,40,34
2019-07-16,invaded,20,1440,NA,NA,34
2019-07-16,invaded,23,1440,NA,NA,34
2019-07-16,native,01,1140,280,20,34
2019-07-16,native,02,250,925,265,34
2019-07-16,native,04,965,145,330,34
2019-07-16,native,05,320,545,575,34
2019-07-16,native,10,1035,40,365,34
2019-07-16,native,12,1e3,185,255,34
2019-07-16,native,21,1070,70,300,34
2019-07-16,native,24,1415,25,NA,34
2019-07-17,invaded,03,1355,85,NA,35
2019-07-17,invaded,06,1440,NA,NA,35
2019-07-17,invaded,07,1440,NA,NA,35
2019-07-17,invaded,08,575,545,315,35
2019-07-17,invaded,11,1440,NA,NA,35
2019-07-17,invaded,15,1440,NA,NA,35
2019-07-17,invaded,16,1420,20,NA,35
2019-07-17,invaded,20,1440,NA,NA,35
2019-07-17,invaded,23,1440,NA,NA,35
2019-07-17,native,01,1090,105,245,35
2019-07-17,native,02,335,935,170,35
2019-07-17,native,04,1125,120,195,35
2019-07-17,native,10,1e3,100,340,35
2019-07-17,native,12,1285,155,NA,35
2019-07-17,native,21,1245,135,60,35
2019-07-17,native,24,1440,NA,NA,35
2019-07-18,invaded,03,1290,150,NA,36
2019-07-18,invaded,06,1440,NA,NA,36
2019-07-18,invaded,07,1440,NA,NA,36
2019-07-18,invaded,08,520,920,NA,36
2019-07-18,invaded,11,1440,NA,NA,36
2019-07-18,invaded,15,1440,NA,NA,36
2019-07-18,invaded,16,1440,NA,NA,36
2019-07-18,invaded,20,1440,NA,NA,36
2019-07-18,invaded,23,1440,NA,NA,36
2019-07-18,native,01,1440,NA,NA,36
2019-07-18,native,02,460,795,185,36
2019-07-18,native,04,1250,175,15,36
2019-07-18,native,05,430,585,425,36
2019-07-18,native,10,1385,55,NA,36
2019-07-18,native,12,1360,80,NA,36
2019-07-18,native,21,1440,NA,NA,36
2019-07-18,native,24,1235,195,10,36
2019-07-19,invaded,03,1365,75,NA,37
2019-07-19,invaded,06,1440,NA,NA,37
2019-07-19,invaded,07,1345,95,NA,37
2019-07-19,invaded,11,1440,NA,NA,37
2019-07-19,invaded,15,1440,NA,NA,37
2019-07-19,invaded,16,1440,NA,NA,37
2019-07-19,invaded,20,1440,NA,NA,37
2019-07-19,invaded,23,1440,NA,NA,37
2019-07-19,native,01,1160,280,NA,37
2019-07-19,native,02,705,570,155,37
2019-07-19,native,04,1300,115,25,37
2019-07-19,native,05,125,215,1100,37
2019-07-19,native,10,1e3,185,255,37
2019-07-19,native,12,1340,100,NA,37
2019-07-19,native,21,1435,NA,NA,37
2019-07-19,native,24,1400,40,NA,37
2019-07-20,invaded,03,1440,NA,NA,38
2019-07-20,invaded,06,1440,NA,NA,38
2019-07-20,invaded,07,1440,NA,NA,38
2019-07-20,invaded,08,505,800,120,38
2019-07-20,invaded,11,1440,NA,NA,38
2019-07-20,invaded,15,1440,NA,NA,38
2019-07-20,invaded,16,1440,NA,NA,38
2019-07-20,invaded,20,1440,NA,NA,38
2019-07-20,invaded,23,1440,NA,NA,38
2019-07-20,native,01,1190,150,100,38
2019-07-20,native,02,870,530,40,38
2019-07-20,native,04,1115,275,50,38
2019-07-20,native,05,120,540,775,38
2019-07-20,native,10,1165,95,180,38
2019-07-20,native,12,1440,NA,NA,38
2019-07-20,native,21,1440,NA,NA,38
2019-07-20,native,24,1220,150,70,38
2019-07-21,invaded,03,1440,NA,NA,39
2019-07-21,invaded,06,1440,NA,NA,39
2019-07-21,invaded,07,1440,NA,NA,39
2019-07-21,invaded,08,1050,385,5,39
2019-07-21,invaded,11,1440,NA,NA,39
2019-07-21,invaded,15,1440,NA,NA,39
2019-07-21,invaded,16,1440,NA,NA,39
2019-07-21,invaded,20,1440,NA,NA,39
2019-07-21,invaded,23,1440,NA,NA,39
2019-07-21,native,01,1385,55,NA,39
2019-07-21,native,02,990,385,65,39
2019-07-21,native,04,1375,65,NA,39
2019-07-21,native,05,85,440,915,39
2019-07-21,native,10,1250,170,15,39
2019-07-21,native,12,1225,215,NA,39
2019-07-21,native,21,1440,NA,NA,39
2019-07-21,native,24,1300,140,NA,39
2019-07-22,invaded,03,1440,NA,NA,40
2019-07-22,invaded,06,1440,NA,NA,40
2019-07-22,invaded,07,1440,NA,NA,40
2019-07-22,invaded,08,670,770,NA,40
2019-07-22,invaded,11,1440,NA,NA,40
2019-07-22,invaded,15,1440,NA,NA,40
2019-07-22,invaded,16,1440,NA,NA,40
2019-07-22,invaded,20,1440,NA,NA,40
2019-07-22,invaded,23,1440,NA,NA,40
2019-07-22,native,01,1400,40,NA,40
2019-07-22,native,02,1085,265,90,40
2019-07-22,native,04,1440,NA,NA,40
2019-07-22,native,05,245,470,725,40
2019-07-22,native,10,1290,140,5,40
2019-07-22,native,12,1365,75,NA,40
2019-07-22,native,21,1440,NA,NA,40
2019-07-22,native,24,720,565,155,40
2019-07-23,invaded,03,1440,NA,NA,41
